pxcor,pycor,Radiation,FullSunlight
"-50",0,335331.2840345316,334
"-49",1,294464.9151988092,263
"-49",-5,275751.5462218963,275
"-49",-9,270852.4442028028,253
"-49",-3,256686.0473417043,222
"-49",-1,303637.1794894008,284
"-49",-4,277295.6050325857,261
"-49",-6,267928.16053527314,261
"-49",-8,269471.9218030654,254
"-49",4,359121.10956987523,370
"-49",3,334469.6538717533,327
"-49",6,355383.5141434628,345
"-49",9,362047.98655363295,358
"-49",-2,262436.562805632,233
"-49",5,347576.538067781,355
"-49",2,316913.529273898,309
"-49",-7,257021.27169616913,240
"-49",7,342214.0881574137,327
"-49",8,366022.690646802,361
"-49",0,300688.7098641237,271
"-48",6,365176.2087084536,338
"-48",-6,256471.41476314928,254
"-48",1,285863.8459263402,238
"-48",-12,233688.89747322784,180
"-48",-10,273843.4159595774,239
"-48",11,335226.33524815313,330
"-48",-9,271199.56612729805,246
"-48",9,336834.4009986636,307
"-48",0,273964.7926433578,224
"-48",13,373630.2752829909,381
"-48",-8,275079.9742428521,274
"-48",-11,229693.35546372732,173
"-48",3,339437.0040774953,337
"-48",-2,243589.83599643016,200
"-48",14,381089.1030211041,374
"-48",12,353226.7299625423,366
"-48",10,329158.3562595389,299
"-48",-5,276086.10160492174,278
"-48",-4,260200.17850070758,246
"-48",5,375189.382137748,375
"-48",-1,283308.6068561428,250
"-48",8,350534.50814423576,319
"-48",-7,287225.908366956,296
"-48",2,299422.6325844591,271
"-48",-3,247365.16007090523,223
"-48",-14,270260.3988376123,234
"-48",7,365097.1423969026,332
"-48",-13,261517.24405556085,219
"-48",4,361715.40687439474,381
"-47",2,365294.12180848746,363
"-47",8,365717.72752903576,341
"-47",1,324960.2351290241,303
"-47",0,300820.0275448398,273
"-47",15,357920.23032769945,322
"-47",13,357946.61372340773,363
"-47",7,396999.45522427995,370
"-47",-13,207656.8320320864,128
"-47",-4,241821.31739704177,231
"-47",-10,238667.80817983323,196
"-47",16,394942.9934771303,390
"-47",-8,272776.68598382425,257
"-47",-1,276415.72757459676,246
"-47",10,325548.03796763695,304
"-47",-7,286658.03042894264,289
"-47",3,372767.171263855,359
"-47",14,362644.6693005604,358
"-47",4,380493.45894421573,380
"-47",6,378156.07198920497,351
"-47",-11,232626.7265674632,193
"-47",-9,242909.69389492658,213
"-47",-3,243825.9896754345,212
"-47",-15,283613.08952832833,267
"-47",-16,300571.5756275206,294
"-47",-5,263756.58062935056,261
"-47",-14,244823.77077382276,201
"-47",5,392669.0367685048,394
"-47",-12,216799.73066627822,154
"-47",11,322149.80636834574,300
"-47",12,360874.315696514,373
"-47",-2,250097.50495638797,219
"-47",-6,254827.26686919882,251
"-47",-17,292205.0894371419,265
"-47",17,450754.51579295285,499
"-47",9,343160.96281706786,317
"-46",0,293088.2060316333,267
"-46",2,322727.9237503983,312
"-46",12,360072.9785463965,355
"-46",-9,266417.58947851934,245
"-46",-8,276729.3369702026,260
"-46",-3,248943.3520672173,229
"-46",-2,265080.53958964365,243
"-46",1,302355.04340657766,282
"-46",-1,289682.5571865374,269
"-46",-13,215991.51542833223,157
"-46",-6,255663.4248262131,243
"-46",-17,273247.3622367089,247
"-46",6,395213.99770607863,394
"-46",-12,204257.15626151673,141
"-46",10,330275.8457597876,296
"-46",3,338888.2853283978,322
"-46",16,314110.5237561491,296
"-46",-15,228375.24933574378,187
"-46",9,343888.18215747166,317
"-46",18,437292.09366071713,499
"-46",-4,262602.42054913274,269
"-46",-14,227894.1444186309,180
"-46",17,368349.5615609929,382
"-46",13,354251.85793347214,345
"-46",19,466120.3561111074,529
"-46",-16,249657.8328646339,219
"-46",8,365707.55565899477,349
"-46",-5,256875.4635142147,246
"-46",4,332577.8023718482,313
"-46",-11,230194.76259083577,184
"-46",-19,210111.23277821275,137
"-46",15,304225.37625365076,257
"-46",-7,265769.18390452734,253
"-46",7,386621.5951854578,372
"-46",11,337241.53445628734,312
"-46",5,364224.81328269036,351
"-46",-10,241356.0838904525,206
"-46",14,304666.44808299426,255
"-46",-18,223478.90686439525,171
