pxcor,pycor,Radiation,FullSunlight
"-50",0,396532.1128947964,0
"-49",-5,389820.4817828254,40
"-49",9,341338.47706874675,0
"-49",-4,388157.6760930821,32
"-49",-1,409061.19557172677,16
"-49",-9,345135.289516001,0
"-49",5,339646.6062214886,0
"-49",-8,383462.42725128046,2
"-49",-7,390103.23285366804,24
"-49",-2,420047.9180800691,62
"-49",4,378407.31945394486,45
"-49",7,337972.46409755276,39
"-49",2,402695.8275914738,1
"-49",-6,389869.9290010102,36
"-49",-3,395850.00902862736,33
"-49",3,395833.06357305666,31
"-49",0,389518.6557776476,2
"-49",8,334051.2488988154,12
"-49",1,393639.11658175534,2
"-49",6,344820.3114379948,0
"-48",6,352340.4330897132,9
"-48",-12,358645.87984025845,6
"-48",-6,409742.4133165756,58
"-48",1,377878.7296998608,0
"-48",-9,373920.97221201484,9
"-48",5,363097.4470036864,0
"-48",8,330238.475920981,8
"-48",4,355301.66088594194,0
"-48",3,367306.97451144055,26
"-48",-14,333338.8780870076,0
"-48",-10,367270.2032618936,0
"-48",7,345975.86377077835,35
"-48",12,333794.8446738483,37
"-48",-13,348725.7825915063,0
"-48",0,377347.57574716443,0
"-48",13,313742.2733161677,25
"-48",-5,391631.59203694004,48
"-48",-1,379313.3107573469,23
"-48",-11,360178.49118463986,9
"-48",-3,397034.0161387931,42
"-48",-7,409557.8576055204,91
"-48",2,370284.0192251752,0
"-48",-4,391353.983838777,48
"-48",10,376259.0720441143,40
"-48",11,363341.5010097326,59
"-48",-8,420957.8970316651,56
"-48",-2,381848.02526326355,56
"-48",14,305328.81815181265,11
"-48",9,337737.4694987657,0
"-47",16,280580.82401072304,0
"-47",12,327266.7730366514,40
"-47",-9,418143.1900484907,78
"-47",15,279795.74552272947,0
"-47",-7,399850.62925197225,60
"-47",-10,380442.50059410103,31
"-47",13,317385.3162458245,18
"-47",-1,365797.4523189711,37
"-47",3,352234.77532105154,16
"-47",-17,311153.0678222818,0
"-47",10,369751.00591475284,85
"-47",-15,330338.02172088984,0
"-47",-16,326262.5350897046,0
"-47",-13,342709.2024255112,6
"-47",-14,349380.33391521184,0
"-47",-8,428287.57836178766,95
"-47",-11,349320.96501335455,8
"-47",-4,411105.48017197225,40
"-47",5,364640.13879372913,0
"-47",0,348980.42754790746,0
"-47",7,342930.59623792203,30
"-47",1,359399.080103934,0
"-47",-5,391466.1077152007,30
"-47",-3,400754.25235746236,52
"-47",14,300167.4333063804,2
"-47",9,344148.2720295876,0
"-47",-12,352644.15882722934,11
"-47",-2,391188.1552033507,49
"-47",2,351056.6755875722,0
"-47",6,356466.5294705576,22
"-47",8,333025.0440188234,5
"-47",4,354249.11934342363,0
"-47",11,343989.8427346012,64
"-47",17,265578.5058388331,0
"-47",-6,387679.1185178587,29
"-46",-1,408419.0472248811,43
"-46",-8,409762.35371319647,49
"-46",6,379596.31672405853,50
"-46",3,364244.0040503677,43
"-46",15,296467.3253488682,0
"-46",-2,405588.01464229036,46
"-46",8,363142.39660010894,15
"-46",13,324091.36128972046,5
"-46",4,363111.4363026203,37
"-46",18,287768.98543689406,0
"-46",-17,336534.5268992903,0
"-46",-18,334520.6301212964,0
"-46",-13,351914.7543368701,13
"-46",11,344180.57096402964,55
"-46",-6,392841.7324927826,4
"-46",-14,342880.6162065157,0
"-46",2,375751.69887767447,23
"-46",-9,430275.68253090815,94
"-46",12,334360.10103809286,25
"-46",-15,334337.33161272435,0
"-46",16,277788.8164831428,0
"-46",9,374889.6801315363,78
"-46",7,373525.19320647867,26
"-46",0,389496.0124677003,0
"-46",-5,390635.2052215069,32
"-46",-7,401908.2568317945,27
"-46",19,298577.08739501965,0
"-46",-12,357743.58148126805,21
"-46",-3,397170.93613059033,49
"-46",-16,329616.8835935309,0
"-46",5,369065.77921381686,9
"-46",14,315419.4395185925,0
"-46",10,378144.7841151105,89
"-46",-4,402626.8725057427,56
"-46",-19,331510.77377648524,0
"-46",17,277862.4660338014,0
"-46",-11,384275.939230017,42
"-46",1,388237.19258229586,0
"-46",-10,420633.1538808291,93
"-45",13,321281.27107341436,0
"-45",-1,439083.38781352696,38
"-45",21,303221.95823524316,0
"-45",-8,399340.7516382002,27
"-45",-20,307357.8377020284,3
"-45",1,427479.92491724074,0
"-45",11,370556.41289030097,33
"-45",-14,357516.30339688755,3
"-45",0,434452.5998779151,0
"-45",-15,339380.9403058199,5
"-45",3,367282.3190692949,24
"-45",-10,412583.69480359356,93
"-45",-19,301117.79634243844,0
"-45",4,376613.7128893852,18
"-45",-4,402875.41024134564,53
"-45",16,286700.21712464193,0
"-45",-18,318783.4989404176,0
"-45",-9,408543.14474904723,36
"-45",8,409091.42876995786,69
"-45",14,308355.8150963062,0
"-45",5,385702.2103194218,27
"-45",2,375385.5003296399,0
"-45",-11,398226.33458641736,96
"-45",-13,362763.88279819424,35
"-45",-21,315981.06556737394,2
"-45",-16,334399.55696054833,0
"-45",-5,407685.54193972365,55
"-45",19,311198.7036303102,0
"-45",10,402059.16455905786,85
"-45",-6,399259.6494438203,11
"-45",-12,373060.28735945985,86
"-45",-3,410383.93251149455,46
"-45",18,305229.32094574167,0
"-45",20,297257.6029491859,0
"-45",12,351668.72216829547,6
"-45",9,414256.5772899361,81
"-45",-7,395472.62244371127,2
"-45",17,295124.77787938376,0
"-45",6,409538.3914958626,80
"-45",-2,424429.1879395432,43
"-45",7,416170.1483758192,83
"-45",15,295276.2759936002,0
"-45",-17,319419.19657160924,0
"-44",16,309186.56427409325,0
"-44",21,302863.044598429,0
"-44",-14,358506.17079956376,61
"-44",6,414740.65823123814,102
"-44",12,366829.726015768,0
"-44",19,298035.91257790505,0
"-44",14,323889.66413741,18
"-44",-13,378550.8753703208,81
"-44",-12,393634.8985278343,81
"-44",-23,315816.72927828424,30
"-44",-18,293557.4846241347,0
"-44",-21,293030.1692206987,0
"-44",-7,398906.2511948144,14
"-44",-10,396355.4438837646,47
"-44",9,414987.78237992775,88
"-44",-17,297098.19113669475,0
"-44",-20,286241.75453567866,0
"-44",-2,404085.551614623,40
"-44",20,300095.49543552886,0
"-44",-5,393534.47392365517,52
"-44",7,407987.92336889263,78
"-44",4,385302.94345212897,7
"-44",15,309713.7408089692,0
"-44",-4,390308.3653513785,51
"-44",-1,436214.99146215885,32
"-44",8,407727.38350583863,73
"-44",3,381731.58385987097,0
"-44",10,405921.72402906185,50
"-44",11,383415.5719338194,7
"-44",23,330343.1056294178,0
"-44",13,330655.06759384705,0
"-44",2,389874.37240305374,0
"-44",-15,338893.2793116435,36
"-44",-19,287258.46392271965,0
"-44",-16,336895.9447665207,39
"-44",17,310335.6991536675,0
"-44",-8,390995.16767122166,26
"-44",0,429843.4979563971,0
"-44",-9,390499.25828737085,25
"-44",-22,319613.56492834404,7
"-44",5,391610.9305225318,37
"-44",-3,398043.2464125887,43
"-44",1,410560.29248019867,0
"-44",18,288912.2660529991,0
"-44",-11,412127.44529069896,74
"-44",-6,406705.6528446723,24
"-44",22,317794.95387980813,0
"-43",-19,270625.2896496306,0
