pxcor,pycor,Radiation,FullSunlight
"-50",0,327413.2858572691,118
"-49",-4,277520.43296046247,19
"-49",9,303569.05550338863,39
"-49",-6,233719.51613246434,0
"-49",8,324229.0318382364,55
"-49",-9,183876.75604788016,0
"-49",3,320044.9563203246,55
"-49",-7,212951.91983410422,0
"-49",-8,195629.42599273787,0
"-49",-3,335198.4044079689,89
"-49",2,332035.6323032626,114
"-49",5,355547.0498410426,90
"-49",0,342033.1358295033,124
"-49",6,361713.3992727159,79
"-49",4,315781.2469722819,36
"-49",1,339883.60467881506,129
"-49",-5,245535.35958777083,0
"-49",-1,328870.40208640206,103
"-49",-2,359322.2270280181,146
"-49",7,354260.8040737942,88
"-48",1,374396.23813474254,170
"-48",6,371295.4145327386,106
"-48",10,321169.63925434434,86
"-48",-11,167984.3524611256,0
"-48",2,371668.70186796726,155
"-48",8,318610.5794998701,52
"-48",-7,209383.31466277427,0
"-48",0,379109.6339981902,189
"-48",-9,168967.6417733752,0
"-48",-14,162457.4152000412,0
"-48",4,323335.5128779959,45
"-48",14,285077.5249312977,2
"-48",11,304547.303491752,45
"-48",-1,371073.2338495043,193
"-48",-5,245075.494850358,0
"-48",12,291113.50812906347,22
"-48",13,278362.46087031934,10
"-48",5,348556.37150637986,65
"-48",-4,281907.5410637676,35
"-48",3,333346.97749060637,69
"-48",-10,166380.6305508,0
"-48",-12,155307.63847672232,0
"-48",-6,229999.02210953555,0
"-48",-8,182267.1598779614,0
"-48",-2,358340.697415672,155
"-48",-3,327741.9217132611,95
"-48",9,316177.6986834843,55
"-48",7,344235.66655394994,85
"-48",-13,164025.83230970879,0
"-47",-3,326218.4116492609,113
"-47",-12,170953.7357915469,0
"-47",-14,169838.8701657732,0
"-47",-2,374886.914262921,198
"-47",8,295004.43846803094,25
"-47",-4,278480.75724734954,53
"-47",4,341292.87040952523,77
"-47",3,364688.54074036994,129
"-47",11,297158.70464750676,48
"-47",10,305161.02235261607,83
"-47",7,341323.9588060421,81
"-47",-11,165889.50160316192,0
"-47",1,405891.4240771308,226
"-47",-16,187588.05472574555,0
"-47",-8,189178.53398025723,0
"-47",-13,169978.87865069797,0
"-47",0,410693.9791845768,237
"-47",2,381876.5092247034,179
"-47",14,278398.90854261315,16
"-47",-7,197284.42851164832,0
"-47",5,364571.0837841404,95
"-47",-6,215334.82358684286,0
"-47",-9,181656.88092978921,0
"-47",-5,252066.1566646398,24
"-47",-15,187962.9412866198,0
"-47",6,348734.0262822578,81
"-47",-17,198841.83010722723,0
"-47",12,293974.5114157733,32
"-47",16,274649.93808318756,6
"-47",17,273102.41015315946,3
"-47",9,296577.36978310335,17
"-47",-1,398351.229516008,235
"-47",13,282236.9227866717,19
"-47",-10,173100.33125109322,0
"-47",15,270524.5289086741,8
"-46",-15,194210.9839227216,0
"-46",7,309964.0430604476,25
"-46",-4,308557.2753856856,105
"-46",1,349728.72424833797,151
"-46",-18,200398.47651264552,3
"-46",-11,167793.53286664045,0
"-46",3,317298.3627525158,51
"-46",11,300014.9085217741,58
"-46",-7,202714.36465857326,0
"-46",2,325804.5920111445,87
"-46",10,309854.26186097314,75
"-46",-12,165106.89813161435,0
"-46",-13,167771.3156259846,0
"-46",-19,217652.8930846776,29
"-46",-16,191775.9328381996,0
"-46",-5,257674.1797926144,47
"-46",13,289620.66747274454,23
"-46",-9,186787.08103686007,0
"-46",-14,176613.17610658228,0
"-46",16,280331.87164908135,5
"-46",6,313146.121689456,34
"-46",5,321113.04788375855,44
"-46",-2,339267.5364767507,159
"-46",8,309575.8750639146,28
"-46",18,267414.9021295328,1
"-46",-8,193907.95579882752,0
"-46",-6,217754.53655057758,0
"-46",17,266079.19703250367,2
"-46",-3,317572.19065153744,103
"-46",-17,198537.70508714832,0
"-46",-10,174637.61397674307,0
"-46",19,256364.38633523864,4
"-46",0,351182.49802199664,184
"-46",14,282119.6247534305,19
"-46",9,311943.60028361744,78
"-46",12,294732.17483013624,33
"-46",4,339962.535826842,84
"-46",-1,347927.75024202425,189
"-46",15,269033.86194227275,6
"-45",-13,153027.63612129827,0
"-45",-18,210527.36547158234,15
"-45",3,316904.889360373,62
"-45",14,303937.4192152027,25
"-45",8,326763.09491625713,45
"-45",2,311483.60515234974,86
"-45",-6,212087.44825091958,0
"-45",1,341116.2781941998,158
"-45",-10,177755.6570857872,0
"-45",-3,291689.1220027818,63
"-45",10,330041.58493008727,84
"-45",17,287959.2113745529,7
"-45",9,328194.8926710351,95
"-45",4,327593.3616709179,33
"-45",19,279821.308034927,32
"-45",18,282664.67067260505,23
"-45",-19,247093.31453024063,67
"-45",15,293287.32430962846,8
"-45",-5,240733.0816417351,0
"-45",12,330584.8955614156,58
"-45",21,247045.85662933308,18
"-45",16,295194.76019119343,7
"-45",-8,212990.066786667,0
"-45",0,358384.8693829274,213
"-45",11,368062.01968802843,121
"-45",6,360426.4935880738,88
"-45",-12,151444.50485228168,0
"-45",-1,330615.8347344156,187
"-45",13,320176.76925286243,41
"-45",-11,165513.34135578646,0
"-45",-15,176527.12383393644,0
"-45",5,351522.817499461,68
"-45",-14,157867.58105889874,0
"-45",-4,286585.8923045176,39
"-45",7,335218.6538240434,57
"-45",-17,200993.81058782243,0
"-45",-16,183594.19472602304,0
"-45",20,260562.50974513602,28
"-45",-21,210023.14881186938,0
"-45",-20,265294.4208774644,85
"-45",-2,315819.12201805983,135
"-45",-7,219648.49707302646,0
"-45",-9,208300.91733294877,0
"-44",-10,180591.26818607107,0
"-44",17,308100.74719216494,47
"-44",-12,153640.23154977948,0
"-44",12,348151.03588264395,88
"-44",-18,226317.64140501316,29
"-44",-1,325184.3150425141,175
"-44",9,347735.98061177164,127
"-44",-23,219174.57413804508,38
"-44",-13,142922.92950597903,0
"-44",-5,269560.0677270786,0
"-44",-17,207037.79682677778,19
"-44",-8,218310.89668032023,0
"-44",10,341656.10595201654,110
"-44",-21,272623.4244428303,110
"-44",-7,227775.04236151843,0
"-44",2,322653.5331176298,103
"-44",22,249841.46536036418,19
"-44",3,324852.25678163616,73
"-44",13,350575.2879882361,70
"-44",-2,310785.0323498245,133
"-44",0,354456.3500452783,228
"-44",16,307756.32137893,16
"-44",-20,300171.1844588782,149
"-44",6,356479.8800416438,79
"-44",23,254109.99630257106,18
"-44",20,262781.35659864394,26
"-44",-15,149119.8971578913,4
"-44",-3,289007.36266479286,57
"-44",-19,249559.016006404,83
"-44",5,345736.46345914004,52
"-44",18,289757.17513093073,32
"-44",15,328288.7776344975,17
"-44",11,346632.0067185291,97
"-44",-9,205573.46036027189,0
"-44",14,326652.78673741716,31
"-44",7,352369.28384298255,94
"-44",-11,160808.7208345077,0
"-44",-22,247041.10086384517,69
"-44",8,365864.6414980853,116
"-44",1,350796.41145540145,189
"-44",-6,246471.5869048006,0
"-44",-4,287764.34354527324,32
"-44",-16,168863.7013070607,11
"-44",4,339887.25173431693,41
