pxcor,pycor,Radiation,FullSunlight
"-50",0,275796.8440136275,395
"-49",-3,329571.2246834924,462
"-49",4,169737.2610854141,250
"-49",-9,177201.4364643063,259
"-49",-5,289630.3330932986,413
"-49",7,151857.8528796651,231
"-49",2,243322.42206557968,337
"-49",-1,355693.0364431444,495
"-49",-2,341452.8032630668,479
"-49",0,337248.4893873644,466
"-49",8,151718.24524818748,231
"-49",3,200240.18721198765,285
"-49",-8,217538.79116380337,311
"-49",6,155338.34794535398,236
"-49",1,274444.1745578588,380
"-49",-6,262764.6788856668,373
"-49",-7,248365.33703852634,352
"-49",-4,309634.7033389833,439
"-49",5,169348.71811891836,252
"-49",9,163837.53952046816,247
"-48",7,165149.2595964421,249
"-48",1,255378.22892034924,352
"-48",-2,361979.2714231381,509
"-48",0,314618.4893282693,436
"-48",4,170806.92901173874,250
"-48",-4,293114.91277296515,420
"-48",2,206740.79257141703,291
"-48",11,232492.8461714312,337
"-48",12,246837.8531642053,351
"-48",6,170864.56029659347,255
"-48",3,174062.12662796394,250
"-48",-3,323121.6449656318,455
"-48",13,276350.3653938806,384
"-48",-1,372986.1510723297,518
"-48",-13,152208.2130883438,243
"-48",-5,221769.68271033105,330
"-48",-8,153000.9525436601,230
"-48",14,312670.0450300387,422
"-48",-6,183753.72181231022,276
"-48",10,234934.37868066278,334
"-48",-11,137082.91206151826,213
"-48",-12,138606.38472441153,223
"-48",-9,149610.32938616318,226
"-48",9,182461.4787601506,266
"-48",5,168999.59645707346,249
"-48",-7,174547.43732514407,262
"-48",-10,161633.66351378927,241
"-48",-14,180711.8620060163,285
"-48",8,186308.6318695785,275
"-47",-1,337515.66591739084,477
"-47",5,179744.08930579128,263
"-47",1,195036.9011125677,274
"-47",12,286125.4699023632,397
"-47",17,152954.8394785219,212
"-47",8,207967.06222980816,301
"-47",-7,168199.9653496997,254
"-47",6,194052.70361095632,284
"-47",15,240262.38245619935,327
"-47",7,215789.6873879555,312
"-47",14,243199.56154880495,332
"-47",-11,142666.44912064102,214
"-47",-9,155164.42125569686,232
"-47",-17,193718.3904039292,287
"-47",0,249929.01641773494,353
"-47",-3,248920.21094053402,369
"-47",11,288450.3743512901,406
"-47",-13,152703.22819381012,240
"-47",13,277509.09504416987,381
"-47",3,158523.3040808831,229
"-47",-4,191268.6432642582,294
"-47",-16,193672.41960987495,295
"-47",10,234645.76801210942,338
"-47",2,172021.0457505306,245
"-47",-6,173274.89289784816,263
"-47",-8,139167.14322667164,210
"-47",-15,195540.91898347647,299
"-47",4,173007.85977220885,252
"-47",-12,143911.04865478908,224
"-47",-14,206812.4508645608,318
"-47",-5,172636.14089435418,268
"-47",9,219650.4309794705,316
"-47",16,185024.65739920727,254
"-47",-10,139009.46358944522,210
"-47",-2,311072.032038863,452
"-46",-7,170544.74391262603,255
"-46",19,95576.9319580605,135
"-46",-14,209016.6023233192,312
"-46",-5,171633.57243373795,264
"-46",18,114068.7217021895,162
"-46",4,166393.6348783618,243
"-46",2,147239.5515115024,215
"-46",-2,267822.0256155939,401
"-46",17,141272.64066059774,196
"-46",-13,184313.94867659413,274
"-46",3,163041.43548652154,236
"-46",-3,222065.78858217126,335
"-46",-6,168302.53922590116,254
"-46",6,228367.3825358458,324
"-46",-19,197101.2495002565,281
"-46",-4,186171.06598050287,286
"-46",-9,151750.20723976468,226
"-46",0,219852.760534779,316
"-46",-8,155713.6679703546,230
"-46",-12,146249.95157711234,221
"-46",5,173675.15748193138,252
"-46",8,263996.6625516992,373
"-46",14,192842.32941521483,269
"-46",1,155786.5084001526,228
"-46",-18,199213.68166920426,289
"-46",-1,253235.43893939187,368
"-46",7,251911.86911409404,357
"-46",16,173936.70968777855,242
"-46",10,250539.42723150627,361
"-46",-16,175628.9798522514,267
"-46",15,161849.23538194454,223
"-46",11,252897.66802513073,357
"-46",9,264410.4786121204,374
"-46",13,248192.5663830352,338
"-46",-17,210605.1107438247,307
"-46",-10,150464.00159639114,223
"-46",12,247024.62152709032,342
"-46",-15,195073.50711422035,294
"-46",-11,164025.1313036929,240
"-45",20,189344.53360530428,254
"-45",15,157787.431477524,218
"-45",-20,188474.24489410725,266
"-45",-12,165215.22620831718,242
"-45",2,188002.28570445298,268
"-45",-6,170869.3048740909,255
"-45",7,246614.17107152398,350
"-45",-15,173772.3016462339,265
"-45",-21,171381.42259177583,241
"-45",-13,143085.73757029264,221
"-45",6,234048.31406063164,329
"-45",14,192201.40686511414,265
"-45",9,283435.2519137396,399
"-45",-19,192020.4846615524,276
"-45",0,196861.8872541111,288
"-45",-5,181102.9305379689,273
"-45",-3,199513.20463970918,307
"-45",-9,173293.92258254244,254
"-45",10,218775.73202663875,319
"-45",-18,203624.65691128268,295
"-45",12,211314.820802303,297
"-45",-2,232180.67036289338,352
"-45",-14,154218.727333943,241
"-45",-17,191037.95951007586,279
"-45",11,200648.29100371082,290
"-45",-4,188464.94939316483,287
"-45",-1,220297.62749364448,327
"-45",8,258304.58651895175,366
"-45",18,182497.3302118561,245
"-45",13,221336.43600560472,304
"-45",-7,178041.99743949188,263
"-45",-8,155700.15269934008,228
"-45",16,175125.9287084422,243
"-45",3,161265.05657752106,235
"-45",-10,160552.0112118893,236
"-45",19,182397.63040193444,244
"-45",21,157080.06900942198,215
"-45",1,198454.83400432303,287
"-45",17,196730.80737339164,271
"-45",-16,201752.55928126513,297
"-45",5,175477.0486416525,254
"-45",-11,164144.62959567487,241
"-45",4,160235.83216763908,236
"-44",10,186447.46524436583,276
"-44",0,241250.7512478133,346
"-44",13,234450.96617543793,320
"-44",22,110523.23084415641,159
"-44",-5,191656.30011267235,285
"-44",7,233172.53720226514,335
"-44",-14,156946.0060488484,242
"-44",8,233078.59685253722,336
"-44",19,173812.15963839696,239
"-44",12,225421.65175436522,312
"-44",-16,170417.03620430306,252
"-44",3,165788.9686058975,239
"-44",18,152003.50505238297,209
"-44",16,181456.9032450007,248
"-44",9,234674.20258680245,340
"-44",20,172847.59961898957,237
"-44",-11,138048.83389137997,206
"-44",15,173504.38420809575,236
"-44",-15,157113.31232556253,241
"-44",-4,243006.37627226868,349
"-44",-2,249832.72889012969,368
"-44",-18,238930.87660741174,334
"-44",6,202467.61288995986,291
"-44",23,106187.34565009693,154
"-44",-23,192415.20591333628,267
"-44",14,227052.8268564655,304
"-44",4,166809.86624450758,244
"-44",-17,183670.00340248772,266
"-44",2,185331.6236771862,269
"-44",-19,237738.9656783105,332
"-44",-3,254093.8368404543,372
"-44",-21,210010.63350346163,294
"-44",-7,175425.43727335765,255
"-44",-13,178774.48171964588,260
"-44",-8,170672.43109050536,246
"-44",17,188677.75281936917,255
"-44",1,212661.63928443944,311
"-44",-22,205264.07431293087,282
"-44",21,145346.33173958192,200
"-44",-12,155665.08025088438,229
"-44",11,221935.6776998204,313
"-44",-6,189566.6049053466,279
"-44",-10,153771.83565454537,228
"-44",5,175161.59229593526,253
"-44",-9,167834.09826812256,246
"-44",-1,235687.43214869362,346
"-44",-20,208082.89897272474,292
"-43",-19,248096.16845734467,354
"-43",-21,238736.00602527143,338
"-43",12,224202.82380971956,308
"-43",-11,147389.51148559956,218
"-43",4,174568.88670682424,257
"-43",-8,187361.76407156483,262
"-43",8,301333.21408916713,421
"-43",-7,233023.78439491207,325
"-43",-22,209582.53974581324,294
"-43",15,189901.64496834108,254
"-43",11,234617.46223449367,327
"-43",-24,223929.52089142564,309
"-43",25,111587.45281021971,154
"-43",23,140054.53898450933,196
"-43",-10,150968.45851048487,224
"-43",-18,176912.20265942233,253
"-43",13,239611.09983049703,326
"-43",-6,237978.94699173648,334
"-43",19,132998.9233396092,188
"-43",18,187552.0615266111,258
"-43",-16,133192.21267316196,203
"-43",-2,296811.588569175,421
"-43",-25,266920.9108179083,362
"-43",20,207293.54622788404,282
"-43",17,182357.20474835066,246
"-43",14,233314.05348308806,312
"-43",6,237302.4130501408,342
"-43",0,235373.88133144897,342
"-43",-23,195540.6590000575,277
"-43",9,267688.1524907095,375
"-43",22,156009.79526804472,216
"-43",24,100577.72657766537,143
"-43",21,210205.76407085606,282
"-43",-9,172803.47830991758,248
"-43",-14,180835.18969014956,269
"-43",-12,157828.3932225098,232
"-43",16,159920.70864887928,217
"-43",-4,253593.30835590436,362
"-43",-15,162444.97526603262,247
"-43",-5,245906.02973048712,349
"-43",1,209977.9465021961,306
"-43",2,181008.3100198678,263
"-43",10,225690.66192295647,317
"-43",-3,275057.43520348833,392
"-43",-13,159851.7241757951,232
"-43",5,180527.22368950385,264
"-43",-17,146579.43134776666,215
"-43",-1,272151.3125644503,388
"-43",7,265742.14768607786,379
"-43",-20,229095.26823488795,322
"-43",3,165384.07488246664,240
"-42",-23,212582.97042890638,297
"-42",-13,155135.18305470198,224
"-42",-7,213212.40203302956,295
"-42",19,197667.99662880343,276
"-42",3,184707.20414164252,265
"-42",-20,241948.3698952127,340
"-42",-1,269899.2696963715,382
"-42",16,184318.52210363038,248
"-42",6,260317.6512059232,374
"-42",-2,325560.4275605261,458
"-42",11,229930.6193421793,322
"-42",17,149433.25057967094,202
"-42",18,198141.68922689187,272
"-42",13,203343.26774420185,282
"-42",-6,223698.08056296216,315
"-42",5,223657.7302405881,324
"-42",-4,276627.26183228963,394
"-42",-21,235483.53888716406,332
"-42",27,133898.5926853699,182
"-42",-14,167888.94613783434,247
"-42",9,263969.12176198186,372
"-42",-9,175753.04429084054,250
"-42",-11,173134.63655688218,252
"-42",-10,155783.43145681568,228
"-42",22,258922.58845065587,347
"-42",10,234999.04639612048,329
"-42",-16,170724.695005822,247
"-42",-5,263339.9963032687,370
"-42",-27,277090.1299948166,370
"-42",-26,274055.96738324134,369
"-42",8,268990.01430420077,379
"-42",12,217138.28011077186,301
"-42",24,150210.1076409854,211
"-42",-19,194674.08465249883,283
"-42",-15,181431.9814895402,268
"-42",20,228874.54576658254,312
"-42",25,137499.35520621514,189
"-42",26,120926.05309388078,166
"-42",-22,194956.12626479488,281
"-42",14,214658.5426844782,288
"-42",1,222282.5678789718,317
"-42",2,190286.35010732664,273
"-42",7,307922.0502621787,429
"-42",-8,196854.54926393545,269
"-42",-3,273626.6118829835,390
"-42",15,200935.34930570313,268
"-42",0,243657.96426481922,343
"-42",21,272144.8854145227,366
"-42",4,178634.33878951136,257
"-42",-24,224586.56787831386,311
"-42",-17,147151.35822775032,215
"-42",-25,240229.32413232644,328
"-42",23,174060.20772428456,240
"-42",-18,157164.50513735268,226
"-42",-12,174640.33981356784,251
"-41",13,193430.00267822907,269
"-41",20,251292.1032671961,343
"-41",12,195237.68827981557,274
"-41",18,179477.0770879785,247
"-41",-2,320778.0088151193,451
"-41",-6,192740.28759661238,272
"-41",-24,213433.05856428057,297
"-41",11,193993.4039777682,277
"-41",-9,173154.11524114333,242
"-41",-7,153424.04323645929,214
"-41",-27,275007.2408226025,367
"-41",6,324309.9907055615,455
"-41",-5,197851.32162134632,288
"-41",-15,188450.49246031512,275
"-41",-10,155844.47246649748,224
"-41",7,297372.8380418858,421
"-41",-16,177128.2185552179,249
"-41",23,268005.4785859758,359
"-41",-14,169170.64800646348,248
"-41",27,167197.18511705686,225
"-41",24,198775.62782566066,274
"-41",-20,290273.4422538961,409
"-41",25,178911.36732869758,244
"-41",-4,213705.93010866843,316
"-41",-12,202346.06327996176,288
"-41",-19,213258.83324207482,309
"-41",4,231252.6947882732,322
"-41",-26,257977.48341348665,350
"-41",22,255011.83084353723,342
"-41",-22,198212.14982276355,286
"-41",-17,177984.68068991235,248
"-41",8,226309.14827613215,324
"-41",-3,298236.18800887244,425
"-41",-28,258230.1340328973,347
"-41",-1,288398.88084174064,401
"-41",21,257186.1333073073,352
"-41",5,271691.6513487859,379
"-41",14,183412.55287869493,249
"-41",-18,180903.54530811994,260
"-41",26,164235.50143231126,222
"-41",28,172697.01602377123,240
"-41",1,234266.7004355049,327
"-41",3,228349.2145812622,316
"-41",-11,185987.42361117268,267
"-41",-21,243165.0556754197,346
"-41",-8,162167.93800413396,222
"-41",0,245113.00836384855,341
"-41",-25,249583.6618671801,340
"-41",19,241467.4723471558,333
"-41",2,231659.36460703553,321
"-41",-13,166992.0926623563,239
"-41",15,218299.47044744508,290
"-41",-23,191802.58852623956,270
"-41",16,210476.26886587415,283
"-41",10,186777.9014606042,270
"-41",9,186405.33443121417,274
"-41",17,174097.01176791388,234
"-40",-20,292080.86405664106,422
"-40",-4,254512.69147689946,364
"-40",-28,181750.9292007265,252
"-40",2,294576.4675282636,400
"-40",14,163178.5804927253,228
"-40",19,236328.09598892764,323
"-40",-12,176535.56502636184,250
"-40",-3,279394.6826281341,402
"-40",24,264689.73209984734,353
"-40",5,244944.35329644443,341
"-40",16,200965.7200267217,276
"-40",-26,244406.1002393823,333
"-40",-17,168368.62147344626,235
"-40",-29,209263.01793721513,292
"-40",1,288992.696936411,393
"-40",30,259975.8089074371,362
"-40",20,215360.03145520264,299
"-40",12,180893.32514876104,257
"-40",-15,176046.6227120027,257
"-40",9,199700.01227078104,291
"-40",11,179695.66940648464,259
"-40",8,264651.81016210356,375
"-40",-11,175089.02917883254,249
"-40",25,280298.7674954109,371
"-40",13,184294.4241858519,257
"-40",-16,162830.60364679695,229
"-40",6,268834.8162503529,385
"-40",-1,292982.72260615387,407
"-40",27,207417.03577646593,278
"-40",15,227849.37810376743,307
"-40",10,161495.78907606308,239
"-40",-25,217508.85276531268,298
"-40",4,263298.4655604686,363
"-40",-27,224393.61531995426,306
"-40",-7,134870.51666251608,188
"-40",-18,205965.97643396136,294
"-40",3,298674.4736853604,406
"-40",-14,148743.36456270108,215
"-40",-24,214731.79199980432,299
"-40",-22,198788.73991385783,291
"-40",23,244147.84463635227,327
"-40",-5,220567.16146254123,316
"-40",22,216251.20733018778,290
"-40",-21,258214.4043707562,373
"-40",-23,173022.36810484345,247
"-40",29,239847.35333228143,329
"-40",26,217741.03924646208,288
"-40",17,188630.8504139468,256
"-40",28,232442.0571697653,315
"-40",-30,201578.8546886181,281
"-40",-10,148898.43480637594,211
"-40",-19,253199.63714974036,366
"-40",7,279615.2230987484,399
"-40",-6,156939.58413447093,223
"-40",-8,125418.71221320686,174
"-40",-13,176180.01623425478,251
"-40",-9,131267.07631966326,186
"-40",21,174995.65616141903,246
"-40",-2,327268.0186001251,459
"-40",18,227057.63840269804,307
"-40",0,290688.67022969195,399
"-39",-21,227961.69294882932,337
"-39",-26,188468.90155580858,262
"-39",-15,160245.74070964786,229
"-39",14,229257.10820326503,312
"-39",-7,127327.77862409921,177
"-39",9,232559.1546689988,334
"-39",-23,157950.95017638392,229
"-39",-27,161205.2511818832,225
"-39",-3,252204.67466546025,359
"-39",25,317517.26883845805,417
"-39",23,178148.89635010634,239
"-39",17,250910.54869505248,337
"-39",-30,172884.98373338406,248
"-39",-14,149104.24513862588,210
"-39",18,220836.17627193392,298
"-39",-4,243474.89100119172,349
"-39",-25,162051.1912273898,226
"-39",-2,311962.08248645335,440
"-39",-18,186467.6304200915,269
"-39",0,303847.0850051563,417
"-39",-29,178528.7352357802,255
"-39",13,221445.40745605578,306
"-39",19,219117.38105550912,295
"-39",-9,118893.39168678298,167
"-39",-24,176946.85434434595,254
"-39",28,284665.7507744043,379
"-39",-10,121388.32442526879,175
"-39",-5,195567.577108554,282
"-39",1,303387.8184417199,413
"-39",5,170553.7529826989,246
"-39",8,253409.4935266947,363
"-39",11,204535.3055943965,290
"-39",-11,176609.91849902898,248
"-39",22,169687.22028347309,231
"-39",-8,109739.96763699749,150
"-39",-31,173252.0425396241,249
"-39",30,253988.5734351837,358
"-39",-22,205496.01867711404,301
"-39",-19,214940.64860751765,319
"-39",2,305095.9247786472,413
"-39",-16,203344.93511754062,278
"-39",-28,195697.5610712062,268
"-39",21,192373.35316919207,266
"-39",12,228220.4644325749,315
"-39",10,191778.84215778802,281
"-39",3,269932.4479379064,372
"-39",-13,200860.77291563895,279
"-39",-20,249582.72672557246,369
"-39",15,215934.08547045753,296
"-39",27,264631.33881441655,352
"-39",7,260019.24587253353,376
"-39",24,262407.84821220645,345
"-39",31,319033.1102644711,447
"-39",16,231506.53485535536,319
"-39",26,292041.2094098895,385
"-39",-17,213304.9654765957,296
"-39",6,212028.1983280167,309
"-39",-1,308985.7196911873,428
"-39",-12,192851.49647614945,269
"-39",-6,153588.61547450267,218
"-39",4,216610.8007466168,304
"-39",20,233950.06935062565,317
"-39",29,259029.31027301043,357
"-38",13,244124.01580450998,340
"-38",-26,174059.15905304177,241
"-38",6,171202.2310291552,258
"-38",-13,181875.87284641547,259
"-38",20,219331.1532147347,293
"-38",-12,169779.3316467255,242
"-38",-2,290873.539481408,413
"-38",18,265229.6536392473,352
"-38",-8,80639.54195428539,114
"-38",-14,198460.11565814674,279
"-38",-24,153247.99762931236,225
"-38",1,305197.64614991954,416
"-38",2,277969.365615804,381
"-38",-18,199387.58022303056,284
"-38",-25,148863.57699028097,207
"-38",-15,171233.63020160518,241
"-38",30,335070.2491840841,466
"-38",-1,329024.0653045048,457
"-38",-5,189287.64003894434,271
"-38",-10,100531.74000838234,151
"-38",-30,180361.12186248865,262
"-38",-32,192891.1787451985,277
"-38",5,171344.89179519916,250
"-38",21,201901.65397985763,271
"-38",14,257993.67936164082,355
"-38",7,212007.08683312318,313
"-38",25,226518.43446956118,305
"-38",-17,194272.80175857898,274
"-38",-3,291998.6227256606,412
"-38",22,161370.407888139,219
"-38",-21,199967.1679928617,299
"-38",-19,220595.6186669981,330
"-38",28,239090.32079985505,325
"-38",26,275850.1031741696,367
"-38",31,299906.3131601867,426
"-38",-7,131392.94091050854,181
"-38",16,288655.4489115528,393
"-38",-11,126114.98324278051,185
"-38",3,209492.33795867278,295
"-38",-28,162713.1579379427,226
