pxcor,pycor,Radiation,FullSunlight
"-50",0,303087.88714195136,363
"-49",4,342125.3056380513,418
"-49",-6,332938.81698938983,419
"-49",-5,357698.8002540136,452
"-49",8,281592.69727796403,340
"-49",-1,338774.52709321864,424
"-49",3,314745.2763993971,378
"-49",-3,395695.93756288127,496
"-49",6,387040.5500823511,463
"-49",0,300762.9627166204,366
"-49",9,213216.1196066252,252
"-49",-9,293725.3644696716,363
"-49",-4,343325.9450931947,431
"-49",5,345050.61324907583,417
"-49",-8,319295.4767178816,401
"-49",-7,309277.59747780627,388
"-49",7,345853.148453181,410
"-49",2,304368.0878389931,364
"-49",-2,366829.1913125229,464
"-49",1,298979.4455539464,358
"-48",-8,313279.3005137025,396
"-48",4,446170.334223711,533
"-48",-11,210256.17572516733,249
"-48",7,302344.96628131194,361
"-48",2,334303.6529549471,399
"-48",13,214256.25401695518,249
"-48",-13,193917.05428349646,232
"-48",-12,213083.44345282787,253
"-48",-10,236838.9878997137,288
"-48",-7,275249.10050399427,342
"-48",-2,416501.2773922975,518
"-48",12,201444.9375026308,234
"-48",3,380180.6628286125,458
"-48",-6,315387.37892465614,394
"-48",-1,382296.8085787142,479
"-48",-14,195980.69638996868,237
"-48",-5,360043.25602947385,451
"-48",8,260034.55654051018,310
"-48",6,412407.5774904373,491
"-48",5,421863.20099471393,503
"-48",1,331887.90249122214,397
"-48",9,185520.08007604256,209
"-48",-3,367956.4068974422,459
"-48",0,361745.42587853025,441
"-48",14,255807.59445629249,298
"-48",-4,386900.9626142813,488
"-48",-9,266357.7407746664,326
"-48",10,156221.33332148174,166
"-48",11,194861.8861380584,221
"-47",17,363259.1381563069,421
"-47",-8,294312.1057804432,371
"-47",0,331395.27341336844,412
"-47",13,242028.0828820086,280
"-47",15,351461.0878856971,410
"-47",9,202443.93678289076,222
"-47",-11,230906.3323190575,275
"-47",-1,354751.39040350675,445
"-47",-4,445402.34517104377,558
"-47",5,391581.24045424303,463
"-47",-13,193277.17343132364,229
"-47",6,340339.28838903917,403
"-47",-7,266712.9386077151,331
"-47",-6,345174.2834184743,426
"-47",-15,218265.02049923092,271
"-47",1,332005.38567157206,400
"-47",7,288722.5954195795,340
