pxcor,pycor,Radiation,FullSunlight
"-50",0,237696.8785670506,353
"-49",9,192433.86344108815,302
"-49",-1,288376.88706412405,434
"-49",4,231206.75239704756,326
"-49",-4,399881.90983263444,566
"-49",-6,374423.5178093065,523
"-49",8,195061.14290718394,301
"-49",-5,381592.74203497695,531
"-49",-9,368164.12874377286,526
"-49",6,210086.32193446383,311
"-49",2,225127.40992892068,333
"-49",0,251146.8252934323,377
"-49",-3,357768.72434709064,523
"-49",5,233453.34093821552,333
"-49",-2,333880.78626574203,497
"-49",1,221975.9255322355,334
"-49",-8,358333.3216439271,505
"-49",7,202766.56544146716,308
"-49",-7,368928.4049948578,516
"-49",3,255664.93638799142,374
"-48",6,217675.02767649092,319
"-48",-2,330169.32184801495,497
"-48",-10,431239.56154059415,604
"-48",-13,299521.21035886323,444
"-48",11,173173.5795259223,273
"-48",4,261927.7237782696,388
"-48",-8,480465.1434747096,666
"-48",-6,481998.52991297067,666
"-48",-1,293770.5124501797,442
"-48",-3,367490.942469193,538
"-48",-5,479782.79872432334,663
"-48",5,257917.2395092657,373
"-48",-11,386471.9213966205,544
"-48",8,222438.8564105368,344
"-48",13,164999.3175239618,256
"-48",7,214769.10223619515,323
"-48",-7,464268.2558869928,647
"-48",9,213901.748260906,334
"-48",1,253002.3911497368,377
"-48",-14,296002.78083464585,449
"-48",0,266541.08858503815,397
"-48",10,221289.9734433424,350
"-48",-9,439601.37547834974,611
"-48",-12,350731.5345616264,504
"-48",3,258453.5875802683,382
"-48",-4,410826.0608712674,581
"-48",2,243366.05357979765,364
"-48",12,158538.82290627476,250
"-48",14,161427.5960112833,251
"-47",2,267592.3464689594,399
"-47",-9,404946.76712896524,567
"-47",8,263104.2357841242,398
"-47",-16,245311.10449208666,389
"-47",5,289498.13800251787,425
"-47",4,276268.5448416463,407
"-47",14,134485.91377741235,215
"-47",-12,314768.39027953247,462
"-47",-13,314608.3814928334,470
"-47",-2,320820.06306774257,483
"-47",7,275832.37170783983,407
"-47",6,290650.75484543724,416
"-47",11,174897.29581398302,284
"-47",15,137634.83819877348,213
"-47",-8,408025.43220724474,572
"-47",-6,484216.5755031719,670
"-47",-17,258906.67535949583,420
"-47",-11,334012.60707778,481
"-47",-5,445962.2678730115,624
"-47",16,127115.40405198077,197
"-47",9,259326.74307002468,405
"-47",12,190339.207244609,295
"-47",-1,295104.3664132829,449
"-47",1,257333.53990620212,386
"-47",-4,372349.99606817355,530
"-47",-15,275302.51866894175,421
"-47",17,110195.8449356516,172
"-47",13,143179.9475827467,226
"-47",10,224177.3691945369,359
"-47",0,288200.38240926835,441
"-47",-7,455133.3802053663,635
"-47",-10,371999.0568111074,527
"-47",-14,298827.3082773428,449
"-47",3,246635.13233469878,369
"-47",-3,357676.89995912916,523
"-46",15,209665.74407476242,308
"-46",4,344246.3263706222,500
"-46",5,334138.0836683861,484
"-46",-6,406673.07113015465,575
"-46",-19,237483.48403799764,388
"-46",6,328443.2195986474,475
"-46",9,244645.21480746949,388
"-46",7,322761.1463183822,473
"-46",-18,272594.88539234333,433
"-46",3,284882.0984839472,422
"-46",2,284518.82140884525,425
"-46",11,192379.72147000366,312
"-46",18,143734.35405947882,214
"-46",17,162792.0981084421,239
"-46",0,330032.596147541,492
"-46",-8,349724.14392817556,495
"-46",-15,285813.9762349233,431
"-46",8,279965.83006354276,427
"-46",-9,321566.8727320196,458
"-46",16,203469.4644933402,292
"-46",-14,297338.8737472127,444
"-46",-7,383160.9277510303,539
"-46",14,209174.9229443638,309
"-46",-17,291081.12142198894,453
"-46",-1,299128.6466138048,457
"-46",13,180267.83840837658,274
"-46",-4,331305.1097690005,475
"-46",1,325046.953590513,485
"-46",12,181621.3498038665,286
"-46",-13,311626.0702464933,461
"-46",-10,275752.4739329056,398
"-46",-12,326894.1901512394,483
"-46",-3,315316.2125972967,465
"-46",-2,300623.9065369972,448
"-46",-16,276681.94528565416,424
"-46",-11,270925.3564823713,396
"-46",10,211984.37480955574,345
"-46",19,158382.80042229194,233
"-46",-5,390220.87693644676,552
"-45",-19,327861.0143888882,511
"-45",-3,301560.63874743227,439
"-45",-11,251971.1063949658,371
"-45",13,163774.8833878147,260
"-45",4,308960.42182209145,458
"-45",-6,356910.0737217676,502
"-45",8,243409.20438385507,394
"-45",-2,300020.2935272465,444
"-45",1,347804.8580477725,517
"-45",3,312871.64585132967,467
"-45",10,214062.81933085033,349
"-45",15,176412.77689249965,266
"-45",2,336034.9411912484,502
