pxcor,pycor,Radiation,FullSunlight
"-50",0,279440.1221904338,99
"-49",1,315113.9801315892,145
"-49",9,393887.64087508485,186
"-49",-3,216590.61867176948,28
"-49",-4,262921.09627921245,86
"-49",-2,225223.3908946698,55
"-49",2,302571.27701118344,129
"-49",-6,307910.60252534895,131
"-49",4,312703.7655621969,132
"-49",-9,253471.13258576833,0
"-49",-5,289898.5055277237,109
"-49",-8,288718.2649673836,83
"-49",3,307374.1934823383,143
"-49",7,364418.5057305405,159
"-49",-1,249975.00112967961,85
"-49",6,331601.7199981443,125
"-49",0,271982.31498573336,105
"-49",5,320256.0395619247,130
"-49",-7,311746.5373420248,128
"-49",8,405627.5799166912,209
"-48",3,268212.3863961258,80
"-48",-7,297198.79791077384,110
"-48",-3,206455.83991908154,23
"-48",0,299463.15744339355,150
"-48",-8,261803.23757545408,72
"-48",1,307598.2115178661,131
"-48",6,319069.2940735189,116
"-48",-10,234269.8936958975,0
"-48",-13,212261.89012663465,2
"-48",2,306415.1716278771,124
"-48",-2,238619.78973736762,75
"-48",4,288023.10741235554,108
"-48",14,273145.03137903643,48
"-48",-5,263991.73376742227,72
"-48",7,367574.41030808166,168
"-48",-12,208338.43984394197,2
"-48",5,320260.7132706986,127
"-48",-4,214558.53266581998,25
"-48",11,328479.3303610866,120
"-48",9,351387.27968405664,124
"-48",-14,210477.73517739933,7
"-48",-11,222736.82918376004,1
"-48",10,343045.4414098289,117
"-48",13,286724.413477806,67
"-48",-6,308759.70623191696,139
"-48",12,282704.73676644854,65
"-48",-1,259376.07532534195,102
"-48",8,372533.7997547477,159
"-48",-9,224201.4863737915,0
"-47",7,332624.4461844558,117
"-47",-13,208179.48975505243,0
"-47",-17,231961.695859194,13
"-47",-3,249732.94166862234,91
"-47",-14,220485.66218291473,0
"-47",3,284806.87509574427,79
"-47",15,271032.64919016935,50
"-47",5,327590.3098337478,139
"-47",6,325876.27853306767,120
"-47",-1,292729.9683329344,163
"-47",9,330617.32210517465,118
"-47",4,294147.57811952743,98
"-47",2,324627.2895041346,132
"-47",14,302842.21969811054,86
"-47",-10,213487.64743510002,0
"-47",8,342691.6910664072,139
"-47",-11,211689.3804410391,0
"-47",13,314647.7436223849,76
"-47",-7,267699.6400153671,68
"-47",17,269184.33330889326,22
"-47",12,324642.46621208487,125
"-47",10,346449.6090559284,118
"-47",-15,220839.97729600855,0
"-47",-6,290443.4679010287,84
"-47",-9,210247.85139652152,0
"-47",11,333666.57319467474,122
"-47",-2,253687.30040261612,113
"-47",-5,266975.336481546,63
"-47",0,304719.67170431005,171
"-47",-12,192184.37812690582,0
"-47",-4,229174.47030108634,39
"-47",-8,235568.073727888,27
"-47",16,266239.2294430383,30
"-47",-16,212338.02454415904,4
"-47",1,317765.7193954575,144
"-46",4,308937.0480266017,95
"-46",17,307395.85444198595,73
"-46",-14,234429.55112054374,0
"-46",15,326301.715982304,142
"-46",-18,204994.36829486728,0
"-46",-19,216621.99745530772,0
"-46",2,311746.76176613045,116
"-46",-17,241100.80826734906,42
"-46",-2,292940.6056037986,147
"-46",-5,350696.32771482016,167
"-46",11,385067.53973522014,178
"-46",8,340487.12671455997,131
"-46",0,302494.28918085183,162
"-46",-13,218543.21977780425,0
"-46",-10,213191.03416804248,0
"-46",-1,320361.67222756933,193
"-46",5,307331.04586869426,83
"-46",14,358973.1772558915,172
"-46",-16,237633.4759109053,18
"-46",10,311244.8147732021,90
"-46",16,301218.6512610128,89
"-46",13,361237.35606824927,154
"-46",-11,212014.3753781958,0
"-46",9,310721.4078672719,84
"-46",-12,196770.2654169232,0
"-46",-9,218660.05117154957,0
"-46",1,313930.1809094372,141
"-46",-7,242116.7657145665,2
"-46",6,288674.71384547115,66
"-46",-15,249508.74494661184,0
"-46",-6,274126.6819567569,59
"-46",3,309763.1770544605,94
"-46",19,319446.8527003013,84
"-46",-4,320461.6654277975,153
"-46",-3,292870.9112865816,147
"-46",7,290105.6076463442,65
"-46",-8,226091.10454456497,0
"-46",12,358918.44273174007,165
"-46",18,308651.2905430181,77
"-45",4,251281.39341448812,34
"-45",15,330525.16871020204,130
"-45",-4,309438.92004359735,149
"-45",0,321674.457762593,169
"-45",3,279058.7210445177,80
"-45",13,319151.1537244654,94
"-45",11,295500.3480473043,72
"-45",-15,263310.3960710081,27
"-45",-20,218019.32252559622,0
"-45",14,324141.1663890177,117
"-45",-17,242647.26694180997,48
"-45",-8,275545.7334743086,66
"-45",-19,217049.91089360812,0
"-45",-5,294899.5048442084,112
"-45",21,340103.6925205776,168
"-45",10,295612.78956621065,100
"-45",18,348670.7490231067,143
"-45",20,356855.517395647,170
"-45",2,284974.9077952828,81
"-45",-7,292917.4586357458,85
"-45",-12,230151.7985779362,8
"-45",-3,302412.2562707293,140
"-45",5,236986.6312783666,17
"-45",-2,307473.0624773724,158
"-45",1,321608.24220944743,149
"-45",7,255309.27668311892,47
"-45",-9,252342.18839955868,39
"-45",-6,301528.88907318935,101
"-45",-16,255744.26644648344,41
"-45",-10,224404.30249526078,0
"-45",19,346144.9659148107,145
"-45",-18,215513.80905844923,0
"-45",6,244701.0907503789,35
"-45",9,283124.22447495116,98
"-45",16,342353.87074066355,144
"-45",-1,333577.5897396462,197
"-45",-11,238504.89128998018,1
"-45",-21,200763.7451079187,3
"-45",17,352701.3573422818,144
"-45",12,279442.71098962834,53
"-45",-14,263351.0472387652,21
"-45",-13,259704.38199932638,14
"-45",8,283858.88358921703,94
"-44",2,305040.93574351247,131
"-44",-11,232408.7910870443,0
"-44",21,358605.2944706035,194
"-44",-1,358794.41393427976,206
"-44",-2,330589.95181711356,177
"-44",-17,253564.92148515064,54
"-44",8,290512.8862475717,131
"-44",7,257592.90404930382,76
"-44",-6,285697.8608010793,81
"-44",3,252531.75550545802,52
"-44",4,245368.13729981857,24
"-44",-15,224525.26218504432,8
"-44",-13,241835.0963437503,0
"-44",15,302261.60531647044,86
"-44",-16,238507.10256587822,18
"-44",-20,205615.55557725357,0
"-44",-7,285912.9369078062,67
"-44",-4,269368.4532739844,103
"-44",-12,234087.22886712092,0
"-44",0,351033.8936501602,192
"-44",-23,227986.58596660814,47
"-44",-9,230442.05934327206,18
"-44",-21,195234.23788448807,2
"-44",-8,278477.4172897129,50
"-44",6,263882.28793570143,85
"-44",1,302522.28883703466,122
"-44",-5,272830.2123612137,93
"-44",9,309169.49414785305,149
"-44",-19,208000.14311433924,0
"-44",12,281718.7861134488,60
"-44",14,285980.5214104566,61
"-44",-18,229102.64829453803,26
"-44",18,323542.7070940953,126
"-44",-14,237073.38032659984,3
"-44",11,314102.02635738894,118
"-44",10,308589.7689449639,128
"-44",16,325695.8629020302,105
"-44",-10,213226.64896855323,0
"-44",17,331268.5294033335,112
"-44",19,385800.1867031546,233
"-44",13,264575.45066014415,38
"-44",-22,202633.91395940763,15
"-44",22,346704.7642000758,172
"-44",23,337088.55629507016,160
"-44",5,260619.50946378888,39
"-44",-3,292931.6897593406,136
"-44",20,369685.79190198955,215
"-43",-5,265818.4313225264,82
"-43",24,356197.02562183334,207
