pxcor,pycor,Radiation,FullSunlight
"-50",0,313007.0454887606,334
"-49",-1,362874.97547434893,408
"-49",3,256702.3138896141,248
"-49",-7,445630.80038556224,539
"-49",-4,430554.4325429155,528
"-49",-3,401077.8349084162,473
"-49",-9,401067.7069125287,497
"-49",2,274201.99276535277,273
"-49",6,264982.2254518313,256
"-49",4,251971.76763352286,236
"-49",5,268421.44983439427,256
"-49",-5,438097.4210929679,540
"-49",8,240471.59097968854,231
"-49",-6,458667.21229244047,566
"-49",1,287043.1474624077,298
"-49",9,222224.47912456034,212
"-49",-2,383078.5090371093,454
"-49",7,259361.94150730045,252
"-49",0,317830.59261458763,344
"-49",-8,436781.2514588568,539
"-48",-4,435895.4843484916,518
"-48",-1,372036.1424765516,437
"-48",12,333863.2093115517,347
"-48",10,296001.6677093126,291
"-48",6,276226.4388685397,272
"-48",9,260249.55392788033,242
"-48",-7,426317.8414445844,506
"-48",5,260521.41428734997,250
"-48",2,271018.9255184652,275
"-48",1,291432.2838854521,310
"-48",-8,441447.9624433488,540
"-48",-9,447924.4007746773,565
"-48",4,250615.71665132372,239
"-48",7,245656.30113223102,227
"-48",3,263304.70703792846,253
"-48",-6,418377.14674140746,485
"-48",-14,332816.22200682736,426
"-48",11,315738.49548355304,316
"-48",-13,340747.01774468896,430
"-48",-2,411848.07335917547,496
"-48",-3,444901.6846502802,546
"-48",-5,410618.4886741627,475
"-48",13,360857.42418567365,383
"-48",-10,399107.6401300294,492
"-48",-12,316232.1761600744,391
"-48",14,366590.8037859832,390
"-48",8,228857.51706250652,198
"-48",0,330158.8209812609,371
"-48",-11,344608.7461715965,423
"-47",-13,367292.5417763322,488
"-47",11,345393.02523502853,368
"-47",13,327342.66436135874,339
"-47",10,362507.74289628887,379
"-47",6,230124.58569837976,201
"-47",-10,426913.4077013798,534
"-47",0,395131.79496901087,461
"-47",-4,399211.11112627055,459
"-47",9,323247.50143245026,326
"-47",-14,385554.2915730871,513
"-47",4,254709.19383316857,257
"-47",-1,436184.11279432033,532
"-47",17,297604.9561133384,319
"-47",3,272295.7416232063,283
"-47",2,311128.75948545226,346
"-47",16,328841.7741610976,361
"-47",-12,346102.420462596,432
"-47",5,246298.98862807194,246
"-47",-9,454702.0540950997,566
"-47",-8,397439.0621319163,462
"-47",1,339671.08932092995,387
"-47",-11,360856.5289040711,445
"-47",-15,357380.53066434426,467
"-47",-7,413776.512496896,480
"-47",-2,447228.58708225907,551
"-47",-5,382206.8480846156,432
"-47",-6,385676.94814962347,439
"-47",-3,422957.6859750239,504
"-47",-16,333883.3567425995,430
"-47",14,348351.7362220498,371
"-47",15,360856.45949660736,400
"-47",8,261980.93500739266,240
"-47",-17,286426.1042762743,348
"-47",12,348482.2945181251,374
"-47",7,228629.9478464759,197
"-46",7,264724.69086736126,249
"-46",-12,359943.36520479165,476
"-46",12,385439.26290586503,441
"-46",-8,397674.3022178725,465
"-46",16,348736.77474307275,400
"-46",4,250877.7932993728,251
"-46",3,297780.1062791849,326
