pxcor,pycor,Radiation,FullSunlight
"-50",0,314642.3079711135,221
"-49",-8,362418.2173769365,325
"-49",-7,382406.92065271694,337
"-49",6,237794.03952303407,145
"-49",7,251828.38292885176,157
"-49",-1,360919.545915392,284
"-49",9,238836.58587688208,148
"-49",2,245183.77824609997,112
"-49",-9,292938.1889450494,257
"-49",-2,356718.00130872393,277
"-49",-5,359608.2625617976,288
"-49",-4,324370.42012564966,248
"-49",3,219912.0624504702,83
"-49",1,277134.85287052405,155
"-49",-3,337394.42792167544,260
"-49",4,196158.2112708708,72
"-49",8,243542.60379928208,154
"-49",5,229706.67219686674,129
"-49",0,329041.76729544677,230
"-49",-6,386594.1113955166,332
"-48",-4,324116.56490259647,236
"-48",0,314867.75140519737,220
"-48",-5,330885.75781648303,255
"-48",-10,233082.0597760558,186
"-48",11,314829.7266212886,228
"-48",4,201264.0715410738,75
"-48",5,218082.0164056305,106
"-48",-6,381362.04459653073,319
"-48",-9,334374.9569151133,305
"-48",-14,204542.543439292,144
"-48",13,388115.03562232194,341
"-48",-13,191425.2706704574,127
"-48",8,249417.5132683382,149
"-48",-7,391353.0867411003,351
"-48",9,287416.67682715,183
"-48",-1,335428.15816314914,253
"-48",-12,181190.54774086617,121
"-48",7,246519.3592383156,145
"-48",-2,353870.9502894104,277
"-48",1,281138.4928797304,165
"-48",12,375968.23361213296,307
"-48",14,399448.0211623058,370
"-48",-8,411664.6889644854,380
"-48",-3,344575.2918529318,269
"-48",2,241965.48982123425,116
"-48",-11,175632.26605618,120
"-48",6,242882.94749873353,131
"-48",10,295394.93200843997,205
"-48",3,217512.58021762723,94
"-47",5,216810.47395823398,91
"-47",-4,360225.3279429492,273
"-47",12,329340.744901829,268
"-47",-14,200163.9995477072,134
"-47",-1,327883.0896406909,244
"-47",11,280336.0173151967,204
"-47",-6,364032.4585007125,293
"-47",8,216738.582198425,104
"-47",-2,357949.672921505,287
"-47",-8,374820.4493362116,340
"-47",16,292453.28087535204,252
"-47",4,216312.7114193484,95
"-47",-10,217130.34433102384,177
"-47",2,282497.132727916,176
"-47",14,339297.4774327046,286
"-47",-5,346744.91119918384,258
"-47",9,242123.10025643668,139
"-47",-11,171597.44523522723,114
"-47",17,260894.82632295997,221
"-47",7,209934.08864003335,86
"-47",-13,189412.6420548223,118
"-47",10,269763.44163904554,177
"-47",1,296926.2065006807,193
"-47",13,361550.05059281696,305
"-47",-7,363946.0993161406,314
"-47",6,197582.14600863666,71
"-47",0,312105.0234988429,216
"-47",3,242101.83857916849,124
"-47",-12,180946.3024686571,115
"-47",-17,222602.64910343927,150
"-47",-16,230344.01650931267,165
"-47",-3,361580.0881229594,280
"-47",15,336543.30938274314,292
"-47",-9,304303.0767478486,278
"-47",-15,224204.5036245137,150
"-46",7,299565.0886514592,204
"-46",-10,268650.1360753135,238
"-46",15,350430.2423658092,310
"-46",-2,309590.91637355636,215
"-46",-16,186606.14108760186,93
"-46",11,283175.50883744255,210
"-46",-11,240581.69081307523,206
"-46",18,215519.6394728208,165
"-46",-3,336011.01284155075,244
"-46",-15,209378.84978768116,128
"-46",-4,378291.24404253747,298
"-46",-8,387684.37392122357,362
"-46",-17,199370.72023950776,116
"-46",17,285419.7879973178,246
"-46",9,269064.717702566,186
"-46",4,257757.40103654918,139
"-46",10,262551.66319802526,177
"-46",14,368020.34900365054,323
"-46",5,287346.75041240174,196
"-46",-18,175072.89661007386,86
"-46",-12,189465.1083345303,127
"-46",2,195688.1810060379,70
"-46",1,206929.03553816557,82
"-46",-13,187696.37694347452,115
"-46",16,338756.05270486727,302
"-46",12,308181.32910893817,236
"-46",6,297105.9702848407,195
"-46",-6,374607.91747580806,324
"-46",-7,392251.6013830839,356
"-46",3,197166.05138285088,74
"-46",-19,168855.93132354462,90
"-46",-14,189682.66603362435,114
"-46",-9,341634.5359000493,320
"-46",0,230666.67935419665,113
"-46",-5,368320.0250793622,302
"-46",8,287679.76999323873,201
"-46",19,177521.74945125583,117
"-46",-1,260784.01024378388,151
"-46",13,338655.4220735836,273
"-45",5,244625.84969552106,141
"-45",17,290651.8934171252,246
"-45",-1,256933.07814967626,148
"-45",10,263069.77393519034,156
"-45",-4,341627.0581212389,262
"-45",12,312727.3618079822,233
"-45",4,193673.21063880803,61
"-45",20,190360.57759746112,129
"-45",-11,281541.8169522389,243
"-45",21,167707.52315244198,94
"-45",-9,358768.2723080572,338
"-45",16,339635.50374982884,300
"-45",-19,178191.16746570924,97
"-45",-18,181480.74102965256,94
"-45",-16,243284.57486006443,159
"-45",-5,390053.9234076831,331
"-45",-21,183398.7148815025,111
"-45",0,221792.2368422051,105
"-45",-7,418657.58945203794,394
"-45",9,259976.96161319417,169
"-45",-10,286695.08964123536,256
"-45",-12,275051.77090284537,234
"-45",14,369379.1301154245,326
"-45",-8,406072.69892887457,385
"-45",13,322842.0217747993,255
"-45",-13,272388.80498950125,221
"-45",-15,260257.15792971817,190
"-45",19,246911.26893530143,199
"-45",6,281492.4124924466,203
"-45",-3,329589.8675674358,223
"-45",18,261888.8826672537,218
"-45",7,290052.1631728908,194
"-45",11,288337.17858838016,196
"-45",-20,181455.6966991815,103
"-45",-17,187900.04705342537,93
"-45",3,186244.85928460874,68
"-45",-2,309886.7485741506,208
"-45",8,271979.8422356625,192
"-45",1,202837.91281033773,88
"-45",15,347045.8086213746,306
"-45",-6,423455.667177999,399
"-45",-14,267271.6320633634,209
"-45",2,196389.09444663118,79
"-44",12,316242.2391950023,245
"-44",10,298712.4480013509,211
"-44",16,357731.1483276059,330
"-44",-13,271653.9598461388,219
"-44",-16,268051.85041133495,182
"-44",4,213152.47210808797,85
"-44",-22,169871.14936068564,92
"-44",20,168820.80334976088,113
"-44",-23,179782.79672819926,76
"-44",14,366609.1013772705,323
"-44",1,236324.66090386073,143
"-44",-14,282346.45949755923,213
"-44",17,293932.34127066523,256
"-44",-9,406679.92566781084,373
"-44",7,301576.961986978,196
"-44",-8,454292.3011157074,426
"-44",-12,267877.6284113525,228
"-44",23,125737.52261321284,48
"-44",-18,214267.72272193144,134
"-44",-5,375162.9019788241,319
"-44",-15,275364.2006404022,202
"-44",-2,317488.51491687243,224
"-44",-6,446185.491688891,431
"-44",0,240306.511698563,145
"-44",13,331343.62725468795,271
"-44",-3,338649.14513474714,257
"-44",-20,177920.5652153187,91
"-44",-21,173312.96834391673,91
"-44",9,291590.46970950457,195
"-44",-19,178752.42144700562,90
"-44",19,208901.7566503947,161
"-44",3,205038.78629335086,103
"-44",21,145797.12778912135,83
"-44",-7,481347.5857023024,458
"-44",18,258218.83570460006,218
"-44",-11,280055.2593290262,236
"-44",11,286504.04391638766,198
"-44",5,216601.4115710403,96
"-44",-4,348570.0057340242,268
"-44",-10,320561.0115774983,284
"-44",8,280192.8748235632,172
"-44",-1,265941.93475749105,168
"-44",2,217257.6999050091,119
"-44",-17,238513.58371119294,159
"-44",15,359843.0316750794,323
"-44",22,130458.62371589924,64
"-44",6,277466.14267319726,194
"-43",18,257537.20233905627,218
"-43",-6,406368.00721091003,361
"-43",-5,355392.67845310003,274
"-43",-14,267393.77385650075,200
"-43",2,215744.76160803516,107
"-43",3,209756.67130221744,87
"-43",-2,325250.07635531906,260
"-43",1,239372.54107514396,151
"-43",-24,179123.07771314215,72
"-43",-21,161056.11208337767,83
"-43",4,207159.7657132918,73
"-43",23,125375.4515079035,50
"-43",15,382674.85668816726,359
"-43",-13,261432.29396313892,211
"-43",9,319067.38410481205,243
"-43",-12,222129.9342687381,171
"-43",-8,454875.96787809295,413
"-43",22,131604.03191049836,66
"-43",8,300627.86675644247,210
"-43",-15,266236.22356940794,191
"-43",-4,345837.33693536575,263
"-43",19,204318.38304691005,157
"-43",20,166463.92023861085,113
"-43",-1,295735.288470692,226
"-43",-22,165525.67609904218,79
"-43",21,143664.71517822688,83
"-43",-7,477438.1469427161,445
"-43",-18,187943.06510588192,96
"-43",25,102375.1441563507,15
"-43",-9,395542.2950765216,353
"-43",10,380075.7736663809,333
"-43",24,108517.61130551992,30
"-43",7,306493.0557820846,209
"-43",-25,183573.2390006429,65
"-43",-17,230354.3438925548,136
"-43",16,354502.7537790765,334
"-43",12,326621.20739401516,267
"-43",-3,336168.396087476,262
"-43",-23,178786.14747461356,84
"-43",-10,286128.3079876225,238
"-43",17,293317.77679510374,261
"-43",-20,160181.17871482312,82
"-43",0,274793.808100223,199
"-43",11,334564.71669702075,283
"-43",13,343482.0538747868,294
"-43",5,207380.6699153821,89
"-43",6,253076.9681179536,141
"-43",-19,165983.97029222135,81
"-43",-16,259036.2578869316,172
"-43",-11,233199.68812141972,183
"-43",14,375205.82145776757,340
"-42",1,249017.95089090313,165
"-42",8,265556.18528266577,194
"-42",7,235851.88776404984,137
"-42",-27,201750.1445544512,94
"-42",11,297857.9363791397,235
"-42",-3,335058.0278443338,285
"-42",-13,282241.2951396614,230
"-42",-5,369367.26371167897,285
"-42",3,222391.12728946662,101
"-42",21,130140.78910161568,67
"-42",-22,168939.9154948646,75
"-42",-19,164179.81271311748,72
"-42",17,272706.9783350894,230
"-42",-7,418637.0168691318,369
"-42",-8,406381.45787622186,347
"-42",10,247215.2552508508,156
"-42",9,254703.29345949323,168
"-42",24,88408.18123070664,18
"-42",-9,359647.14890520455,311
"-42",-11,278154.1641679901,228
"-42",-25,192031.7308573631,92
"-42",13,306570.6291768763,250
"-42",-26,193646.270859047,90
"-42",-17,223550.45378118454,113
"-42",5,198860.92870349428,72
"-42",-16,247723.60641183364,149
"-42",-2,313035.4290271704,281
"-42",25,84239.33765400735,8
"-42",-1,280973.08920577297,227
"-42",19,168415.08069506582,115
"-42",-10,287644.74022805836,234
"-42",-15,288552.32666170964,216
"-42",-23,170106.7935610948,77
"-42",0,276697.76776442357,214
"-42",-21,164354.10024885047,74
"-42",-24,176881.30977599882,76
"-42",-6,384941.9835934272,333
"-42",-4,362619.7421259354,301
"-42",6,210419.9710004829,99
"-42",16,320434.92386202107,285
"-42",-14,285140.45896367525,225
"-42",22,114954.41474908589,48
"-42",-20,156784.21142589342,72
"-42",14,358865.9761945494,322
"-42",15,367899.548498639,338
"-42",26,92308.02777490678,18
"-42",27,77164.22782583993,5
"-42",18,213111.03292102585,160
"-42",12,287119.9595651875,222
"-42",4,207937.82934506444,83
"-42",20,145553.47926482506,85
"-42",-12,275961.8880634032,230
"-42",23,103771.82849123489,33
"-42",-18,189551.65699493507,86
"-42",2,226457.10450543335,125
"-41",28,66623.81348334785,0
"-41",-18,192445.97659373243,85
"-41",7,265649.6863107684,195
"-41",-7,433702.09767538717,413
"-41",15,292605.4850009825,246
"-41",5,189744.31409496354,76
"-41",-24,173605.65420665365,94
"-41",0,242170.61402450863,164
"-41",1,219223.0062775627,123
"-41",-12,275150.2490624152,217
"-41",6,220415.47508682817,126
"-41",-8,413865.3754738577,386
"-41",20,144627.2346847518,87
"-41",-1,290926.6980520892,245
"-41",-28,145555.3978470603,0
"-41",14,278446.4728037661,227
"-41",-22,157819.66864120332,69
"-41",12,262934.5952905231,195
"-41",-27,162351.63681908668,18
"-41",-5,375846.01193344884,320
"-41",11,233170.58861450056,144
"-41",-10,310693.39513037837,264
"-41",-9,356845.9850232095,314
"-41",10,243370.57220700636,151
"-41",27,73773.35054152094,0
"-41",-19,191384.98967607133,92
"-41",-2,324380.69794722996,281
"-41",-6,402586.81230371125,378
"-41",-14,278073.9232162894,222
"-41",-26,168926.8443280346,43
"-41",2,208856.5100755767,104
"-41",13,252804.34307850146,187
"-41",22,114515.17261704209,52
"-41",-21,158620.65310753297,68
"-41",17,287808.0214199868,255
"-41",-3,370381.2261406042,347
"-41",3,195237.95142017072,83
"-41",26,82034.64153825834,0
"-41",21,131717.60717432052,72
"-41",-15,275758.60325598315,206
"-41",8,256264.13653486798,170
"-41",19,169584.3859982098,120
"-41",9,259777.87529932367,171
"-41",-17,196396.79867397354,80
"-41",25,86426.12170721457,6
"-41",24,92593.24386740697,22
"-41",18,211048.95947529428,164
"-41",23,104941.6687182078,37
"-41",-11,271411.9383536012,223
"-41",-4,361821.81573190924,314
"-41",16,301760.6903465038,265
"-41",4,187413.9974611721,70
"-41",-16,277151.48321043415,185
"-41",-13,275780.4749695594,221
"-41",-20,177484.25193996553,95
"-41",-25,167493.08926180357,55
"-41",-23,164088.79355276603,75
"-40",-28,142791.4841140668,0
"-40",0,290556.0380283283,219
"-40",22,129664.48331865598,68
"-40",3,202986.6678534041,102
"-40",-4,382438.6974094774,362
"-40",-6,428245.7712958348,448
"-40",25,102569.03136119599,16
"-40",-18,213970.933505649,120
"-40",23,120098.58702409583,49
"-40",5,228864.69191475192,165
"-40",10,240434.82805900936,147
"-40",19,200873.2779441986,158
"-40",-23,186743.44382013087,99
"-40",-5,401239.6113719375,393
"-40",14,274471.318913969,225
"-40",-30,115250.31818031648,0
"-40",-25,193869.4510992049,72
"-40",-21,195749.98938961333,127
"-40",21,146752.38979099639,90
"-40",-29,133820.68644855774,0
"-40",12,257860.35994321876,182
"-40",-14,266096.3005237243,206
"-40",-9,376395.6269056126,335
"-40",-10,346782.7499827264,295
"-40",13,280178.44381061953,226
"-40",-20,198529.45962241004,105
"-40",18,245372.26350565098,208
"-40",4,200666.4694117076,118
"-40",-27,186354.40398617627,41
"-40",-19,187078.84277860334,89
"-40",1,247330.77978829286,155
"-40",26,90939.27054893588,8
"-40",-16,272492.9941833467,199
"-40",30,71661.31082340682,0
"-40",-8,451595.31829851324,466
"-40",7,254764.44603655054,172
"-40",17,270235.7958710536,234
"-40",-17,238513.76186358868,155
"-40",-12,277834.1477420044,212
"-40",-13,270735.3488628081,204
"-40",16,295482.987068281,261
"-40",-22,189616.6104755875,116
"-40",-2,324491.9346370397,270
"-40",9,253979.14123551472,156
"-40",-7,478009.4227060469,518
"-40",28,77931.76818166992,0
"-40",-26,183317.61870620024,43
"-40",-11,279264.059364487,224
"-40",-24,188362.16383704316,89
"-40",2,232518.62580818697,127
"-40",6,240698.58886164805,163
"-40",8,257210.6826727454,162
"-40",11,240089.8857620266,144
"-40",29,70972.89471442999,0
"-40",-3,349297.30577938317,314
"-40",-1,295067.11472826195,233
"-40",-15,260806.9726281051,197
"-40",15,287490.63845592784,247
"-40",27,84018.01786817214,0
"-40",24,113511.72596549222,32
"-40",20,170479.61969844328,120
"-39",6,273690.5664446993,190
"-39",-17,238731.73234995618,167
"-39",9,231010.1335310692,104
"-39",-11,340945.0185736984,295
"-39",-8,492852.8128332893,556
"-39",-24,169603.6998150666,15
"-39",-29,124926.75813842063,0
"-39",-3,341294.61080702214,304
"-39",7,312814.6363321872,241
"-39",3,254485.55916133636,189
"-39",31,67633.49803927464,0
"-39",15,328557.0529781163,298
"-39",-31,106792.83537985447,0
"-39",-5,400004.72503323056,389
"-39",-28,134266.27137080228,0
"-39",10,261266.85170206134,164
"-39",-18,221367.38521787288,139
"-39",20,170168.6473016065,110
"-39",-15,255695.3628375819,192
"-39",12,284263.3370674024,220
"-39",29,69915.38942835477,0
"-39",-12,294652.60943383933,222
"-39",-16,251375.6454230364,184
"-39",-25,183399.54350063426,27
"-39",5,254370.1519176443,175
"-39",-19,190044.00937182855,101
"-39",11,252886.70972740604,164
"-39",23,126449.75386706469,47
"-39",-14,261888.4311787894,195
"-39",4,239092.30818670202,182
"-39",14,313018.5020423271,274
"-39",8,268996.69216531614,156
"-39",-9,441061.80164684914,453
"-39",21,142744.04982431597,82
"-39",28,77501.8466735702,0
"-39",-20,198783.26979923598,121
"-39",26,100756.27273509433,6
"-39",18,267529.1136566843,229
"-39",-7,494852.72419926594,544
"-39",1,280788.18115527293,209
"-39",22,126985.72159029165,65
"-39",19,206602.0558293113,157
"-39",0,273400.4260572492,195
"-39",13,309470.2907837818,270
"-39",-6,440003.8966425658,455
"-39",17,297237.6835956691,260
"-39",-22,184584.47321877276,92
"-39",30,67707.84839508397,0
"-39",-4,375700.07987885317,358
"-39",2,272045.5451852462,201
"-39",27,86931.21455978663,0
"-39",-26,173772.18818151896,26
"-39",24,121448.39425148806,30
"-39",-1,293171.15646649135,221
"-39",-21,200440.5450199078,120
"-39",-27,169898.37066631115,24
"-39",-10,379849.237642272,347
"-39",-30,120517.07565229367,0
"-39",16,337456.3999202402,308
"-39",-13,275669.4502488806,199
"-39",-2,321898.4467548495,259
"-39",-23,177573.09629776742,56
"-39",25,111784.98332252036,15
"-38",17,306497.29108282184,276
"-38",-1,286164.3869254047,211
"-38",-9,414964.53716812475,462
"-38",26,93853.52754680677,4
"-38",28,74141.20513154514,0
"-38",7,261561.9742220836,147
"-38",-18,183206.44064050782,98
"-38",22,136266.58163607254,63
"-38",16,349137.6422173001,330
"-38",-30,117834.94819539462,0
"-38",4,243299.47445986525,170
"-38",-12,375743.2463606301,355
"-38",8,282790.35611234745,168
"-38",-28,151009.74323972285,29
"-38",13,305528.8365272808,262
"-38",-23,183582.9454080505,29
"-38",12,282914.9540944546,216
"-38",25,104327.47318286613,14
"-38",-16,228392.9621122692,162
"-38",-6,387247.8250446549,403
"-38",10,274803.96931409143,170
"-38",-29,119995.1793022209,0
"-38",-21,193815.04473589364,99
"-38",-31,116133.91251236146,4
"-38",-17,202416.1022292922,129
"-38",11,296072.0527418433,215
"-38",-10,396438.31680802203,434
"-38",23,134958.83878503158,46
"-38",-7,416008.5793040689,436
"-38",9,282659.2314939887,166
"-38",-22,191879.33830137004,67
"-38",1,253894.15649533892,173
"-38",-27,180024.6494552431,48
"-38",-13,358244.0388476244,323
"-38",-14,317279.24360270705,249
"-38",15,346926.9365584903,325
"-38",-2,299077.22737649165,247
"-38",27,84152.61256827037,0
"-38",24,120888.74722807434,26
"-38",19,198363.81602106855,141
"-38",3,247110.99044144023,168
"-38",2,248346.7531136422,170
"-38",29,69191.09709915062,0
"-38",-32,120295.62021815148,12
"-38",-15,281876.5426318979,215
"-38",6,248645.40038552,140
"-38",-19,188312.38032424005,109
"-38",-25,183281.13309006693,32
"-38",-24,180895.38741874398,22
"-38",20,161984.85869486764,96
"-38",5,242016.084271797,155
"-38",-26,172844.16894752532,38
"-38",-3,313984.8599512025,280
"-38",0,271318.4142574769,183
"-38",-5,358398.4916036737,359
"-38",-4,338008.40492728463,329
"-38",14,328449.9049295086,302
"-38",-11,363803.52840784745,343
"-38",32,68846.65078208111,0
"-38",21,143281.73564700654,75
"-38",30,67625.70471318648,0
"-38",18,253233.58682302476,207
"-38",-20,195354.71669279027,117
"-38",31,65379.504504306366,0
"-38",-8,440559.14690263296,482
"-37",-22,182788.60355027972,32
"-37",-18,188630.11192362182,121
"-37",11,243978.26071659487,142
"-37",4,246378.3663347772,172
"-37",22,112096.61645111575,37
"-37",28,68760.31515586426,0
"-37",-4,321887.96331689775,297
"-37",7,256330.75293152567,133
"-37",16,273190.861603255,242
"-37",9,330997.8660567774,251
"-37",25,100917.59422226457,5
"-37",17,242535.27502834718,202
"-37",30,67039.28217571028,0
"-37",18,190032.36393990205,132
"-37",15,291107.72917804343,262
"-37",24,113457.00702596702,16
"-37",20,137840.41269184352,65
"-37",-7,423120.4500935885,458
"-37",-5,353849.67302080727,371
"-37",-26,166739.09740510688,30
"-37",32,120476.40737929422,69
"-37",-3,304657.37957765604,264
"-37",-14,323066.8728595464,268
"-37",19,158036.91484493425,95
"-37",-32,132696.2859052694,19
"-37",-31,122732.4141360077,11
"-37",27,81729.4267731012,0
"-37",-8,446318.7574907756,488
"-37",-11,341733.9066118825,333
"-37",-24,182598.11191740347,34
"-37",-2,286378.3029420343,242
"-37",6,224632.42629816692,112
"-37",12,265462.8833352578,175
"-37",2,268253.2128583579,182
"-37",23,117286.91583609387,26
"-37",-28,147881.95826030444,0
"-37",10,300228.39755473775,213
"-37",-30,129001.18582009686,4
"-37",1,261067.58598382192,192
"-37",33,133467.29342175205,90
"-37",21,122775.7392489546,49
"-37",13,254492.45984619315,184
"-37",-9,424500.0755735831,452
"-37",-1,271327.8372320255,208
"-37",-15,301802.1173523258,233
"-37",-33,145567.56287299606,28
"-37",0,261470.50335608172,197
"-37",-6,385562.07985466183,414
"-37",-12,333984.319595409,326
"-37",-16,254000.97205771017,203
"-37",-23,180482.42193203844,33
"-37",-21,193948.55404818623,73
"-37",-25,176771.5541487504,31
"-37",26,86894.83593376144,0
"-37",8,306315.5479898739,217
"-37",5,242255.00867661674,131
"-37",29,66723.18131603002,0
"-37",-20,197485.2371993685,103
"-37",-29,132240.37990579533,0
"-37",14,334036.1186303089,304
"-37",-17,178372.35287690593,111
"-37",-19,196935.26095257577,126
"-37",-13,332904.1706016681,323
"-37",31,85205.91759307422,26
"-37",-10,393459.60123156133,412
"-37",3,259056.66964905706,173
"-37",-27,153788.59784070984,15
"-36",0,270598.56447044224,214
"-36",-26,180168.26925876035,46
"-36",15,288960.46697095095,264
"-36",12,248981.31385641822,165
"-36",27,73419.25167435549,0
"-36",-18,236138.27524355045,196
"-36",29,59592.95373854684,0
"-36",31,62228.22829370715,0
"-36",30,60420.486594515285,0
"-36",7,268679.0559208523,174
"-36",24,109953.44039321276,17
"-36",17,212055.71960183512,159
"-36",-28,180420.62560281195,53
"-36",4,276091.7757316785,211
"-36",-31,125396.10351686538,3
