pxcor,pycor,Radiation,FullSunlight
"-50",0,431275.2076383928,516
"-49",-1,415639.2403755453,488
"-49",6,463649.24458772194,577
"-49",4,456799.74958899175,571
"-49",-8,430333.63209802686,504
"-49",3,450236.6812795947,560
"-49",-6,443834.41225920105,526
"-49",-7,459165.1163129034,546
"-49",-4,407241.8458265617,473
"-49",1,499750.7259566249,616
"-49",-3,427604.9939606496,501
"-49",7,457654.6035181745,568
"-49",-2,403303.82537086686,463
"-49",0,463249.22080847283,567
"-49",2,486581.4372488382,616
"-49",-5,421209.2321818175,492
"-49",8,467203.40201683826,570
"-49",5,462421.1698269509,566
"-49",-9,460441.7882533777,552
"-49",9,477939.27683461446,582
"-48",8,458512.731954913,556
"-48",-2,430818.0846973815,505
"-48",-10,384716.0219654165,447
"-48",-5,457067.1951790009,545
"-48",-8,419813.5290073062,486
"-48",11,503049.41887919605,597
"-48",-4,440192.34782274655,514
"-48",-11,368053.6837992719,422
"-48",14,541755.5370327837,675
"-48",-1,414716.2996620629,489
"-48",10,482331.3963342144,573
"-48",2,446732.82151785376,566
"-48",9,460733.3527199667,554
"-48",0,447501.2076567147,547
"-48",-7,449103.46551847144,534
"-48",-6,450718.49840112514,537
"-48",-13,367944.17044578283,412
"-48",7,454760.93859138794,556
"-48",-12,370605.6679944454,422
"-48",-9,412899.63327962067,479
"-48",4,443280.4772340818,552
"-48",12,541491.1026987681,662
"-48",3,441249.8969883343,562
"-48",5,440857.9635977025,537
"-48",-3,430955.624852075,501
"-48",1,453478.2307818812,557
"-48",6,452200.6948506574,554
"-48",13,536741.7411692663,657
"-48",-14,389070.8751897923,436
"-47",-10,362165.6835411814,420
"-47",-16,407974.13617409696,465
"-47",9,517372.47835299635,637
"-47",7,466705.3708515495,579
"-47",16,567908.6838152474,703
"-47",11,541357.4016214721,663
"-47",-13,364363.95107747323,411
"-47",5,436270.1441105648,537
"-47",-9,395894.40624804486,457
"-47",1,446475.6540662977,559
"-47",17,579959.3931807068,716
"-47",-14,384989.1027044231,443
"-47",-2,431342.9458794587,515
"-47",-4,459892.04815677664,542
"-47",15,559804.9680280035,698
"-47",-5,439353.76018191886,526
"-47",6,452461.64374810865,561
"-47",-15,392269.0993952754,454
"-47",12,540789.3843321549,668
"-47",-17,358072.20795986813,389
"-47",2,442773.2432557964,558
"-47",-7,425588.5168977701,501
"-47",8,479330.5048397773,587
"-47",3,422444.5459418675,530
"-47",-11,354659.2277365105,410
"-47",-12,357530.9420855283,404
"-47",0,433404.7441905956,542
"-47",10,549109.4617460626,677
"-47",4,429414.7113699712,528
"-47",-6,436987.1687285009,520
"-47",-3,447310.3514547747,533
"-47",14,557135.9507574668,690
"-47",-1,432641.38872371067,523
"-47",13,546667.7529333344,674
"-47",-8,418086.09322039306,483
"-46",-9,393016.4407641296,463
"-46",-2,432913.6510370885,513
"-46",4,435947.2153390398,538
"-46",-12,345719.34196416085,385
"-46",-7,398814.14548989804,473
"-46",-5,435668.34228728735,527
"-46",-1,418504.02353645547,509
"-46",9,542526.5507926098,677
"-46",-11,354353.66011833824,408
"-46",-14,363308.9237152652,416
"-46",15,536836.499556632,658
"-46",-13,355542.5638848217,402
"-46",5,451523.51375481946,552
"-46",-3,429943.5253944683,521
"-46",-17,352224.31622292515,381
"-46",-19,352659.0338737115,366
"-46",13,511935.311152958,632
"-46",18,532588.9606991549,630
"-46",14,523083.1768106161,643
"-46",-16,357090.7216670113,405
"-46",1,454769.619179877,574
"-46",-15,390352.95828478265,461
"-46",2,449553.8546731996,563
"-46",-4,428797.7030171234,511
"-46",-8,407664.29851681803,482
"-46",7,484064.41745498125,604
"-46",19,532314.9147640509,626
"-46",16,536113.5804538301,653
"-46",-6,432552.4712810038,528
"-46",0,434297.2785056149,537
"-46",8,534092.9657462358,672
"-46",-18,344845.2813225345,365
"-46",10,567636.3415908401,716
"-46",17,528819.2965956893,633
"-46",3,427728.2858060553,526
"-46",11,565564.972693548,710
"-46",12,544835.2271448373,678
"-46",6,460352.47332826216,568
"-46",-10,373107.05685180816,436
"-45",-19,305921.26449250185,303
"-45",10,534814.1611947806,670
"-45",8,516197.9010393872,655
"-45",-14,341386.81451380067,397
"-45",21,537196.3059598703,619
"-45",1,461681.58420790156,577
"-45",6,507570.28882954,645
"-45",5,486648.903260129,611
"-45",-6,404078.01091002853,489
"-45",17,524970.452752896,628
"-45",11,544361.1491223972,674
"-45",18,495331.159089113,578
"-45",19,486194.3288552089,563
"-45",4,482692.7347752284,602
"-45",-18,292654.62714615173,289
"-45",-15,367542.41394461197,433
"-45",-8,382806.9571926873,456
"-45",15,573978.1434067942,713
"-45",-11,342519.6819785998,401
"-45",13,574372.6118002672,711
"-45",-16,354016.28770503507,404
"-45",0,441721.5384484847,536
"-45",-5,424773.0114680013,523
"-45",-12,320800.16755304043,358
"-45",-21,317344.0729932888,329
"-45",7,525050.8157695162,672
"-45",20,523614.5944074577,604
"-45",-17,334299.95258995227,366
"-45",-4,425858.794078296,515
"-45",14,604018.8278662538,756
"-45",-9,366418.7265139067,432
"-45",-7,381682.19466567924,460
"-45",-2,444160.4731932199,544
"-45",3,439173.47134372586,534
"-45",-1,439723.31348679354,541
"-45",-13,320188.1851298844,362
"-45",-20,314971.71074142656,321
"-45",12,544347.3958384765,672
"-45",9,508743.293581785,641
"-45",16,557456.5056173663,685
"-45",2,466819.5656413761,584
"-45",-10,352284.511727076,409
"-45",-3,434759.32854046044,533
"-44",-3,450164.83318716806,546
"-44",13,586661.4104188561,722
"-44",-22,337620.9332305458,360
"-44",-18,326761.673166506,342
"-44",6,507334.97021762596,648
"-44",-5,427168.9937043102,532
"-44",7,508585.1977862832,651
"-44",4,510315.7553585401,637
"-44",2,468032.8110131914,566
"-44",18,551672.0999379671,656
"-44",-6,396792.3192857701,487
"-44",-10,333574.40081224986,387
"-44",-16,346152.3193438613,386
"-44",-17,337137.2524476186,373
"-44",0,459360.54396068567,566
"-44",20,534973.4050750863,619
"-44",8,497764.38585000637,635
"-44",9,518398.83680406056,655
"-44",-2,455715.57105447014,559
"-44",3,492475.25923999946,601
"-44",19,545194.0186428515,647
"-44",-4,433057.9392171325,523
"-44",-13,323742.80265615246,370
"-44",-1,453129.2036270729,565
"-44",22,538947.5031414926,630
"-44",-21,329396.55575542175,352
"-44",23,557437.5921210225,655
"-44",-14,336474.5381182494,378
"-44",15,560481.8380970536,691
"-44",-7,379818.9434201783,453
"-44",-9,351955.5228546948,413
"-44",5,514566.08793200983,651
"-44",-12,327044.31795487716,377
"-44",21,550675.3151948936,646
"-44",-15,343520.30549477885,381
"-44",11,559003.3905075571,700
"-44",12,585187.7244982369,719
"-44",1,452090.2672879451,547
"-44",16,541989.5019397048,658
"-44",-8,377992.0207901657,442
"-44",14,572441.7973117792,702
"-44",10,552714.7152893342,699
"-44",17,548183.3698431894,654
"-44",-20,352373.9994021845,386
"-44",-19,334182.87097314786,349
"-44",-23,347434.0530813174,380
"-44",-11,330750.51377690607,382
"-43",22,545805.1751801134,643
"-43",18,558067.1783316068,660
"-43",-12,343763.3678363702,395
"-43",-14,343736.1036970909,389
"-43",-18,360456.9971844827,400
"-43",9,479938.7190973354,604
"-43",16,544499.3652152698,661
"-43",-10,334292.0575080008,386
"-43",10,487184.915547068,596
"-43",15,556295.34851826,674
"-43",-20,342304.40647371934,376
"-43",-11,327680.8844790766,371
"-43",-24,338035.48826387734,354
"-43",-25,325709.2707164663,326
"-43",-13,352169.7370132619,408
"-43",4,534584.9824968402,671
"-43",24,551104.2918226828,654
"-43",-15,338723.3349159228,374
"-43",-5,447233.2391000811,555
"-43",-2,514888.1040740401,657
"-43",-6,400218.30949524336,483
"-43",-19,336364.00585465255,354
"-43",-1,490489.92820525874,618
"-43",-8,370296.9452073019,441
"-43",13,602064.3853704705,747
"-43",-23,353731.16706334153,390
"-43",25,553753.8207192968,650
"-43",21,569304.5135465382,677
"-43",-17,317155.2760765087,347
"-43",-16,309652.3149951064,336
"-43",1,464301.41574738995,573
"-43",20,545074.4367953002,634
"-43",-4,495297.3031523555,617
"-43",11,509257.03637337656,622
"-43",3,493707.3899444768,604
"-43",23,535884.5923939026,631
"-43",8,500934.2848557794,636
"-43",14,565169.57488826,689
"-43",12,547870.3820689165,675
"-43",-9,339985.3348930353,389
"-43",19,566410.0924659871,666
"-43",0,487241.90044980013,618
"-43",2,477631.42400622903,583
"-43",7,490689.2508220202,627
"-43",-7,383741.98631745495,460
"-43",-3,513974.9158874937,645
"-43",6,497639.27730465116,633
"-43",5,509041.0426504506,641
"-43",17,550861.7589404477,659
"-43",-22,328464.8391225958,353
"-43",-21,335950.3509200246,366
"-42",-15,342072.5262298203,375
"-42",2,438723.3721669115,534
"-42",-25,349528.11039077805,367
"-42",-10,357815.6469274062,416
"-42",-18,337529.74913267966,362
"-42",-26,343706.0296434656,370
"-42",20,589045.1792087519,701
"-42",15,558498.4258093841,682
"-42",-11,336270.1118997241,378
"-42",24,543795.2048266325,655
"-42",-22,330955.3274101544,358
"-42",-20,342147.7922492996,379
"-42",17,553398.7267576202,658
"-42",12,518647.04367890005,625
"-42",-8,374596.1407440744,445
"-42",-23,356277.7430708774,393
"-42",-9,344594.752834219,400
"-42",-19,343430.60480923206,368
"-42",-27,303527.4388268705,308
"-42",25,572673.9506231028,694
"-42",-3,485868.6943948373,610
"-42",14,605656.61307087,745
"-42",-24,335010.20069042145,354
"-42",9,513900.693109242,646
"-42",-16,333645.5087185078,373
"-42",8,520514.86396706064,662
"-42",-6,431452.72479099635,514
"-42",4,509870.75644052436,639
"-42",13,557087.6625813296,678
"-42",11,493698.3413874341,594
"-42",-5,439234.6627312332,540
"-42",-7,394904.5176563074,457
"-42",-21,327937.2891855347,351
"-42",23,536165.0700533603,643
"-42",3,493014.46548812493,620
"-42",6,498270.5236599869,625
"-42",26,596719.5815696459,727
"-42",-2,486553.6060399363,619
"-42",16,538736.2323439007,646
"-42",-4,455456.6171455493,567
"-42",-17,333017.80370283255,364
"-42",-14,344018.94179533183,381
"-42",22,551515.5120336098,650
"-42",18,592462.0057907497,712
"-42",19,589581.0476252983,699
"-42",7,502533.395743735,628
"-42",-13,363034.3950135844,409
"-42",-12,367752.51393622876,426
"-42",21,589969.1425341468,717
"-42",-1,453333.4801158691,570
"-42",27,593411.6961267866,721
"-42",10,480466.1569521884,580
"-42",5,498762.24638597015,620
"-42",1,448051.51038091874,554
"-42",0,442683.31853666063,546
"-41",-6,425737.55530731374,501
"-41",10,486339.83144331025,589
"-41",-11,355138.09148367465,395
"-41",-25,367606.8855797551,412
"-41",-22,323274.04857788706,348
"-41",-26,357995.2134278383,404
"-41",-4,415493.7420873674,494
"-41",18,637069.391191021,778
"-41",15,620636.0748076487,750
"-41",0,453179.07822411397,562
"-41",25,524618.5015379636,632
"-41",11,489916.51925602194,583
"-41",-15,361572.64425832673,384
"-41",6,502718.7647108115,628
"-41",-27,335276.6677631394,357
"-41",20,583422.4302674833,707
"-41",-1,451509.8817191568,561
"-41",24,531371.5912333592,648
"-41",14,598574.7249766102,724
"-41",12,508268.60764486,602
"-41",-8,372568.71575024625,430
"-41",-5,441466.0020379163,530
"-41",5,505275.41564381594,632
"-41",-3,416678.82631337666,507
"-41",1,426057.0848543203,522
"-41",-19,312934.6125358286,323
"-41",-9,341670.0041322497,386
"-41",17,625721.4541412487,763
"-41",-16,379163.30550762906,419
"-41",2,453071.03409097693,555
"-41",4,497751.893297029,626
"-41",-20,320042.3080685505,339
"-41",-7,409939.5538149068,477
"-41",-17,351758.7801905533,379
"-41",23,546868.5424917341,668
"-41",-24,348425.26691122685,385
"-41",-18,354480.70138694847,377
"-41",9,521206.9146835689,645
"-41",19,592166.3141612224,717
"-41",21,572941.2852899557,701
"-41",-28,303113.64956482337,307
"-41",-21,308059.3362889797,326
"-41",26,529656.5697708158,636
"-41",27,536184.6971094031,642
"-41",7,517986.6515516169,649
"-41",13,552947.9628616141,667
"-41",-13,373128.7661155614,416
"-41",3,465934.6265073521,578
"-41",22,530345.9941918334,639
"-41",-2,445314.61498399597,551
"-41",8,532655.3136947721,669
"-41",-14,362471.92586951156,399
"-41",-10,364400.8918029725,418
"-41",16,597681.7237718458,728
"-41",28,548300.5106678974,651
"-41",-12,385246.43618628214,432
"-41",-23,337219.10534174537,377
"-40",-1,492620.8821134809,621
"-40",-22,339140.27731169265,378
"-40",13,542531.0015877465,647
"-40",22,522591.51350908633,635
"-40",-4,407787.0220122177,473
"-40",6,479469.9022619545,606
"-40",28,531277.0416562115,636
"-40",14,603646.9367290827,731
"-40",18,649799.1609261096,810
"-40",-5,414602.9350068526,492
"-40",12,520148.0817274114,627
"-40",4,511159.5144141049,648
"-40",-17,365340.35587838996,372
"-40",30,632990.5161320699,771
"-40",2,469103.12837547914,578
"-40",-21,332459.44864640775,363
"-40",-7,401448.90887061827,473
"-40",10,513865.43762586685,624
"-40",20,585895.3458557131,719
"-40",-27,323037.63278536627,356
"-40",-6,411666.97121821606,481
"-40",-20,335518.8050307617,357
"-40",16,682295.8755749196,845
"-40",26,508778.15957423527,614
"-40",24,498031.17997335637,611
"-40",1,449470.3645328233,555
"-40",-13,379963.16159255325,416
"-40",0,463212.53577119764,567
"-40",-2,466442.16317203484,570
"-40",-8,369676.63306548924,416
"-40",19,607034.0495834601,747
"-40",-18,347941.2306037003,362
"-40",-29,288032.3609556978,279
"-40",21,569067.8847467286,696
"-40",-26,345805.86358436727,389
"-40",-11,389490.92930653854,430
"-40",15,653588.7570708039,801
"-40",7,470267.19915655686,587
"-40",-25,325546.85651366104,363
"-40",-16,410074.48194230295,445
"-40",-9,347375.9239693998,385
"-40",-30,298673.42715184006,281
"-40",3,486783.9689371275,606
"-40",-12,396002.0602033149,431
"-40",-3,404350.6616407824,479
"-40",8,494155.9046522692,609
"-40",-19,335236.8744384172,352
"-40",-14,381265.29589215916,422
"-40",11,514237.8744746519,621
"-40",5,491704.2271567193,627
"-40",25,521213.78779893083,636
"-40",-24,344581.16110457614,375
"-40",17,666623.2643145521,831
"-40",27,515795.6700604322,625
"-40",-28,300503.7962507304,307
"-40",-10,374567.079456311,422
"-40",23,498167.1777261397,613
"-40",29,547060.2390095151,650
