pxcor,pycor,Radiation,FullSunlight
"-50",0,258801.25014745357,409
"-49",-7,175718.47412883688,283
"-49",1,339497.9959535134,511
"-49",-8,188656.20760426793,307
"-49",7,290528.5276784975,442
"-49",-9,222826.99806859044,343
"-49",4,254179.57745242727,390
"-49",-3,211393.46237938947,332
"-49",-1,186487.08185215364,306
"-49",6,305831.54112734867,460
"-49",2,345331.3948704927,523
"-49",3,317886.68372313987,479
"-49",0,244570.05622045725,383
"-49",9,213367.90061380822,346
"-49",5,256539.71845110104,399
"-49",-5,185768.9956103504,290
"-49",8,262054.13127365243,404
"-49",-6,195206.935925381,309
"-49",-4,204692.33480860165,318
"-49",-2,197837.08252278776,321
"-48",-1,179991.20575271203,301
"-48",6,259457.24317742954,406
"-48",8,299920.78790773294,453
"-48",-6,168460.12346935272,282
"-48",-8,210229.13308569186,333
"-48",-5,186669.0100208966,296
"-48",3,342830.3855790124,515
"-48",5,239793.30165862606,379
"-48",1,340337.1792252415,508
"-48",-13,202806.18756467244,330
"-48",-9,231903.93484793673,354
"-48",-10,198216.80758831292,303
"-48",9,236529.8079007938,381
"-48",-7,167827.13693221446,275
"-48",11,178114.36022405082,307
"-48",2,334723.4598483914,502
"-48",-2,161064.21119786266,270
"-48",-14,221587.5125794816,349
"-48",-3,148364.63744710665,254
"-48",12,170196.9180430964,298
"-48",0,233477.04737726625,367
"-48",14,170543.44455478108,293
"-48",-4,173367.7497137418,282
"-48",13,150074.69529708268,269
"-48",7,305587.43297355855,464
"-48",10,189710.86347263976,319
"-48",-12,181683.78707356844,305
"-48",-11,187466.90496039492,302
"-48",4,268234.7935668437,415
"-47",10,268261.99053335155,417
"-47",-10,229201.62620670206,344
"-47",-8,242153.86682968118,372
"-47",-11,213307.0796151469,330
"-47",-14,209897.61957391724,332
"-47",-1,186288.70713747625,305
"-47",13,187438.67534018052,316
"-47",-16,173235.04444824392,268
"-47",7,274380.2346506157,425
"-47",-15,245068.39039389667,367
"-47",0,236003.3674516472,373
"-47",-5,127981.51132072796,224
"-47",-12,200936.4455555283,318
"-47",12,207219.712248446,346
"-47",9,262655.15603596263,410
"-47",-9,246332.08591731344,370
"-47",11,223527.17159593356,365
"-47",15,195916.42771648712,325
"-47",2,285426.2864146749,438
"-47",8,262447.2576878675,412
"-47",5,242891.91710275697,389
"-47",-3,148838.1102552011,257
"-47",4,236877.6877694792,383
"-47",16,196130.81111227244,314
"-47",1,319555.7073366524,478
"-47",14,175790.95123901762,295
"-47",17,187343.6803896806,287
"-47",-13,208097.19337867683,337
"-47",-17,179235.25381564992,274
"-47",-4,137597.6353667984,241
"-47",-6,170391.0853460727,279
"-47",6,261635.17455536392,410
"-47",3,283162.2801682433,443
"-47",-2,160910.5070033335,272
"-47",-7,184596.33395767355,297
"-46",-5,138119.6500956866,237
"-46",-6,165193.86488053045,274
"-46",3,277951.9664937308,435
"-46",18,156301.38275648424,248
"-46",-18,155928.9671335765,247
"-46",-17,145796.84036236364,228
"-46",-3,164382.0695472137,278
"-46",16,211512.96439993058,333
"-46",-4,142407.44135793913,247
"-46",-10,271307.57865289995,394
"-46",-2,171570.02150937705,283
"-46",11,219834.52103756348,365
"-46",5,235956.22336407527,386
"-46",-16,152560.72683504334,241
"-46",6,233224.04982843623,377
"-46",1,239537.06437247823,379
"-46",15,224860.8643681068,362
"-46",-12,220523.28604381086,344
"-46",10,222877.831395395,369
"-46",-11,258609.52737903318,382
"-46",-1,178829.50056151516,298
"-46",12,252576.95434632027,398
"-46",9,252930.73361276332,414
"-46",13,239269.166661004,385
"-46",-9,242470.89941499953,361
"-46",-13,216722.4776705772,348
"-46",0,203751.77243366544,330
"-46",-14,214050.53641712415,334
"-46",17,210256.32630770624,319
"-46",-8,233721.32006223663,358
"-46",2,260431.209459824,405
"-46",7,257077.37225817598,408
"-46",8,276135.473370174,442
"-46",-7,203445.98988336173,322
"-46",14,208272.28384623615,339
"-46",-19,171365.281648228,275
"-46",19,145601.73263855668,238
"-46",-15,181667.68646005358,286
"-46",4,272058.30156426213,429
"-45",-3,188456.87859515834,310
"-45",-10,227217.85179098512,343
"-45",1,192779.24411509043,315
"-45",-8,224461.75325396706,345
"-45",8,268037.59074345883,433
"-45",-7,215416.77194518512,336
"-45",-13,211271.1624470173,337
"-45",16,263160.86218298035,399
"-45",9,248711.33968580916,412
"-45",3,228561.82897907248,367
"-45",-20,190571.2046872801,306
"-45",-19,182143.82543088257,293
"-45",10,206312.4179394086,354
"-45",21,193438.70371173907,317
"-45",-21,185538.66127999837,297
"-45",20,174580.78454825966,290
"-45",14,242255.34233274648,380
"-45",12,199873.93098462338,337
"-45",7,267304.70122054947,429
"-45",-4,167845.50343990332,283
"-45",-5,162332.0542503378,275
"-45",-2,187720.99664715835,308
"-45",-14,185406.69329793274,298
"-45",-18,145744.87917037526,236
"-45",-9,231964.0884037445,351
"-45",2,215570.88835843754,342
"-45",-17,143393.0975413343,231
"-45",5,217162.48432604407,356
"-45",-16,135335.38879301728,219
"-45",13,202155.8618065786,338
"-45",6,224309.74187492867,362
"-45",-15,152666.5152019441,249
"-45",19,175252.85427619872,286
"-45",15,241569.6110241673,379
