pxcor,pycor,Radiation,FullSunlight
"-50",0,190901.83985029528,23
"-49",6,206981.1744224061,26
"-49",0,174687.3752026108,25
"-49",-5,187547.41739198397,9
"-49",5,224716.034988347,55
"-49",-8,186287.5496009084,34
"-49",-7,181316.20886985483,24
"-49",-6,178589.47063894695,14
"-49",-2,200927.49533862187,52
"-49",-4,176874.53150846704,3
"-49",2,187626.3205900555,1
"-49",3,188435.91596089,0
"-49",4,211315.9796686298,43
"-49",8,204983.16030024624,6
"-49",1,189870.9863790204,8
"-49",7,208360.07415925147,17
"-49",-1,179743.88337232824,27
"-49",-3,178195.45291376533,0
"-49",-9,208470.6263345728,45
"-49",9,177858.8722093843,4
"-48",-2,206289.8513482388,54
"-48",7,233777.1944552444,36
"-48",8,208079.05752278524,15
"-48",5,257687.52250628528,71
"-48",-12,280030.82966136775,100
"-48",12,129909.94969402153,6
"-48",10,155946.20331234645,9
"-48",1,177906.72707390244,13
"-48",-1,187408.93879279657,27
"-48",13,126469.8793400744,4
"-48",14,124719.6613565734,2
"-48",-9,215009.37268167888,48
"-48",-14,417773.38267206284,289
"-48",6,261998.15235141327,67
"-48",-11,251181.85214003985,74
"-48",-13,319259.9921105356,159
"-48",-6,181664.25468001488,18
"-48",3,236425.19389465178,73
"-48",-10,235769.36614098217,62
"-48",0,172036.49774023393,22
"-48",9,180287.26219999613,12
"-48",-4,188874.11072016164,8
"-48",-3,194239.18829570067,17
"-48",-5,186957.38403548326,12
"-48",2,214576.50920189734,52
"-48",-8,203787.11684103776,38
"-48",-7,190589.88648993056,27
"-48",4,255913.4578917903,90
"-48",11,135129.37024492415,8
"-47",-2,168823.00604390248,3
"-47",13,126512.54023908009,0
"-47",-13,366539.59851193277,205
"-47",-10,240432.89727511938,90
"-47",8,258983.0613029592,93
"-47",12,140983.88640646698,0
"-47",4,216041.61262816703,59
"-47",3,201087.48536662405,32
"-47",5,243436.60069776248,67
"-47",16,120451.18481150991,0
"-47",0,164259.79145967393,14
"-47",14,119646.50478073541,0
"-47",9,235965.22565752256,99
"-47",1,165618.39658275543,18
"-47",-14,430378.4892576891,279
"-47",-1,155202.87274640708,0
"-47",-7,188307.17309349522,38
"-47",-6,180333.4371572893,24
"-47",-15,476129.6946492297,346
"-47",-17,457865.3111965592,319
"-47",17,127690.98382825103,12
