pxcor,pycor,Radiation,FullSunlight
"-50",0,156686.35686247254,51
"-49",-7,213606.98106232155,110
"-49",4,149331.39194840065,80
"-49",7,200521.51512320296,160
"-49",-6,235829.1494290746,125
"-49",9,140562.66058598013,72
"-49",3,135682.65517100744,53
"-49",2,122765.53900668249,22
"-49",0,164999.63241137555,61
"-49",-5,238561.87312808962,126
"-49",-3,223165.8771561439,119
"-49",-1,194221.31779082995,90
"-49",-2,228629.70655509966,130
"-49",-8,124720.37461802793,0
"-49",8,169943.87265750716,115
"-49",1,139991.9191096373,38
"-49",-9,111211.47700230803,0
"-49",6,206073.73996678204,164
"-49",5,160437.37706969757,99
"-49",-4,230576.2760576679,119
"-48",-14,95904.0956163329,0
"-48",13,110138.19767997917,20
"-48",3,117235.15094492464,25
"-48",-4,275099.52255971456,178
"-48",-7,254475.92197515696,146
"-48",5,143036.63839350824,82
"-48",14,102594.59716798527,11
"-48",-9,141768.64952030586,35
"-48",0,181965.62561860014,84
"-48",10,109552.5045630958,33
"-48",-10,100494.76558415729,0
"-48",-5,291084.9425469185,190
"-48",-13,96501.82478555018,0
"-48",4,123791.81440269806,49
"-48",-8,186951.62971092065,77
"-48",-2,256840.88058956253,160
"-48",-3,266094.7392491041,164
"-48",9,125907.44111720525,52
"-48",2,140447.20895879262,37
"-48",-1,225098.28282261777,126
"-48",-6,295396.7907245076,194
"-48",1,151701.14411429554,56
"-48",6,174894.70163631218,127
"-48",12,110712.98102733785,25
"-48",7,185433.64965610357,139
"-48",-12,97101.1699263873,0
"-48",-11,97982.002177062,0
"-48",8,138552.3375079801,78
"-48",11,107164.48456830691,29
"-47",11,97835.17727959562,25
"-47",6,149217.4865399821,94
"-47",-4,292044.58059457655,208
"-47",-15,115283.87288232197,0
"-47",-10,104331.86872172813,0
"-47",7,163544.1858101514,112
"-47",5,133239.6016398209,72
"-47",-6,287032.08620887354,187
"-47",0,146938.26372667667,47
"-47",-13,99681.77620379507,0
"-47",9,126263.85531786429,51
"-47",-5,304657.1119210586,215
"-47",-14,103954.19649666411,0
"-47",-1,169806.53208804896,59
"-47",-8,173848.19488258712,62
"-47",14,105160.14846495903,16
"-47",-9,116337.74402595041,0
"-47",2,130635.64061943388,29
"-47",-3,229281.52604078033,120
"-47",17,146244.60258401046,71
"-47",15,129942.53641474567,57
"-47",3,117327.9146885571,25
"-47",-17,126959.1583712694,9
"-47",-7,250173.53250097646,134
"-47",8,141060.4605772507,78
"-47",13,107252.16663969353,20
"-47",12,104627.22951741845,23
"-47",1,140080.10071740882,36
"-47",10,105243.93801051033,31
"-47",4,108506.07229835566,28
"-47",-2,199050.52961461758,80
"-47",16,120933.70347852151,27
"-47",-12,98998.50266827324,1
"-47",-16,121563.8337361298,0
"-47",-11,100034.84769335127,0
"-46",16,157288.76072016807,73
"-46",-16,126111.81621160096,2
"-46",-5,231429.01830292706,131
"-46",15,146984.95133596795,56
"-46",2,119562.36731249634,13
"-46",-3,207163.70517358193,95
"-46",-10,113414.23429460946,0
"-46",5,111408.27945758612,35
"-46",3,103697.21450950974,6
"-46",14,137301.83447886084,49
"-46",8,177878.89638894916,119
"-46",-7,208591.89963425227,105
"-46",-4,193880.9675748398,75
"-46",-14,116347.19733021931,12
"-46",11,111809.63873287632,41
"-46",-9,119292.28900230138,0
"-46",9,164527.28562727242,96
"-46",17,168232.7347526649,91
"-46",-1,162345.24293842743,58
"-46",-13,105110.28645064331,4
"-46",13,113318.34211936827,29
"-46",19,172437.58156777787,113
"-46",-8,149000.12235740796,35
"-46",-6,219330.8249831713,116
"-46",-15,132673.79885663444,26
"-46",0,151693.45090298133,45
"-46",-11,97972.08429604868,0
"-46",-19,166462.55023291075,59
"-46",-12,96544.5152471893,0
"-46",4,90436.42972889215,0
"-46",-2,186647.51027262327,85
"-46",1,129539.7008312836,23
"-46",6,163252.97868185374,107
"-46",10,131539.63318575098,61
"-46",-18,142907.28039654,38
"-46",-17,122900.52584622851,16
"-46",12,109491.1410731663,32
"-46",18,166562.9229194169,101
"-46",7,171548.16480988605,113
"-45",-12,116420.98832904462,0
"-45",3,101973.54413697471,0
"-45",12,120021.92293968456,36
"-45",-19,151415.988097914,41
"-45",20,200806.4965255302,142
"-45",18,168657.16558727055,104
"-45",4,129534.39533340017,43
"-45",-6,187529.70051719854,102
"-45",-11,103633.4080396944,0
"-45",-20,185116.12380820132,67
"-45",10,150892.33107749527,69
"-45",-7,191064.71067192697,112
"-45",-13,118933.21866324774,1
"-45",7,194236.63534616918,143
"-45",-21,221903.41191686058,91
"-45",11,128884.02275327571,47
"-45",0,143976.14987267842,35
"-45",-8,113608.54022538905,11
"-45",17,171250.77986929668,93
"-45",8,196575.50699365872,136
