pxcor,pycor,Radiation,FullSunlight
"-50",0,224664.00772415474,341
"-49",-4,117654.98219273744,200
"-49",0,204508.34790023215,299
"-49",1,168142.56318481246,247
"-49",-5,90777.54655492165,154
"-49",2,115740.46108719995,172
"-49",7,49997.59833587966,80
"-49",5,56389.30956993138,91
"-49",-9,134646.93514574904,225
"-49",-3,172430.0607572194,275
"-49",3,91405.15188678437,138
"-49",-6,105729.54421204836,178
"-49",4,70943.01407952554,114
"-49",-1,216056.79292663225,326
"-49",-2,225377.82582610726,341
"-49",-8,148353.38001495667,242
"-49",6,60223.540309060045,98
"-49",9,80188.85933883663,109
"-49",8,65659.07664483189,96
"-49",-7,128378.25904518356,213
"-48",7,59350.284537829255,92
"-48",14,112607.65404568566,186
"-48",-12,126056.93343644803,197
"-48",10,91264.57624765819,134
"-48",13,131499.8489213084,206
"-48",-10,115434.54557687759,197
"-48",9,74635.06716658898,114
"-48",-8,121483.08354858644,215
"-48",3,103814.88800635205,159
"-48",5,66949.35167333372,106
"-48",-13,141348.51832430833,217
"-48",8,51539.18763706214,82
"-48",-14,165068.60709700896,241
"-48",-1,175668.57745625076,272
"-48",-5,78528.6473569807,144
"-48",11,113990.83593388439,166
"-48",-11,121632.72461177412,199
"-48",12,131264.60783687167,196
"-48",-4,124641.55701240103,206
"-48",-7,91654.81151716372,168
"-48",-2,183788.4205322145,286
"-48",4,74306.35232433095,114
"-48",-3,161258.34928673212,254
"-48",2,122771.54751526736,181
"-48",1,116364.64166265301,185
"-48",-6,86742.64691129058,157
"-48",6,69050.18113213596,109
"-48",0,156277.32740777673,234
"-48",-9,118696.56425256199,207
"-47",-11,104067.83840608424,170
"-47",-4,108966.97791005536,176
"-47",16,156396.20839987183,250
"-47",2,128054.3298003454,190
"-47",-6,78964.4527165976,144
"-47",7,88937.92492923187,139
"-47",13,142520.73858092897,218
"-47",-1,121842.26080243305,187
"-47",-14,181566.0158507674,260
"-47",-16,251208.5181802584,340
"-47",11,98320.02346650897,150
"-47",-3,120172.22803626073,187
"-47",5,80783.93954725082,123
"-47",-8,97941.23068429099,180
"-47",-2,147987.45718478496,222
"-47",0,133649.54869630715,202
"-47",-13,159480.3849406452,241
"-47",12,123203.1232089134,189
"-47",4,94474.43786817016,141
