pxcor,pycor,Radiation,FullSunlight
"-50",0,269299.47240006446,142
"-49",2,320596.3233006049,238
"-49",1,324871.328037033,248
"-49",5,209134.4599239342,97
"-49",-3,348821.14592410374,289
"-49",-7,219343.4484998808,108
"-49",-5,234015.33531578362,113
"-49",-1,326230.76554597437,219
"-49",-2,359596.4790471515,287
"-49",7,192702.16264835515,94
"-49",-6,220621.33470948972,109
"-49",8,205609.02094363444,117
"-49",3,268640.4781367742,175
"-49",0,317449.51295605313,221
"-49",-9,200722.98970416933,105
"-49",9,209132.60419712978,124
"-49",-4,276295.8469638603,176
"-49",6,183723.83643388632,74
"-49",-8,206702.1636568083,106
"-49",4,232521.55295649485,131
"-48",-3,415149.40331760043,412
"-48",12,188431.10099755684,78
"-48",-11,197475.30204831017,100
"-48",14,166021.61904382077,26
"-48",9,195688.0723833008,103
"-48",-1,425873.46003983007,387
"-48",-5,294578.60589076113,179
"-48",1,388245.55186749646,351
"-48",-9,206665.21285992904,104
"-48",2,363689.8483127735,309
"-48",0,406831.46399530914,377
"-48",5,216503.99732234384,107
"-48",-12,190517.01679709036,98
"-48",8,183689.15714349598,80
"-48",11,239126.50623874163,159
"-48",-6,217923.91903861155,111
"-48",-14,216232.0840944484,116
"-48",13,179060.49146204314,46
"-48",4,254135.58454967214,166
"-48",-10,203294.24155764456,102
"-48",-8,205367.728223377,105
"-48",-4,341913.9529369419,264
"-48",6,194464.40890113864,78
"-48",-13,197333.66608277542,99
"-48",3,302069.9880463929,235
"-48",10,215779.9234242316,117
"-48",7,174577.19234422522,63
"-48",-7,208967.93719535638,109
"-48",-2,448833.5709071424,458
"-47",16,140215.87943216696,15
"-47",-10,203796.95431789276,101
"-47",17,141630.2998559903,12
"-47",-17,293974.97986692225,182
"-47",13,177929.51552970256,51
"-47",8,176813.23305361797,54
"-47",14,162429.16129242376,30
"-47",-14,222056.33478659106,127
"-47",1,344280.9317687267,299
"-47",-13,217843.68398674575,110
"-47",2,298552.1746411799,216
"-47",15,143256.90587167678,21
"-47",-16,255404.1721256381,162
"-47",-9,206709.61986149423,103
"-47",4,238719.95510005983,139
"-47",-8,201206.39063580698,105
"-47",-7,208172.22524151893,106
"-47",6,226989.02665634587,108
"-47",9,193131.04957758388,90
"-47",-5,274244.76325898373,172
"-47",-2,431500.52533070213,445
"-47",3,262617.97543738584,171
"-47",-3,423544.27205331,423
"-47",11,212517.05562141366,121
"-47",-12,213963.65135268195,104
"-47",10,204881.2832952336,102
"-47",-4,338593.84509207867,306
"-47",0,394742.6520641038,369
"-47",7,199067.9247159351,81
"-47",12,187944.49529378104,82
"-47",-1,446745.1596378987,467
"-47",-15,230552.71590217398,144
"-47",-6,223364.4433856555,111
"-47",5,231136.5554575242,119
"-47",-11,198064.3454102247,100
"-46",-7,213245.24532750587,121
"-46",-18,316808.93705708714,210
"-46",-19,355147.34307121387,255
"-46",13,208205.47277011198,96
"-46",-3,374472.27401845716,369
"-46",-14,214918.6601250103,122
"-46",10,232849.94363007255,132
"-46",18,171207.65831166078,18
"-46",-2,374121.6111405289,380
"-46",-5,269712.0521678014,224
"-46",15,157086.76057490418,37
"-46",-8,209332.57625905075,104
"-46",-11,201496.64130846492,97
"-46",11,226318.38603492975,122
"-46",0,338179.01724753436,299
"-46",19,202059.7922837262,73
"-46",1,328626.2992373104,254
"-46",-13,209396.9298880413,105
"-46",14,181209.08777791407,58
"-46",8,183275.9353122023,54
"-46",-9,220636.44963907218,102
"-46",-1,353971.47203344567,343
"-46",17,160450.92788952062,21
"-46",-4,316236.1863844713,287
"-46",-12,205351.09987427737,97
"-46",3,269216.68062277284,141
"-46",4,247426.69317626767,115
"-46",16,153976.46970823998,24
"-46",-16,257469.81833367798,163
"-46",-15,229840.3072756973,144
"-46",-6,229092.27895501585,148
"-46",6,217020.44688781552,79
"-46",5,229668.21021867354,93
"-46",-17,293025.030491583,186
"-46",7,199506.12383302298,63
"-46",9,195448.30298006858,85
"-46",2,303075.87789435504,190
"-46",12,219497.23321852548,122
"-46",-10,220633.36457235878,100
"-45",21,190368.1392467585,69
"-45",-20,400871.2535337661,296
"-45",-11,221929.20200720665,95
"-45",-8,223889.4589404866,115
"-45",-1,346028.425144327,329
"-45",0,334408.02361131215,300
"-45",-14,217959.12490398495,113
"-45",-15,223339.59879001413,122
"-45",3,272888.2227718616,140
"-45",8,204971.1667483193,98
"-45",6,224131.71077690992,78
"-45",-6,247860.50064025505,217
"-45",14,201357.1504180165,70
"-45",11,246326.53351380932,155
"-45",4,249273.95312775,114
"-45",-10,227854.16560957042,98
"-45",9,225168.93568742333,135
"-45",7,211475.66081380853,82
"-45",-9,228960.79045495132,112
"-45",-19,343373.967979787,246
"-45",13,227864.4771450012,117
"-45",2,311196.57475349854,190
"-45",16,174479.25083103494,25
"-45",18,205907.4537722657,57
"-45",15,179220.10115791255,37
"-45",-2,357554.7553581166,360
"-45",-5,266029.8949095182,249
"-45",19,217086.80776331862,98
"-45",-16,243409.62707986645,139
"-45",-13,207058.30323735802,100
"-45",12,245705.01013704497,154
"-45",17,181610.3640197733,20
"-45",-4,297375.08220626594,279
"-45",-21,459505.6117796749,365
"-45",10,256600.6654591492,179
"-45",-12,212930.69198041336,92
"-45",1,341412.2712760878,259
"-45",-7,229487.94249350173,182
"-45",-17,268509.32894047763,163
"-45",-3,366382.6486070146,369
"-45",5,234499.76734776847,91
"-45",20,214347.69663691215,95
"-45",-18,299472.87627325056,189
"-44",22,190888.51950853143,85
"-44",10,253532.27564372547,181
"-44",-10,224699.18037922267,110
"-44",-17,270225.2373012007,153
"-44",-2,397968.3960807771,382
"-44",-18,305897.3341955901,190
"-44",12,243242.916271073,128
"-44",23,171835.23206596222,61
"-44",-23,481195.51885355805,345
"-44",21,186335.40333010128,54
"-44",-9,225887.47014630263,113
"-44",-1,371720.47500675335,351
"-44",-15,232186.81648321627,114
"-44",-11,224261.3409221782,104
"-44",-6,246348.35445477202,245
"-44",18,226532.45089531998,89
"-44",17,184562.10032269897,35
"-44",-12,230402.87360655557,93
"-44",7,200570.89020765034,84
"-44",-21,417058.1366784433,327
"-44",4,276035.29792364256,129
"-44",-14,216842.86340285878,104
"-44",15,180307.3129203705,27
"-44",9,231727.66047876157,151
"-44",-3,389154.417771492,381
"-44",16,170019.57090169666,17
"-44",20,209058.0174611476,79
"-44",6,229537.15753180097,98
"-44",0,354853.0917657878,305
"-44",-19,332439.32533227425,218
"-44",14,207660.94590538924,50
"-44",-7,243010.47985261935,203
"-44",13,223595.49606763272,81
"-44",-20,384829.06860646565,279
"-44",-8,222468.47073464998,144
"-44",8,222503.31438907777,133
"-44",-4,332664.3076568785,327
"-44",-13,230879.56875482554,91
"-44",1,367929.8897679032,293
"-44",-22,469125.77932905126,366
"-44",2,341947.2793986239,216
"-44",19,229080.68674917085,110
"-44",11,256370.44206143986,178
"-44",3,306335.9124106271,161
"-44",5,264788.14047083457,129
"-44",-5,292661.63820418675,295
"-44",-16,250491.33214117197,126
"-43",-9,227424.25924930855,118
"-43",20,222077.31188025544,74
"-43",12,224785.1212324572,96
"-43",21,197504.28237770166,51
"-43",-23,454782.000495189,323
"-43",-11,230565.45636631694,112
"-43",-21,405398.0129835862,314
"-43",25,178095.46911739875,39
"-43",2,383485.4572817505,283
"-43",-8,239405.10205222332,183
"-43",8,203218.2671268235,103
"-43",10,236697.6403241968,149
"-43",-2,428060.4802181672,431
"-43",-15,251458.99028781493,112
"-43",18,210487.49241072676,106
"-43",9,222611.3629111048,135
"-43",-20,364317.3701037767,257
"-43",14,191005.9157278066,37
"-43",13,203070.9608692497,61
"-43",-10,230351.07082247638,109
"-43",-22,447876.9452109178,348
"-43",3,371070.2944529021,275
"-43",6,237313.63579399235,108
"-43",24,192237.00358515632,56
"-43",-16,283674.4650200695,126
"-43",-6,261841.68764314754,243
"-43",4,309757.4632082403,196
"-43",19,218606.30181313967,111
"-43",1,395955.2076379181,320
"-43",-5,316542.35386281303,303
"-43",-18,308758.377604025,170
"-43",17,201865.06121263406,78
"-43",-12,237048.7200330373,107
"-43",5,273507.149898077,144
"-43",-3,407750.59716265986,396
"-43",7,204609.88548615167,90
"-43",-13,242091.58468307188,108
"-43",23,161273.22303782974,21
"-43",-14,246312.83507797812,110
"-43",22,188996.87588676726,63
"-43",11,271845.46877078747,177
"-43",15,172296.7037291455,29
"-43",-17,287745.5029703726,143
"-43",-25,501282.6895281787,391
"-43",-24,478549.1052653506,352
"-43",-7,245948.82303050315,236
"-43",-19,329769.0237368705,205
"-43",-1,446242.75393413816,468
"-43",16,187990.90844377445,54
"-43",-4,356238.44477741874,342
"-43",0,427548.6085937202,385
"-42",-9,223286.29293746536,151
"-42",6,251332.03118977355,132
"-42",1,404759.1401943468,359
"-42",-16,289322.3616348172,163
"-42",-21,412878.3637657687,327
"-42",14,191493.29089321077,46
"-42",-24,485214.8594345261,359
"-42",-15,280358.50403703615,134
"-42",9,228329.7537385436,121
"-42",-27,384096.6629532894,250
"-42",-1,454166.43852150714,457
"-42",26,163617.26042874673,15
"-42",-10,210770.28753695945,127
"-42",-7,262561.38573717297,236
"-42",13,217891.38036732672,73
"-42",5,290087.3506626929,174
"-42",16,170852.6440111479,31
"-42",-8,248105.61722431818,230
"-42",-3,410684.98765971937,391
"-42",-25,496195.398578756,385
"-42",-26,447314.2560642996,330
"-42",20,166070.5518638363,40
"-42",21,168040.38486897398,29
"-42",23,200391.39360518844,58
"-42",19,208047.1464875074,112
"-42",-23,472712.3408000765,342
"-42",12,252890.4032873483,123
"-42",25,186251.41306800637,33
"-42",-11,213803.8856827882,119
"-42",11,268773.197667995,145
"-42",18,203714.88561185644,103
"-42",-14,257133.8974751454,117
"-42",15,169656.34973502025,34
"-42",0,426607.46088447404,389
"-42",-5,274359.36471833684,246
"-42",17,202613.88617141757,84
"-42",8,217813.51140478614,82
"-42",10,246862.27599749222,136
"-42",2,383163.5374043481,312
"-42",-18,314026.3731626351,178
"-42",7,231341.2393201918,110
"-42",-2,455002.9962291114,478
"-42",27,147147.79553436837,7
"-42",-6,258585.16715592405,241
"-42",-22,459260.25658170093,361
"-42",-17,320593.82408178016,205
"-42",-12,223971.5506669945,106
"-42",-20,378352.9510421433,271
"-42",24,208866.54554191176,65
"-42",-13,230442.15507036174,108
"-42",4,327760.7126747343,234
"-42",-4,341915.62251388305,318
"-42",3,359323.4720579908,281
"-42",22,234623.28622303202,120
"-42",-19,337475.6325165493,210
"-41",-5,292025.06960610463,245
"-41",-10,227431.92028014534,179
"-41",18,227537.39152070947,103
"-41",2,368733.87271155627,307
"-41",-19,364494.5300505707,244
"-41",-23,481150.3622509455,353
"-41",16,171789.6766778482,55
"-41",3,349651.17400059936,281
"-41",26,163505.6963496264,42
"-41",-28,378042.83279652544,243
"-41",6,272460.7282954442,146
"-41",-8,246268.26605350492,229
"-41",24,209533.61504935945,90
"-41",-4,350153.0695144064,315
"-41",-2,413703.3364460805,415
"-41",28,141399.18821676125,10
