pxcor,pycor,Radiation,FullSunlight
"-50",0,244551.42009543494,68
"-49",3,309096.67563967395,118
"-49",-5,308078.7016919714,147
"-49",0,247667.40670845797,72
"-49",9,236412.51474945192,19
"-49",8,222977.48716440448,22
"-49",7,203096.30184076,33
"-49",-4,329502.69868704106,180
"-49",-7,212720.72621781914,40
"-49",-2,277750.37476760725,109
"-49",-9,150193.48220799517,0
"-49",5,243723.04971458804,65
"-49",-1,278759.66284000146,114
"-49",-6,282995.04609541566,103
"-49",4,295090.8368752933,107
"-49",-8,157129.00829374368,0
"-49",-3,284341.8499889558,125
"-49",2,258940.13101769067,65
"-49",6,212214.94015550002,47
"-49",1,243519.10669007097,49
"-48",10,224454.83449656618,16
"-48",4,291144.70927664964,110
"-48",12,206891.02947093075,1
"-48",5,248871.89191494722,74
"-48",7,209892.85041920104,36
"-48",2,262928.05568430416,65
"-48",1,260751.01370180392,71
"-48",-9,146409.07419570122,0
"-48",11,212396.46120235612,7
"-48",13,218933.23642084756,0
"-48",3,293402.91678234545,87
"-48",-13,112013.72807038673,0
"-48",-10,125191.44240919813,0
"-48",-11,128182.11116049338,0
"-48",-4,317071.4143225084,183
"-48",-2,309260.49664714193,159
"-48",6,215048.3752498053,49
"-48",-12,126030.97386641319,0
"-48",14,222813.59197406584,0
"-48",-7,215864.53457195437,50
"-48",9,225496.02051878916,25
"-48",-3,338904.8232782883,205
"-48",-1,301449.1518733299,144
"-48",8,226183.11569475612,38
"-48",0,272918.1963394384,104
"-48",-8,164099.03427054142,0
"-48",-5,303806.3212900255,152
"-48",-14,112505.7067777992,0
"-48",-6,281209.5589903027,112
"-47",4,281551.38489941374,95
"-47",5,248288.0030412932,67
"-47",-16,125625.16604901775,0
"-47",10,214929.370868417,11
"-47",2,284270.07343330793,87
"-47",-17,127465.15548297725,0
"-47",-11,132463.2352870829,0
"-47",16,201615.88191199358,0
"-47",3,300033.90099527646,114
"-47",15,204206.05162069894,0
"-47",6,237775.09256736145,61
"-47",-2,367060.73881821946,222
"-47",13,198327.5137994901,0
"-47",11,208092.81740164664,7
"-47",-3,366720.67275915685,251
"-47",-6,287416.47821191046,132
"-47",-13,116744.17856235919,0
"-47",-10,143627.8053616919,0
"-47",1,289268.3383067261,101
"-47",-1,330417.5831770308,180
"-47",-14,125492.74460659549,0
"-47",-15,127011.81838283234,0
"-47",14,204875.22463648077,0
"-47",0,313897.7486708429,161
"-47",-12,124521.01721808614,0
"-47",-4,321524.8105300946,192
"-47",-9,141118.06914644368,0
"-47",-5,303765.91191635164,167
"-47",8,218234.56462763014,19
"-47",12,207943.90957118594,3
"-47",7,222790.8136252503,55
"-47",-7,228950.88017831754,65
"-47",17,203868.85576071628,0
"-47",-8,190458.34435870283,40
"-47",9,215840.4192508034,16
"-46",-2,297969.593529319,165
"-46",-18,140198.49741491716,0
"-46",-11,139928.19798324353,0
"-46",-13,124035.91816590405,0
"-46",7,227651.7441400939,42
"-46",-12,130527.99559012904,0
"-46",-9,152045.98320505547,0
"-46",1,280499.34606626787,84
"-46",-16,124803.88765822291,0
"-46",9,229487.67629484663,18
"-46",5,207588.1809819374,24
"-46",-19,146187.38352441846,8
"-46",-4,275840.43744864914,118
"-46",13,207380.84966758106,4
"-46",6,209769.30593468688,20
"-46",18,181492.33022209094,0
"-46",-10,141469.69480513467,0
"-46",-7,259691.4862938749,107
"-46",-6,264379.38809068355,111
"-46",15,201382.92731088542,0
"-46",-14,125458.9607527544,0
"-46",3,231155.97593499385,41
"-46",-8,187964.83237367508,31
"-46",-5,279976.02701882273,135
"-46",11,215009.87241458817,5
"-46",14,213849.11105116276,1
"-46",2,246398.86188199726,52
"-46",-17,129581.53117826942,0
"-46",16,200913.8204687566,0
"-46",-15,126789.75458756488,0
"-46",8,262895.57138936815,64
"-46",4,214384.57977659916,34
"-46",-1,287902.1506636907,124
"-46",-3,280651.2983174354,143
"-46",12,213361.18160060854,5
"-46",17,194667.4462027801,0
"-46",10,228311.55948474095,7
"-46",0,247733.18107229797,69
"-46",19,177117.07230670046,3
"-45",-16,116145.32114292948,0
"-45",-11,147021.1838556587,0
"-45",10,267981.19222353277,40
"-45",1,244111.75779291775,44
"-45",8,238649.7298771627,26
"-45",20,191837.39078479467,3
"-45",-14,111838.13847356345,0
"-45",-6,250788.8615581463,83
"-45",-13,122226.67237126383,0
"-45",12,241997.67316213,9
"-45",-9,167116.27822789832,0
"-45",-10,158831.49285872796,0
"-45",15,218094.20885952152,6
"-45",3,272530.5967636613,93
"-45",-15,107739.00303661759,0
"-45",-12,134056.21395242243,0
"-45",-17,130141.23818582254,0
"-45",9,301943.7688024371,90
"-45",2,253439.40163520776,66
"-45",-8,166156.75176250224,0
"-45",14,225017.86275877946,7
"-45",-4,266801.36209505534,102
"-45",-20,185417.62470204657,52
"-45",-7,224098.66965896043,49
"-45",18,191865.3751549186,9
"-45",-21,228721.05423479681,116
"-45",-3,260866.7022201937,108
"-45",7,220582.12036010867,26
"-45",5,220413.68554514466,51
"-45",-1,284778.93364653864,137
"-45",21,192258.23633566994,1
"-45",-2,287955.85788238776,178
"-45",-18,147738.42303825115,5
"-45",0,233037.85052236804,64
"-45",16,206302.86881306194,5
"-45",-19,159637.01742147113,17
"-45",13,220545.0871679848,8
"-45",19,181011.3379032428,5
"-45",11,256282.03240313113,21
"-45",6,206241.900500024,36
"-45",17,197782.724488248,4
"-45",4,239821.23212652432,65
"-45",-5,245169.0093935249,88
