pxcor,pycor,Radiation,FullSunlight
"-50",0,238644.49707702233,208
"-49",-3,308041.1182676618,293
"-49",9,199364.15952959933,124
"-49",8,200319.32956009847,118
"-49",-5,189529.87079586613,113
"-49",6,174462.02104966127,113
"-49",1,296441.08416804875,315
"-49",-2,315510.48969133245,305
"-49",7,186645.42094656726,109
"-49",-9,163853.81144236174,105
"-49",3,249726.44012893172,207
"-49",-7,181149.9253768729,108
"-49",-1,282547.7901698931,264
"-49",5,199219.95276918993,152
"-49",4,218141.11780341703,149
"-49",-6,180348.84552344863,109
"-49",-8,169098.63365741758,106
"-49",0,283740.4934898922,279
"-49",-4,231081.45505451667,176
"-49",2,300207.9959802148,315
"-48",-6,179649.38902377847,111
"-48",0,375796.89131364325,426
"-48",7,169392.01505670854,92
"-48",8,175668.67870391032,92
"-48",13,151969.7100239848,46
"-48",-7,172694.1732735556,109
"-48",-10,165736.9456226327,102
"-48",-8,166623.0430020835,105
"-48",3,293593.2021068839,290
"-48",-13,156203.3231208258,100
"-48",4,247261.03980651393,226
"-48",-5,250570.80664925647,179
"-48",-14,174910.3621067348,118
"-48",-2,410270.71725291375,465
"-48",10,203650.60991950988,117
"-48",9,185380.76706914863,104
"-48",2,350414.71982369636,372
"-48",1,364518.3335789063,411
"-48",14,140748.43083876438,26
"-48",-4,297352.6216724327,267
"-48",6,188084.82885224247,134
"-48",-3,376896.1336167011,420
"-48",-9,166824.04385520288,104
"-48",-11,160408.92769044702,100
"-48",11,231343.99141199997,159
"-48",-1,387896.5169556004,420
"-48",12,167711.7971184597,78
"-48",5,210075.16501599996,167
"-48",-12,154870.50780223357,98
"-47",-14,183733.2631968455,128
"-47",16,128795.34522051978,26
"-47",-12,176903.7917075664,104
"-47",-5,232651.25390512033,174
"-47",-13,175777.14465262403,110
"-47",13,155828.5532037047,51
"-47",-10,168758.02338875516,101
"-47",-1,408505.82300411025,471
"-47",0,360883.9290874966,407
"-47",4,232374.361352962,201
"-47",6,222351.98176274003,162
"-47",-16,223835.974082119,173
"-47",7,193543.975789066,107
"-47",-2,393552.3282835353,452
"-47",-4,296958.1491420143,313
"-47",-8,168334.90160588958,105
"-47",12,170129.27762252305,82
"-47",-11,162591.79173744586,100
"-47",10,197594.3673010532,103
"-47",15,129867.49142887081,24
"-47",9,184882.3975903296,92
"-47",2,286717.9304179084,300
"-47",17,131661.91595287263,24
"-47",-7,173910.92917605044,106
"-47",-15,197532.58375442962,148
"-47",1,316127.28049005824,350
"-47",-6,184272.72577263368,111
"-47",3,254858.22629743186,242
"-47",8,167881.24906034718,62
"-47",-17,259125.56283210585,195
"-47",11,203796.9214982069,122
"-47",14,141303.05972154145,31
"-47",5,226078.34563787072,178
"-47",-3,385713.9158115949,432
"-47",-9,172941.57304050142,103
"-46",-15,199520.69044206754,148
"-46",-1,309600.7909359842,347
"-46",17,148844.47494692603,34
"-46",5,223062.77132584507,150
"-46",-19,326352.3484524911,278
"-46",-18,288287.5438875719,228
"-46",19,180622.6735392379,80
"-46",11,212754.08966737246,124
"-46",18,152592.17496757614,27
"-46",-11,168504.0165921983,97
"-46",4,236445.24290260772,174
"-46",6,213645.8528620424,132
"-46",3,256156.18228174563,214
"-46",9,182777.39808543562,88
"-46",14,168006.92307722277,63
"-46",-14,183214.7787984411,123
"-46",1,293131.0379380206,292
"-46",-7,179878.57691293594,121
"-46",-6,192847.24958750306,148
"-46",0,295896.8646083389,316
"-46",8,171228.64559410774,59
"-46",2,284193.85986213473,267
"-46",12,204496.63507471644,124
"-46",13,193166.21975411626,99
"-46",-5,231865.39617726937,231
"-46",-2,334418.7955382017,386
"-46",16,145236.05371391337,42
"-46",-17,263519.5270193306,199
"-46",-4,277361.19794244354,298
"-46",10,220699.46165082155,135
"-46",-8,178695.0475756297,104
"-46",15,148050.84352340296,56
"-46",7,192398.63080283202,83
"-46",-12,171326.6804694483,97
"-46",-10,188412.82071155997,100
"-46",-13,175760.5440199678,105
"-46",-16,226887.75263774587,168
"-46",-3,336795.9025459718,378
"-46",-9,189699.8948311982,102
"-45",9,219167.59771108997,140
"-45",-13,176988.77267211417,100
"-45",13,220687.70904290973,125
"-45",7,202432.44317135186,97
"-45",0,289341.85082253686,303
"-45",-12,178081.5524092284,92
"-45",-7,202094.846039077,182
"-45",12,233692.8218011699,160
"-45",-15,192904.2955678631,125
"-45",8,199344.91221685815,104
"-45",-18,272389.6252847527,200
"-45",-5,232050.83614561355,263
"-45",-1,300578.7695345636,332
"-45",-17,239353.08031909674,168
"-45",17,167405.57854661957,34
"-45",5,227851.02854232842,146
"-45",18,187844.2147903664,69
"-45",21,164006.29050251143,94
"-45",-2,317127.246625164,366
"-45",1,301557.63671016693,283
"-45",-21,446445.7368705591,417
"-45",14,190245.95647492012,92
"-45",-3,330261.7082663265,378
"-45",-11,187529.77054156733,95
"-45",11,236719.32784435488,160
"-45",16,163865.25032165254,43
"-45",-16,212804.2121010634,144
"-45",-9,197008.69356819533,112
"-45",3,261595.14640884416,218
"-45",15,167320.69213851378,57
"-45",-10,193162.35732463625,98
"-45",2,290188.2966963336,256
"-45",6,218875.42000108346,130
"-45",19,197339.00000377622,111
"-45",-14,185646.3647080689,113
"-45",-20,379314.7381341647,335
"-45",20,188412.15962796667,109
"-45",-4,259651.34334795372,290
"-45",10,251551.0351987251,183
"-45",-6,217538.19066992882,223
"-45",-8,192996.30160308979,115
"-45",4,239234.4609240553,172
