pxcor,pycor,Radiation,FullSunlight
"-50",0,204772.95643575667,0
"-49",-4,221838.1558466537,0
"-49",5,267614.3716390169,0
"-49",7,270867.0064632904,0
"-49",1,234506.3549881587,0
"-49",8,290478.818325356,27
"-49",-8,216749.1421579941,0
"-49",-9,232700.1539861919,0
"-49",0,231904.21005140262,0
"-49",3,253625.27403471954,0
"-49",-3,217051.6774256123,0
"-49",-7,207355.72211671245,0
"-49",-1,226244.09445873398,0
"-49",-6,214217.36210604172,0
"-49",-5,218408.13986595348,0
"-49",-2,222948.8255748035,0
"-49",4,265639.92562876333,0
"-49",6,276667.9499291187,0
"-49",2,241847.02722389018,0
"-49",9,304981.4043730287,45
"-48",0,218586.68604115074,0
"-48",-10,218452.05308881844,0
"-48",9,318718.8436453631,52
"-48",8,290956.9546030336,38
"-48",11,318640.96099800704,26
"-48",5,290743.9351242904,0
"-48",12,307057.41257319035,16
"-48",1,226024.51010341832,0
"-48",-13,241851.80288125112,0
"-48",3,257397.23201622913,0
"-48",-12,228454.11588889005,0
"-48",-6,208359.19643846332,0
"-48",4,291104.4591275005,0
"-48",-8,228403.10139056473,0
"-48",-9,226892.97682656528,0
"-48",-2,214442.21790965035,0
"-48",14,303681.1767868201,4
"-48",-11,223864.16793868056,0
"-48",-4,216227.88292043787,0
"-48",7,276231.96665759827,11
"-48",13,313794.8906589191,9
"-48",-1,218229.5789104041,0
"-48",10,335742.98412741465,57
"-48",-7,217391.36044723075,0
"-48",-14,260036.0461989463,0
"-48",-3,207539.29973297325,0
"-48",2,238442.35201061933,0
"-48",-5,205220.12515134714,0
"-48",6,284216.4185497047,0
"-47",-3,204201.96239525903,0
"-47",16,300849.42744430044,8
"-47",4,276209.1424020069,0
"-47",12,320253.9568617793,40
"-47",-8,218298.86865618092,0
"-47",14,306992.4913139628,21
"-47",0,204539.08488998958,0
"-47",6,275224.5297582034,8
"-47",-9,222169.85703518006,0
"-47",-12,231726.0652396256,0
"-47",13,307971.0727837132,29
"-47",17,301868.3422017155,4
"-47",-7,201450.04175826724,0
"-47",-15,256766.85500232418,0
"-47",9,341675.68413538276,74
"-47",-5,193854.01848387622,0
"-47",-16,255605.82408368986,0
"-47",2,228149.8430816439,0
"-47",-17,267643.94618178974,0
"-47",15,299831.63249044004,15
"-47",-6,195588.5640740032,0
"-47",-11,225571.7264204812,0
"-47",-10,225671.06206004779,0
"-47",-4,197538.11117504403,0
"-47",-1,222394.43713108893,0
"-47",5,271247.36187846976,0
"-47",1,210234.49721781304,0
"-47",7,311121.6428462848,69
"-47",10,372732.85451817344,100
"-47",-2,224654.13683939475,0
"-47",-13,235640.50665112582,0
"-47",11,329554.50610337453,66
"-47",8,330968.5801059864,89
"-47",3,263630.4726589414,0
"-47",-14,247320.14059966136,0
"-46",2,232068.5371721451,0
"-46",17,328434.62082915753,4
"-46",-3,202577.24108400292,0
"-46",-15,247966.290444263,0
"-46",1,222757.18834531514,0
"-46",13,307056.1693841477,23
"-46",-10,217864.34837996695,0
"-46",-7,203426.69568198267,0
"-46",-4,193305.16338910672,0
"-46",7,268686.8899227669,31
"-46",4,233312.12001569584,0
"-46",14,308663.17272481514,16
"-46",-13,233804.22684677367,0
"-46",-18,274301.48851218587,0
"-46",0,209261.9154428074,0
"-46",16,305852.5741150405,7
"-46",-14,240362.8535709119,0
"-46",-19,279329.92394067324,0
"-46",-16,253747.1978790763,0
"-46",9,309932.9773268118,61
"-46",-6,196573.4399386621,0
"-46",-12,229149.24403261283,0
"-46",-9,204155.58081860712,0
"-46",-5,193507.02755237083,0
"-46",-2,219097.2062202831,0
"-46",18,296527.18320283043,2
"-46",8,293243.7748199604,48
"-46",19,293964.210936459,0
"-46",-11,213745.49258280933,0
"-46",3,241689.50965740884,0
"-46",15,304754.85728138516,11
"-46",6,239832.31750082754,0
"-46",-8,201665.68275893122,0
"-46",11,301330.3796123037,15
"-46",-17,270936.01394318667,0
"-46",10,304371.4121444106,31
"-46",12,318753.8146859867,43
"-46",5,239640.9414716831,0
"-46",-1,203480.72892580737,0
"-45",14,314236.7383955441,30
"-45",-5,207536.2992940682,0
"-45",-8,191823.07184267763,0
"-45",-18,263544.7939672859,0
"-45",6,235084.97580468317,10
"-45",-11,204163.95770260209,0
"-45",-20,248428.4563326267,0
"-45",-16,233958.52962445375,0
"-45",-14,233178.4269886309,0
"-45",3,231463.44091202845,0
"-45",10,305353.6962602026,26
"-45",20,307362.6229002078,4
"-45",5,219180.43926801236,0
"-45",-6,189488.37535953365,0
"-45",2,239842.81041615954,0
"-45",-7,196904.53531090074,0
"-45",-2,211285.5566846616,0
"-45",11,308113.98627364705,16
"-45",15,331155.3152095328,46
"-45",17,316851.7265187987,15
"-45",16,314411.048825219,24
"-45",0,219559.47627637416,0
"-45",21,290656.0959233276,2
"-45",18,307063.38238107075,10
"-45",7,264044.95414685295,37
"-45",-12,222053.5987085079,0
"-45",19,320069.6851591838,6
"-45",-4,194078.9760202702,0
"-45",4,233694.84861728392,0
"-45",13,302390.5503563212,6
"-45",-15,228766.0835050806,0
"-45",-19,244908.09055568624,0
"-45",-13,223319.24660902348,0
"-45",8,291989.65206393,51
"-45",-1,215291.8431542928,0
"-45",-21,257464.63489653906,0
"-45",9,295761.60365187214,51
"-45",12,305806.76598479855,10
"-45",1,216059.58662659331,0
"-45",-3,188757.95266383706,0
"-45",-17,268042.6704929281,0
"-45",-10,200240.22291832633,0
"-45",-9,195024.01252149718,0
"-44",-10,195114.0122283883,0
"-44",13,306458.4310991535,5
"-44",-6,196367.08639030106,0
"-44",8,279844.19285877986,57
"-44",4,231954.80239931197,0
"-44",21,309818.55311725475,20
"-44",20,307163.7052692523,26
"-44",-16,252504.0325680646,0
"-44",-21,257561.4586779366,0
"-44",-23,251933.69545814328,0
"-44",-9,201360.3748444523,0
"-44",6,237980.40715262867,0
"-44",18,353268.74535926845,61
"-44",-2,212891.71532609596,0
"-44",-15,231382.303136541,0
"-44",5,237283.64461676063,0
"-44",9,308273.70487137383,67
"-44",0,217486.29760039697,0
"-44",-8,193287.39453022275,0
"-44",-19,244355.57440395816,0
"-44",-14,223873.40799277942,0
"-44",-18,252134.529165206,0
"-44",14,317721.06812833366,1
"-44",-17,244479.42618855374,0
"-44",-7,207789.54464067193,0
"-44",-4,193718.91749304815,0
"-44",-11,205649.50509060058,0
"-44",7,267196.03498730663,40
"-44",16,327644.0828665891,35
"-44",19,333564.7450877822,36
"-44",-12,228611.1381840096,0
"-44",15,312703.09594979155,0
"-44",3,222267.64868126443,0
"-44",-13,233906.72478307463,0
"-44",-20,240498.3750691005,0
"-44",23,294178.1161731659,12
"-44",17,323892.05366363714,50
"-44",1,210477.25151948078,0
"-44",2,224649.2119899907,0
"-44",-22,255269.98777679776,0
"-44",22,308545.3529520591,16
"-44",11,303165.3052300907,17
"-44",12,307203.7422966784,10
"-44",10,305769.95237898006,29
"-44",-1,223098.41635101964,0
"-44",-3,192354.58909352045,0
"-44",-5,195921.35733591294,0
"-43",-23,245508.46339215356,0
"-43",4,236867.9587416159,0
"-43",-25,247822.4566592991,5
"-43",-12,224626.23366544486,0
"-43",18,329843.29229566414,24
"-43",20,305086.1751723597,9
"-43",-20,244299.18786773755,0
"-43",12,316316.5313101882,14
"-43",-18,247746.3171964572,0
"-43",8,287703.9350258815,46
"-43",11,317138.69759862166,20
"-43",-24,250389.54207810524,0
"-43",-1,243735.8469365904,0
"-43",-5,197982.11201644607,0
"-43",-10,209975.90821831112,0
"-43",17,346869.84371786955,36
"-43",7,268264.2162765588,24
"-43",1,237128.31628616003,0
"-43",-15,225371.36319493473,0
"-43",-13,238008.5747206932,0
"-43",-21,247358.24208243037,0
"-43",-2,215526.97798020006,0
"-43",16,322362.4823838414,9
"-43",24,266746.8046705197,0
"-43",-7,200171.3296975844,0
"-43",0,239535.428300055,0
"-43",9,318669.3503874522,60
"-43",-14,227927.28651536288,0
"-43",-16,233195.44268258952,0
"-43",3,231129.81584694886,0
"-43",-11,214152.51242108227,0
"-43",-4,195139.65395537406,0
"-43",-9,218372.9501097994,0
"-43",-8,200908.8538959456,0
"-43",-19,250276.1490657173,0
"-43",-6,198436.81195548104,0
"-43",14,311451.02065885445,3
"-43",23,284252.2334247912,0
"-43",2,236369.0239422278,0
"-43",21,305002.7095357738,5
"-43",10,322129.4513050848,33
"-43",5,246560.65593940622,0
"-43",13,311959.807196295,10
"-43",19,322438.7304676983,14
"-43",25,260125.70784970393,0
"-43",15,308858.90522997157,0
"-43",6,244936.62461297004,0
"-43",-3,200115.88420057832,0
"-43",22,313015.3714667701,2
"-43",-22,238577.51518957183,0
"-43",-17,233324.49920857092,0
"-42",-6,206296.50895101452,0
"-42",-14,232778.14976391316,0
"-42",24,260844.2633615558,0
"-42",-22,253654.13317560084,1
"-42",2,257997.42992200892,0
"-42",20,294886.0354326087,0
"-42",-18,251936.8334568283,0
"-42",-3,196604.73838767345,0
"-42",22,302198.8059037016,0
"-42",1,248176.74468720602,0
"-42",-10,225030.41993572316,0
"-42",3,245354.76210547687,0
"-42",14,298791.3824703406,3
"-42",-4,209207.5482339212,0
"-42",-23,252227.17069061229,5
"-42",6,263709.7821943043,1
"-42",7,283089.22348328005,11
"-42",12,318735.9144417153,14
"-42",-20,272184.730158445,0
"-42",15,301254.1197500622,0
"-42",-17,248207.88571298536,0
"-42",8,300853.074177022,39
"-42",-8,213046.65935762774,0
"-42",-5,207984.67652716814,0
"-42",25,254803.83449565156,0
"-42",-2,213885.19214539474,0
"-42",-16,241633.2197445557,0
"-42",-21,255171.3422177936,0
"-42",18,328357.23086054303,8
"-42",-25,289027.4942150138,58
"-42",21,305031.8112352688,0
"-42",-1,242149.185896967,0
"-42",4,243618.1402960226,0
"-42",16,322790.5343655058,0
"-42",-13,223984.49195559908,0
"-42",-27,304547.1072817747,93
"-42",-9,214881.8953190678,0
"-42",11,319536.6998506845,24
"-42",26,260119.97878093037,0
"-42",19,305585.661090719,3
"-42",-24,270275.2476216773,17
"-42",13,306857.77853073156,8
"-42",-15,237032.0719195165,0
"-42",9,323851.64276285394,53
"-42",27,269785.87887512066,0
"-42",-7,216197.69727136646,0
"-42",17,335095.1641519741,26
"-42",-26,296747.09761558886,84
"-42",0,237051.3058591511,0
"-42",23,277843.2006705546,0
"-42",-19,263548.2584705273,0
"-42",10,329586.1366648353,53
"-42",-12,221426.15800983863,0
"-42",-11,229177.4459956191,0
"-42",5,268857.3089552104,22
"-41",-25,278195.88501012506,49
"-41",15,290856.40226877003,2
"-41",-15,241017.2444821076,0
"-41",4,253309.59435597155,0
"-41",-5,215974.3047213677,0
"-41",9,289236.27028555307,0
"-41",-11,228359.02862005928,0
"-41",-20,271554.99168128904,5
"-41",-21,265836.87274045515,14
"-41",28,311986.77961691585,33
"-41",12,314839.1145488759,24
"-41",-28,314395.1264779529,60
"-41",10,319331.40438990685,62
"-41",0,232147.8838239282,0
"-41",-8,224260.41356540084,0
"-41",-26,291009.6304096072,68
"-41",11,326086.2463877871,48
"-41",-2,208492.45539056289,0
"-41",-22,274369.4608377848,19
"-41",-6,220370.7251394537,0
"-41",-12,237061.66708860864,0
"-41",19,294943.59530872206,0
"-41",-16,250557.31964120123,0
"-41",7,274486.99541422847,0
"-41",17,308434.5408515267,0
"-41",3,258636.32432329308,0
"-41",5,255322.43952833733,0
"-41",13,308352.48501210613,14
"-41",-3,199863.2942817039,0
"-41",8,280073.9235183109,0
"-41",27,304829.522433438,40
"-41",16,304562.38493837696,0
"-41",-24,284425.0470320596,36
"-41",-27,310170.5242162911,87
"-41",-7,228084.74341405023,0
"-41",14,297265.9721450423,6
"-41",2,254455.56076367528,0
"-41",-17,252074.26103953357,0
"-41",1,245828.53019550786,0
"-41",-19,263393.466753797,1
"-41",-9,225585.9717991644,0
"-41",24,257450.61423506352,3
"-41",20,284259.4655596082,0
"-41",22,301702.4028056084,0
"-41",23,287407.18381177634,11
"-41",6,272803.47845674737,1
"-41",-13,237841.78295036708,0
"-41",21,301467.8093832617,0
"-41",26,297758.6068979794,39
"-41",-10,237593.03004480305,0
"-41",-4,208218.07152428097,0
"-41",-23,273288.4566450619,26
"-41",25,255715.64338425154,0
"-41",-14,242211.64517922912,0
"-41",-18,249527.49202325376,0
"-41",18,286525.6510503859,0
"-41",-1,233842.65569799094,0
"-40",-11,231742.52253072336,0
"-40",4,262503.86658059066,0
"-40",19,291360.5992185543,0
"-40",-28,268746.6855753559,4
"-40",-5,201280.40566594427,0
"-40",26,285521.41341194586,43
"-40",-3,209258.44618254324,0
"-40",14,312074.4233915105,18
"-40",20,276485.911458974,0
"-40",16,301874.537860881,3
"-40",30,283219.3641994634,3
"-40",-24,247299.250566983,6
"-40",25,260499.94197875122,10
"-40",28,321888.28339843894,29
"-40",17,286073.34774732456,0
"-40",-25,228625.243439688,0
"-40",3,263096.1551912555,0
"-40",0,242982.54372720327,0
"-40",-18,257991.21315659367,6
"-40",-29,273040.2938528856,12
"-40",-6,199272.08908472682,0
"-40",-20,261885.7365949127,8
"-40",11,284382.19295522966,11
"-40",-23,281535.72284344543,23
"-40",10,275094.1131488627,0
"-40",29,300585.6741523735,12
"-40",1,261660.65612929035,0
"-40",15,309766.124800062,10
"-40",-26,241501.69132814286,0
"-40",-7,207722.8173058926,0
"-40",27,324712.4571338961,60
"-40",9,282541.8745167469,0
"-40",12,313401.370361673,42
"-40",-10,239192.12621954386,0
"-40",-9,237550.38007488401,0
"-40",21,278460.21263605444,0
"-40",23,297263.6103871402,14
"-40",18,286226.6093382213,0
"-40",-22,264869.79031432426,15
"-40",-21,262033.83012315026,9
"-40",24,257747.36424051743,0
"-40",-27,265708.8548432939,0
"-40",-30,276104.9261891778,6
"-40",-13,252632.17473617077,0
"-40",-15,238840.56677190613,0
"-40",5,279918.94207925256,30
"-40",8,287570.90491651464,0
"-40",-17,255566.4480984523,6
"-40",22,305585.54297268303,40
"-40",6,274003.3169648053,0
"-40",-16,247440.880693303,1
"-40",2,260598.2916211959,0
"-40",-12,246072.16511479852,0
"-40",-8,228168.40126188574,0
"-40",-2,214635.27789999198,0
"-40",13,308043.89259243594,27
"-40",7,291245.00026315474,0
"-40",-14,251206.85265929357,0
"-40",-1,235074.71708732258,0
"-40",-4,197607.71701381466,0
"-40",-19,267904.2292032862,6
"-39",-4,207984.55744272756,0
"-39",-21,228609.9373328037,0
"-39",11,276842.337129146,0
"-39",21,302590.2015644409,31
"-39",-31,276126.57159916434,0
"-39",-8,211602.03804591083,0
"-39",5,270953.1815494522,24
"-39",1,241207.47762026195,0
"-39",-18,240716.50280587949,4
"-39",24,253315.3184853681,0
"-39",-16,233512.10771310402,2
