pxcor,pycor,Radiation,FullSunlight
"-50",0,213341.61708660368,250
"-49",-9,145135.12614943695,139
"-49",3,160211.4341465568,180
"-49",-2,222322.7685309854,259
"-49",6,163450.65121730333,209
"-49",5,160556.8996614436,202
"-49",-4,120932.84123788278,104
"-49",9,251151.96329381384,338
"-49",-3,189913.5678002009,212
"-49",0,183929.18945273667,196
"-49",7,194183.20993429166,259
"-49",-7,129235.60678550032,129
"-49",-6,118424.08704018724,106
"-49",-5,114363.08493937248,99
"-49",8,212549.90183049857,290
"-49",2,155933.1000761225,167
"-49",1,160736.07523199468,166
"-49",-1,236931.6913586956,279
"-49",4,167327.15431117025,202
"-49",-8,153375.82350362258,165
"-48",-14,116320.7412024034,104
"-48",-12,112685.06706953415,90
"-48",10,311479.2318338604,415
"-48",9,273631.3573722469,365
"-48",3,137151.48257972253,150
"-48",0,170881.6204808494,181
"-48",2,134580.10996549227,131
"-48",-7,148467.52029796585,164
"-48",-13,125353.66899470928,108
"-48",7,200051.36358793246,265
"-48",8,241799.43254798983,326
"-48",-2,226813.64210295927,273
"-48",11,309455.4759433517,401
"-48",-9,132156.46248113574,120
"-48",1,156361.10279222575,162
"-48",-8,144253.26340425416,155
"-48",13,229385.87885968137,273
"-48",-10,109603.8205900815,72
"-48",5,149090.76073102697,177
"-48",-4,120550.02161967626,106
"-48",-6,121094.56392305091,114
"-48",12,286873.1544450988,363
"-48",4,141667.07024897586,157
"-48",-5,106055.18612698643,94
"-48",-1,199400.5465744775,230
"-48",-11,117787.18204962318,94
"-48",14,223686.3994831152,264
"-48",6,158584.89051892166,202
"-48",-3,175453.67939188506,194
"-47",-3,207426.4420381485,253
"-47",-1,192258.40108021017,228
"-47",3,133864.0756358527,135
"-47",10,313851.50419822184,428
"-47",-15,199730.9870406925,224
"-47",-8,145449.0796468328,171
"-47",-17,178973.165384031,188
"-47",16,195933.7729330717,247
"-47",-2,223399.56241024495,283
"-47",-10,127007.38253321547,119
"-47",0,182580.13813250783,210
"-47",14,231822.6601968685,278
"-47",1,136956.5100219715,139
"-47",12,304969.6187612916,394
"-47",6,145231.97868555348,166
"-47",-14,176825.60744237143,184
"-47",-4,164008.98678633512,185
"-47",9,291257.78266418225,396
"-47",15,226109.36320594352,283
"-47",-5,141095.2272703754,157
"-47",17,169195.88749581442,207
"-47",5,135239.49275820635,147
"-47",-11,128088.19953703176,112
"-47",2,124147.27215138197,119
"-47",7,207746.56537114902,274
"-47",4,133176.58425867534,136
"-47",-13,164240.95888722083,160
"-47",-16,218286.79655349388,247
"-47",-6,133714.65773871995,147
"-47",13,264717.68489722064,330
"-47",8,251450.9582622754,337
"-47",11,320881.02375357394,428
"-47",-9,133035.19551011405,144
"-47",-7,150126.75549271735,170
"-47",-12,141534.00940773534,133
"-46",17,206627.17984812232,249
"-46",9,292852.91233594686,400
"-46",-10,132012.40565146957,146
"-46",-11,138518.0244754483,142
"-46",19,146386.48086221213,147
"-46",7,229007.43156081,307
"-46",-13,221797.35839928855,251
"-46",15,255148.81396655887,317
"-46",-1,188144.35528486676,222
"-46",3,122599.23253091966,142
"-46",-3,208842.51044298883,256
"-46",18,171639.24447233978,198
"-46",5,133606.4252460137,154
"-46",8,275879.41961972805,377
"-46",-7,147906.48971612006,178
"-46",-15,222831.11616366915,249
"-46",-5,178379.83681618335,217
"-46",-19,226318.34668593603,262
"-46",-14,243476.32959323275,285
"-46",-18,221842.25178633252,234
"-46",14,280622.2016305314,348
"-46",13,333610.7540661232,425
"-46",-12,163845.49362204308,167
"-46",16,249495.43493435753,318
"-46",1,135773.3346243916,137
"-46",12,337358.56442223245,441
"-46",-17,231100.77889544622,246
"-46",11,333119.38418718625,448
"-46",10,314566.1283129243,429
"-46",-4,205130.32336371177,258
"-46",0,143116.44790802262,145
"-46",-8,157387.81912413766,198
"-46",4,125314.24894060413,154
"-46",-2,215108.21624131282,268
"-46",2,126248.42409644561,141
"-46",-16,233295.81386798783,261
"-46",-9,158515.45027560036,194
"-46",-6,170395.9382942365,215
"-46",6,148984.7553811043,171
"-45",-7,156836.48573438037,182
"-45",-10,168771.94837292048,196
"-45",-15,184090.87367273247,186
"-45",-16,183661.72920641248,180
"-45",19,157658.260638484,159
"-45",17,242133.74955174056,299
"-45",-8,152277.27573875315,176
"-45",-21,176614.39975560526,211
"-45",11,363361.4138858337,489
"-45",-5,180544.94737904804,225
"-45",16,300718.85599302454,395
"-45",20,138402.9557568952,127
"-45",-18,194958.88978749048,201
"-45",1,135889.26481700304,152
"-45",9,331417.7848948601,454
"-45",14,353650.3364587681,462
"-45",15,322394.9565498799,419
"-45",-1,159449.42399082612,168
"-45",8,328245.37100421113,452
"-45",-12,189604.54043507902,219
"-45",10,342482.3237668748,463
"-45",2,129462.82520292074,145
"-45",-3,196931.18171467396,245
"-45",12,388358.39131968754,518
"-45",18,184053.3426745641,206
"-45",13,372385.79256863135,484
"-45",-9,172167.16467523837,208
"-45",21,132491.2992617024,123
