pxcor,pycor,Radiation,FullSunlight
"-50",0,113451.7427025537,146
"-49",-5,217554.55098261,278
"-49",4,257483.51573910614,307
"-49",3,203950.92353083176,246
"-49",-9,280133.140605372,359
"-49",5,289987.61838040216,348
"-49",9,240593.1857073416,302
"-49",-6,235447.30035421983,295
"-49",7,256244.91488888644,321
"-49",-1,128059.51506218918,167
"-49",6,315681.483092966,386
"-49",-8,250343.33542706497,325
"-49",0,148002.1855997372,186
"-49",2,170783.28925190415,205
"-49",8,236661.39422654518,297
"-49",-7,183203.73216350283,232
"-49",-3,173185.90258836388,222
"-49",1,139787.861272587,171
"-49",-4,182955.53855659103,233
"-49",-2,146488.8236997719,189
"-48",4,231728.40861476865,278
"-48",14,125964.96799554443,180
"-48",12,204133.46053078957,272
"-48",11,238926.77819092787,309
"-48",1,165142.31463916358,202
"-48",3,209797.45686786732,253
"-48",-7,209853.90609763694,265
"-48",6,303820.64497586037,372
"-48",-1,153877.64982215205,200
"-48",2,158364.83296237697,193
"-48",-14,249577.81247030804,323
"-48",5,269712.9357585609,324
"-48",-4,164406.93080068153,212
"-48",-2,153541.3581761688,199
"-48",8,242913.38282809785,305
"-48",-11,325889.0418430452,416
"-48",-5,188848.99038580176,246
"-48",-8,253669.0384977826,325
"-48",-3,150466.8353549478,197
"-48",0,130449.90878871102,167
"-48",9,242125.4803514143,307
"-48",13,155929.79116228942,216
"-48",-9,266812.02767017117,342
"-48",7,305481.33346114145,379
"-48",10,242214.09687495054,310
"-48",-13,246262.27477469997,320
"-48",-10,287796.82164395606,366
"-48",-6,173320.4450398174,222
"-48",-12,303464.8078941625,391
"-47",12,189794.0822465661,252
"-47",-7,217538.38461509848,272
"-47",9,272826.30853708176,344
"-47",13,183521.24852314038,246
"-47",7,269682.5265755361,337
"-47",-3,133787.88055533412,177
"-47",17,123713.41831227312,180
"-47",-6,223621.88496956814,284
"-47",-14,241534.26411602958,321
"-47",-11,243945.37669255398,319
"-47",1,180936.35631134437,222
"-47",4,229201.2667853132,278
"-47",14,174515.63236367228,235
"-47",0,120678.69743023193,159
"-47",-13,244114.33740120896,322
"-47",-15,210458.87824753058,278
"-47",11,262032.1891397083,342
"-47",-8,243030.3475825484,310
"-47",6,248705.97645289006,309
"-47",8,274813.27753165003,345
"-47",5,255772.41409746176,310
"-47",-17,157110.25287431935,202
"-47",-10,239845.25873100647,306
"-47",-9,255459.6004662185,328
"-47",-5,169367.26648774528,220
"-47",-2,123680.83463890098,165
"-47",-4,148729.57247583527,194
"-47",2,228489.27008821702,276
"-47",-1,125399.6661068132,169
"-47",-12,240157.33301197801,317
"-47",-16,183183.76391792655,239
"-47",3,193517.25984397254,234
"-47",10,252141.09841057353,324
"-47",16,117561.51968576289,170
"-47",15,132701.95995245271,186
"-46",-12,240566.78671398366,320
"-46",-7,208161.25755935663,261
"-46",10,242687.19039269918,314
"-46",6,191582.51769869777,244
"-46",12,168543.31733421268,229
"-46",-4,171033.58864828607,222
"-46",-2,125848.29401179802,169
"-46",-1,120991.42562296045,165
"-46",-5,180603.0565635061,232
"-46",-10,252783.80911508983,326
"-46",2,221674.02776076074,275
"-46",-6,191771.75091803708,244
"-46",8,246657.91925416113,319
"-46",16,108049.88515765472,154
"-46",17,136343.7489702818,192
"-46",15,118670.63565324445,167
"-46",18,123157.20215115574,174
"-46",5,169436.7941696377,213
"-46",14,185792.0870203186,251
"-46",-16,163559.38474018194,212
"-46",11,236750.62685238256,314
"-46",9,253356.0290703065,325
"-46",4,207374.69565021197,259
"-46",-15,187518.0565024457,249
"-46",-14,236760.54033930117,318
"-46",3,236593.2569437497,293
"-46",-3,141977.69021415507,188
"-46",-9,253913.71314086768,325
"-46",7,194336.30535317922,252
"-46",1,106731.91542102951,139
"-46",-8,244285.61300830243,308
"-46",-19,148713.17359106915,188
"-46",-18,155643.90174515624,198
"-46",19,138262.4687861859,184
"-46",0,110091.09250324417,148
"-46",-11,247426.3287350712,325
"-46",-13,234029.53041002748,313
"-46",-17,147339.70281634817,189
"-46",13,176534.6819887994,239
"-45",-2,143210.9054252828,191
"-45",12,240333.39120352909,314
"-45",3,252062.09232792462,311
"-45",-9,265062.4664653903,338
"-45",9,256962.4386517236,332
"-45",-12,237854.52494086642,315
"-45",18,186893.64777813695,245
"-45",0,163776.1673640858,209
"-45",-8,211457.25846446888,266
"-45",15,138781.01309003067,190
"-45",14,156323.2343845088,212
"-45",19,177918.86072683605,227
"-45",13,200337.71436872234,269
"-45",11,230182.48721504395,306
"-45",5,200877.93114864395,252
"-45",-18,141921.69363024575,180
"-45",-17,149065.73424244957,190
"-45",-4,208862.49422405587,262
"-45",17,140999.6907475642,193
"-45",-19,132875.3954577215,168
"-45",21,194573.39932446976,246
"-45",7,152548.9338282838,204
"-45",-1,158783.73855667416,208
"-45",6,148255.4436878062,195
"-45",16,121180.1284923756,167
"-45",4,242066.85734390072,300
"-45",-16,158513.10522162524,206
"-45",-11,240990.98568354832,316
"-45",-3,161038.91881264118,212
"-45",1,136895.26881532287,173
"-45",-21,105235.96855799494,142
"-45",-14,203452.85975339913,272
"-45",-13,233395.11668338918,310
"-45",-5,194172.27713402826,247
"-45",-6,195311.89674874258,248
"-45",2,201633.93863931842,251
"-45",8,223962.03382829172,294
"-45",10,214902.0291859504,285
"-45",-20,160606.09528045764,203
"-45",-10,274612.80893894605,351
"-45",-7,195322.24749485744,245
"-45",-15,174278.73905836846,229
"-45",20,185853.0870226975,237
"-44",-16,154235.31718607285,200
"-44",8,176370.45601560475,243
"-44",-21,108517.87867191786,148
"-44",5,225868.75814400607,283
"-44",-20,112622.02015193799,148
"-44",-19,123118.87522504276,158
"-44",3,215848.95741644566,269
"-44",7,149916.45355909536,201
"-44",-11,275833.10113302927,357
"-44",4,234546.5804892698,291
"-44",17,191882.29693443485,249
"-44",14,162149.49175503198,215
"-44",-2,191929.27736862458,247
"-44",18,220291.91578155637,276
"-44",11,232084.6386365473,309
"-44",15,149564.05476455024,201
"-44",-3,161444.564222879,214
"-44",-8,232205.92656081478,288
"-44",13,231708.44225842014,303
"-44",-1,231884.02478404724,290
"-44",-5,181419.52111389086,233
"-44",-6,225710.4835448068,284
"-44",-9,260982.51313661196,328
"-44",19,217179.815073902,272
"-44",22,202831.41700904933,256
"-44",-12,226206.37706788583,301
"-44",-14,190450.9211441694,254
"-44",-17,155644.05540989173,200
"-44",-13,219684.75630867993,292
"-44",2,176036.58520898086,217
"-44",-15,166307.53980440472,218
"-44",1,191193.28332140378,234
"-44",0,226758.87846817754,279
"-44",-23,171481.23961985117,228
"-44",-18,148845.56078701856,189
"-44",16,155760.0371261884,206
"-44",21,180107.20160855216,231
"-44",-4,166228.239704359,216
"-44",20,201306.96084934133,256
"-44",10,245183.36165530665,322
"-44",-22,132454.69276103852,181
"-44",-10,268305.5888473128,340
"-44",23,221062.38090885474,284
"-44",6,187597.68281331827,240
"-44",9,185948.92173089218,254
"-44",-7,225641.9360772946,280
"-44",12,222690.4983231839,296
"-43",-20,135441.4028016859,174
"-43",23,291830.3990889932,366
"-43",14,219719.17553373612,283
"-43",6,275901.5014016567,340
"-43",-15,165042.9560204705,216
"-43",-25,257303.13681367022,339
"-43",-8,200059.4979014979,250
"-43",-11,221282.55390295037,291
"-43",-3,147637.2258735872,198
"-43",10,203098.217384592,275
"-43",11,226392.55936462732,305
"-43",-6,208471.46390411843,264
"-43",21,228328.58490266718,289
"-43",-21,132973.51452331684,179
"-43",2,204175.38606156304,248
"-43",-18,134616.35546554596,172
"-43",22,260149.2274411118,326
"-43",12,205337.81812313633,279
"-43",-22,148359.40094388262,197
"-43",-23,196039.66121309658,257
"-43",-4,161611.5675165578,211
"-43",5,299843.1221636101,366
"-43",19,222397.6680648419,278
"-43",-13,200121.75033311904,266
"-43",16,218395.5653691941,274
"-43",8,220116.60444000483,296
"-43",-14,169550.4936750325,228
"-43",7,244053.7357294711,309
"-43",1,152944.21063644157,194
"-43",17,262601.63302304415,331
"-43",-2,126243.2172148022,173
"-43",-9,192536.1218685779,243
"-43",-7,202551.27620227472,254
"-43",15,242238.48842306423,304
"-43",0,143958.43760214213,188
"-43",4,285501.3867850499,347
"-43",25,224915.37437077,282
"-43",13,202972.7741998882,272
"-43",-12,208402.7554109541,276
"-43",-5,196098.24613310088,253
"-43",-1,123205.85219123881,170
"-43",18,243828.15293026052,300
"-43",-19,133683.0353839503,170
"-43",-17,147246.20342002,190
"-43",9,192884.2790844283,263
"-43",-16,154628.14444302872,200
"-43",24,258198.82562039807,326
"-43",-10,200987.83776121915,259
