"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "Proportion" "Area"
1 "Disk" "Phillip SW Belize" 0.2 5 1 0.1 359
1 "Disk" "Phillip SW Belize" 0.2 5 1 0.2 795
1 "Disk" "Phillip SW Belize" 0.2 5 1 0.3 1296
1 "Disk" "Phillip SW Belize" 0.2 5 1 0.4 1861
1 "Disk" "Phillip SW Belize" 0.2 5 1 0.5 2493
1 "Disk" "Phillip SW Belize" 0.2 5 1 0.6 3201
1 "Disk" "Phillip SW Belize" 0.2 5 1 0.7 4000
1 "Disk" "Phillip SW Belize" 0.2 5 1 0.8 4914
1 "Disk" "Phillip SW Belize" 0.2 5 1 0.9 6027
1 "Disk" "Phillip SW Belize" 0.2 5 1 1 7845
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 0.1 202
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 0.2 444
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 0.3 723
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 0.4 1044
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 0.5 1414
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 0.6 1851
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 0.7 2374
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 0.8 3027
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 0.9 3972
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 1 7845
3 "Disk" "Lake Charles" 0.2 5 1 0.1 375
3 "Disk" "Lake Charles" 0.2 5 1 0.2 831
3 "Disk" "Lake Charles" 0.2 5 1 0.3 1346
3 "Disk" "Lake Charles" 0.2 5 1 0.4 1923
3 "Disk" "Lake Charles" 0.2 5 1 0.5 2566
3 "Disk" "Lake Charles" 0.2 5 1 0.6 3280
3 "Disk" "Lake Charles" 0.2 5 1 0.7 4086
3 "Disk" "Lake Charles" 0.2 5 1 0.8 5018
3 "Disk" "Lake Charles" 0.2 5 1 0.9 6135
3 "Disk" "Lake Charles" 0.2 5 1 1 7845
