"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "ShadeTolerance" "Proportion"
1 "Disk" "Phillip SW Belize" 0.2 5 1 "high" 0.0950181046322887
1 "Disk" "Phillip SW Belize" 0.2 5 1 "intermediate" 0.677737545261581
1 "Disk" "Phillip SW Belize" 0.2 5 1 "low" 0.227244350106131
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 "high" 0.0963915594955675
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 "intermediate" 0.634036708702709
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 "low" 0.269571731801723
3 "Disk" "Lake Charles" 0.2 5 1 "high" 0.108627793732051
3 "Disk" "Lake Charles" 0.2 5 1 "intermediate" 0.677238107129479
3 "Disk" "Lake Charles" 0.2 5 1 "low" 0.214134099138469
4 "Ellipsoid" "Lake Charles" 0.2 5 1 "high" 0.0856536396553877
4 "Ellipsoid" "Lake Charles" 0.2 5 1 "intermediate" 0.643026595080534
4 "Ellipsoid" "Lake Charles" 0.2 5 1 "low" 0.271319765264078
5 "Disk" "McMinnville" 0.2 5 1 "high" 0.0466974653514796
5 "Disk" "McMinnville" 0.2 5 1 "intermediate" 0.720938943688351
5 "Disk" "McMinnville" 0.2 5 1 "low" 0.23236359096017
6 "Ellipsoid" "McMinnville" 0.2 5 1 "high" 0.00437008365588713
6 "Ellipsoid" "McMinnville" 0.2 5 1 "intermediate" 0.714945686103134
6 "Ellipsoid" "McMinnville" 0.2 5 1 "low" 0.280684230240979
7 "Disk" "Lindenberg" 0.2 5 1 "high" 0.0221001373454863
7 "Disk" "Lindenberg" 0.2 5 1 "intermediate" 0.75315270320889
7 "Disk" "Lindenberg" 0.2 5 1 "low" 0.224747159445624
8 "Ellipsoid" "Lindenberg" 0.2 5 1 "high" 0
8 "Ellipsoid" "Lindenberg" 0.2 5 1 "intermediate" 0.734798351854164
8 "Ellipsoid" "Lindenberg" 0.2 5 1 "low" 0.265201648145836
9 "Disk" "Croker river" 0.2 5 1 "high" 0
9 "Disk" "Croker river" 0.2 5 1 "intermediate" 0.680109876389062
9 "Disk" "Croker river" 0.2 5 1 "low" 0.319890123610938
10 "Ellipsoid" "Croker river" 0.2 5 1 "high" 0
10 "Ellipsoid" "Croker river" 0.2 5 1 "intermediate" 0.636783618429267
10 "Ellipsoid" "Croker river" 0.2 5 1 "low" 0.363216381570733
11 "Disk" "Phillip SW Belize" 0.15 5 1 "high" 0.28118366837308
11 "Disk" "Phillip SW Belize" 0.15 5 1 "intermediate" 0.559120988887502
11 "Disk" "Phillip SW Belize" 0.15 5 1 "low" 0.159695342739418
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 "high" 0.288675240354601
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 "intermediate" 0.528530403296292
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 "low" 0.182794356349107
13 "Disk" "Lake Charles" 0.15 5 1 "high" 0.277812460981396
13 "Disk" "Lake Charles" 0.15 5 1 "intermediate" 0.581720564365089
13 "Disk" "Lake Charles" 0.15 5 1 "low" 0.140466974653515
14 "Ellipsoid" "Lake Charles" 0.15 5 1 "high" 0.273816955924585
14 "Ellipsoid" "Lake Charles" 0.15 5 1 "intermediate" 0.543014109127232
14 "Ellipsoid" "Lake Charles" 0.15 5 1 "low" 0.183168934948183
15 "Disk" "McMinnville" 0.15 5 1 "high" 0.199026095642402
15 "Disk" "McMinnville" 0.15 5 1 "intermediate" 0.677987264327631
15 "Disk" "McMinnville" 0.15 5 1 "low" 0.122986640029966
16 "Ellipsoid" "McMinnville" 0.15 5 1 "high" 0.160319640404545
16 "Ellipsoid" "McMinnville" 0.15 5 1 "intermediate" 0.667124484954426
16 "Ellipsoid" "McMinnville" 0.15 5 1 "low" 0.172555874641029
17 "Disk" "Lindenberg" 0.15 5 1 "high" 0.176925958296916
17 "Disk" "Lindenberg" 0.15 5 1 "intermediate" 0.707204395055563
17 "Disk" "Lindenberg" 0.15 5 1 "low" 0.115869646647522
18 "Ellipsoid" "Lindenberg" 0.15 5 1 "high" 0.14596079410663
18 "Ellipsoid" "Lindenberg" 0.15 5 1 "intermediate" 0.697964789611687
18 "Ellipsoid" "Lindenberg" 0.15 5 1 "low" 0.156074416281683
19 "Disk" "Croker river" 0.15 5 1 "high" 0
19 "Disk" "Croker river" 0.15 5 1 "intermediate" 0.885628667748783
19 "Disk" "Croker river" 0.15 5 1 "low" 0.114371332251217
20 "Ellipsoid" "Croker river" 0.15 5 1 "high" 0
20 "Ellipsoid" "Croker river" 0.15 5 1 "intermediate" 0.840928954925709
20 "Ellipsoid" "Croker river" 0.15 5 1 "low" 0.159071045074291
21 "Disk" "Phillip SW Belize" 0.1 5 1 "high" 0.472593332500936
21 "Disk" "Phillip SW Belize" 0.1 5 1 "intermediate" 0.432888000998876
21 "Disk" "Phillip SW Belize" 0.1 5 1 "low" 0.0945186665001873
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 "high" 0.44674740916469
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 "intermediate" 0.436134348857535
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 "low" 0.117118241977775
23 "Disk" "Lake Charles" 0.1 5 1 "high" 0.447371706829816
23 "Disk" "Lake Charles" 0.1 5 1 "intermediate" 0.468098389312024
23 "Disk" "Lake Charles" 0.1 5 1 "low" 0.0845299038581596
24 "Ellipsoid" "Lake Charles" 0.1 5 1 "high" 0.441753027843676
24 "Ellipsoid" "Lake Charles" 0.1 5 1 "intermediate" 0.445249094768386
24 "Ellipsoid" "Lake Charles" 0.1 5 1 "low" 0.112997877387939
25 "Disk" "McMinnville" 0.1 5 1 "high" 0.39280809089774
25 "Disk" "McMinnville" 0.1 5 1 "intermediate" 0.549881383443626
25 "Disk" "McMinnville" 0.1 5 1 "low" 0.057310525658634
26 "Ellipsoid" "McMinnville" 0.1 5 1 "high" 0.363216381570733
26 "Ellipsoid" "McMinnville" 0.1 5 1 "intermediate" 0.530653015357723
26 "Ellipsoid" "McMinnville" 0.1 5 1 "low" 0.106130603071545
27 "Disk" "Lindenberg" 0.1 5 1 "high" 0.408165813459858
27 "Disk" "Lindenberg" 0.1 5 1 "intermediate" 0.55325259083531
27 "Disk" "Lindenberg" 0.1 5 1 "low" 0.0385815957048321
28 "Ellipsoid" "Lindenberg" 0.1 5 1 "high" 0.353727057060807
