"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "TotalFull"
1 "Disk" "Phillip SW Belize" 0.2 5 1 1762183
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 642828
3 "Disk" "Lake Charles" 0.2 5 1 1849967
4 "Ellipsoid" "Lake Charles" 0.2 5 1 590760
5 "Disk" "McMinnville" 0.2 5 1 2072145
6 "Ellipsoid" "McMinnville" 0.2 5 1 423820
7 "Disk" "Lindenberg" 0.2 5 1 2099572
8 "Ellipsoid" "Lindenberg" 0.2 5 1 324120
9 "Disk" "Croker river" 0.2 5 1 3111856
10 "Ellipsoid" "Croker river" 0.2 5 1 112902
11 "Disk" "Phillip SW Belize" 0.15 5 1 1762183
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 642828
13 "Disk" "Lake Charles" 0.15 5 1 1849967
14 "Ellipsoid" "Lake Charles" 0.15 5 1 590760
15 "Disk" "McMinnville" 0.15 5 1 2072145
16 "Ellipsoid" "McMinnville" 0.15 5 1 423820
17 "Disk" "Lindenberg" 0.15 5 1 2099572
18 "Ellipsoid" "Lindenberg" 0.15 5 1 324120
19 "Disk" "Croker river" 0.15 5 1 3111856
20 "Ellipsoid" "Croker river" 0.15 5 1 112902
21 "Disk" "Phillip SW Belize" 0.1 5 1 1762183
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 642828
23 "Disk" "Lake Charles" 0.1 5 1 1849967
24 "Ellipsoid" "Lake Charles" 0.1 5 1 590760
25 "Disk" "McMinnville" 0.1 5 1 2072145
26 "Ellipsoid" "McMinnville" 0.1 5 1 423820
27 "Disk" "Lindenberg" 0.1 5 1 2099572
28 "Ellipsoid" "Lindenberg" 0.1 5 1 324120
29 "Disk" "Croker river" 0.1 5 1 3111856
30 "Ellipsoid" "Croker river" 0.1 5 1 112902
31 "Disk" "Phillip SW Belize" 0.05 5 1 1762183
32 "Ellipsoid" "Phillip SW Belize" 0.05 5 1 642828
33 "Disk" "Lake Charles" 0.05 5 1 1849967
34 "Ellipsoid" "Lake Charles" 0.05 5 1 590760
35 "Disk" "McMinnville" 0.05 5 1 2072145
36 "Ellipsoid" "McMinnville" 0.05 5 1 423820
37 "Disk" "Lindenberg" 0.05 5 1 2099572
38 "Ellipsoid" "Lindenberg" 0.05 5 1 324120
39 "Disk" "Croker river" 0.05 5 1 3111856
40 "Ellipsoid" "Croker river" 0.05 5 1 112902
41 "Disk" "Phillip SW Belize" 0 5 1 1762183
42 "Ellipsoid" "Phillip SW Belize" 0 5 1 642828
43 "Disk" "Lake Charles" 0 5 1 1849967
44 "Ellipsoid" "Lake Charles" 0 5 1 590760
45 "Disk" "McMinnville" 0 5 1 2072145
46 "Ellipsoid" "McMinnville" 0 5 1 423820
47 "Disk" "Lindenberg" 0 5 1 2099572
48 "Ellipsoid" "Lindenberg" 0 5 1 324120
49 "Disk" "Croker river" 0 5 1 3111856
50 "Ellipsoid" "Croker river" 0 5 1 112902
51 "Disk" "Phillip SW Belize" 0.2 10 1 1970339
52 "Ellipsoid" "Phillip SW Belize" 0.2 10 1 812994
53 "Disk" "Lake Charles" 0.2 10 1 2062628
54 "Ellipsoid" "Lake Charles" 0.2 10 1 765673
55 "Disk" "McMinnville" 0.2 10 1 2286538
56 "Ellipsoid" "McMinnville" 0.2 10 1 588547
57 "Disk" "Lindenberg" 0.2 10 1 2309090
58 "Ellipsoid" "Lindenberg" 0.2 10 1 476295
59 "Disk" "Croker river" 0.2 10 1 3268700
60 "Ellipsoid" "Croker river" 0.2 10 1 211537
61 "Disk" "Phillip SW Belize" 0.15 10 1 1970339
62 "Ellipsoid" "Phillip SW Belize" 0.15 10 1 812994
63 "Disk" "Lake Charles" 0.15 10 1 2062628
64 "Ellipsoid" "Lake Charles" 0.15 10 1 765673
65 "Disk" "McMinnville" 0.15 10 1 2286538
66 "Ellipsoid" "McMinnville" 0.15 10 1 588547
67 "Disk" "Lindenberg" 0.15 10 1 2309090
68 "Ellipsoid" "Lindenberg" 0.15 10 1 476295
69 "Disk" "Croker river" 0.15 10 1 3268700
70 "Ellipsoid" "Croker river" 0.15 10 1 211537
71 "Disk" "Phillip SW Belize" 0.1 10 1 1970339
72 "Ellipsoid" "Phillip SW Belize" 0.1 10 1 812994
73 "Disk" "Lake Charles" 0.1 10 1 2062628
74 "Ellipsoid" "Lake Charles" 0.1 10 1 765673
75 "Disk" "McMinnville" 0.1 10 1 2286538
76 "Ellipsoid" "McMinnville" 0.1 10 1 588547
77 "Disk" "Lindenberg" 0.1 10 1 2309090
78 "Ellipsoid" "Lindenberg" 0.1 10 1 476295
79 "Disk" "Croker river" 0.1 10 1 3268700
80 "Ellipsoid" "Croker river" 0.1 10 1 211537
81 "Disk" "Phillip SW Belize" 0.05 10 1 1970339
82 "Ellipsoid" "Phillip SW Belize" 0.05 10 1 812994
83 "Disk" "Lake Charles" 0.05 10 1 2062628
84 "Ellipsoid" "Lake Charles" 0.05 10 1 765673
85 "Disk" "McMinnville" 0.05 10 1 2286538
86 "Ellipsoid" "McMinnville" 0.05 10 1 588547
87 "Disk" "Lindenberg" 0.05 10 1 2309090
88 "Ellipsoid" "Lindenberg" 0.05 10 1 476295
89 "Disk" "Croker river" 0.05 10 1 3268700
90 "Ellipsoid" "Croker river" 0.05 10 1 211537
91 "Disk" "Phillip SW Belize" 0 10 1 1970339
92 "Ellipsoid" "Phillip SW Belize" 0 10 1 812994
93 "Disk" "Lake Charles" 0 10 1 2062628
94 "Ellipsoid" "Lake Charles" 0 10 1 765673
95 "Disk" "McMinnville" 0 10 1 2286538
96 "Ellipsoid" "McMinnville" 0 10 1 588547
97 "Disk" "Lindenberg" 0 10 1 2309090
98 "Ellipsoid" "Lindenberg" 0 10 1 476295
99 "Disk" "Croker river" 0 10 1 3268700
100 "Ellipsoid" "Croker river" 0 10 1 211537
101 "Disk" "Phillip SW Belize" 0.2 15 1 2287046
102 "Ellipsoid" "Phillip SW Belize" 0.2 15 1 1150782
103 "Disk" "Lake Charles" 0.2 15 1 2387449
104 "Ellipsoid" "Lake Charles" 0.2 15 1 1114207
105 "Disk" "McMinnville" 0.2 15 1 2614088
106 "Ellipsoid" "McMinnville" 0.2 15 1 936253
107 "Disk" "Lindenberg" 0.2 15 1 2626975
108 "Ellipsoid" "Lindenberg" 0.2 15 1 814871
109 "Disk" "Croker river" 0.2 15 1 3510011
110 "Ellipsoid" "Croker river" 0.2 15 1 471475
111 "Disk" "Phillip SW Belize" 0.15 15 1 2287046
112 "Ellipsoid" "Phillip SW Belize" 0.15 15 1 1150782
113 "Disk" "Lake Charles" 0.15 15 1 2387449
114 "Ellipsoid" "Lake Charles" 0.15 15 1 1114207
115 "Disk" "McMinnville" 0.15 15 1 2614088
116 "Ellipsoid" "McMinnville" 0.15 15 1 936253
117 "Disk" "Lindenberg" 0.15 15 1 2626975
118 "Ellipsoid" "Lindenberg" 0.15 15 1 814871
119 "Disk" "Croker river" 0.15 15 1 3510011
120 "Ellipsoid" "Croker river" 0.15 15 1 471475
121 "Disk" "Phillip SW Belize" 0.1 15 1 2287046
122 "Ellipsoid" "Phillip SW Belize" 0.1 15 1 1150782
123 "Disk" "Lake Charles" 0.1 15 1 2387449
124 "Ellipsoid" "Lake Charles" 0.1 15 1 1114207
125 "Disk" "McMinnville" 0.1 15 1 2614088
126 "Ellipsoid" "McMinnville" 0.1 15 1 936253
127 "Disk" "Lindenberg" 0.1 15 1 2626975
128 "Ellipsoid" "Lindenberg" 0.1 15 1 814871
129 "Disk" "Croker river" 0.1 15 1 3510011
130 "Ellipsoid" "Croker river" 0.1 15 1 471475
131 "Disk" "Phillip SW Belize" 0.05 15 1 2287046
132 "Ellipsoid" "Phillip SW Belize" 0.05 15 1 1150782
133 "Disk" "Lake Charles" 0.05 15 1 2387449
134 "Ellipsoid" "Lake Charles" 0.05 15 1 1114207
135 "Disk" "McMinnville" 0.05 15 1 2614088
136 "Ellipsoid" "McMinnville" 0.05 15 1 936253
137 "Disk" "Lindenberg" 0.05 15 1 2626975
138 "Ellipsoid" "Lindenberg" 0.05 15 1 814871
139 "Disk" "Croker river" 0.05 15 1 3510011
140 "Ellipsoid" "Croker river" 0.05 15 1 471475
141 "Disk" "Phillip SW Belize" 0 15 1 2287046
142 "Ellipsoid" "Phillip SW Belize" 0 15 1 1150782
143 "Disk" "Lake Charles" 0 15 1 2387449
144 "Ellipsoid" "Lake Charles" 0 15 1 1114207
145 "Disk" "McMinnville" 0 15 1 2614088
146 "Ellipsoid" "McMinnville" 0 15 1 936253
147 "Disk" "Lindenberg" 0 15 1 2626975
148 "Ellipsoid" "Lindenberg" 0 15 1 814871
149 "Disk" "Croker river" 0 15 1 3510011
150 "Ellipsoid" "Croker river" 0 15 1 471475
151 "Disk" "Phillip SW Belize" 0.2 20 1 2834536
152 "Ellipsoid" "Phillip SW Belize" 0.2 20 1 1769597
153 "Disk" "Lake Charles" 0.2 20 1 2935540
154 "Ellipsoid" "Lake Charles" 0.2 20 1 1740214
155 "Disk" "McMinnville" 0.2 20 1 3116869
156 "Ellipsoid" "McMinnville" 0.2 20 1 1524925
157 "Disk" "Lindenberg" 0.2 20 1 3096415
158 "Ellipsoid" "Lindenberg" 0.2 20 1 1364311
159 "Disk" "Croker river" 0.2 20 1 3857362
160 "Ellipsoid" "Croker river" 0.2 20 1 872278
161 "Disk" "Phillip SW Belize" 0.15 20 1 2834536
162 "Ellipsoid" "Phillip SW Belize" 0.15 20 1 1769597
163 "Disk" "Lake Charles" 0.15 20 1 2935540
164 "Ellipsoid" "Lake Charles" 0.15 20 1 1740214
165 "Disk" "McMinnville" 0.15 20 1 3116869
166 "Ellipsoid" "McMinnville" 0.15 20 1 1524925
167 "Disk" "Lindenberg" 0.15 20 1 3096415
168 "Ellipsoid" "Lindenberg" 0.15 20 1 1364311
169 "Disk" "Croker river" 0.15 20 1 3857362
170 "Ellipsoid" "Croker river" 0.15 20 1 872278
171 "Disk" "Phillip SW Belize" 0.1 20 1 2834536
172 "Ellipsoid" "Phillip SW Belize" 0.1 20 1 1769597
173 "Disk" "Lake Charles" 0.1 20 1 2935540
174 "Ellipsoid" "Lake Charles" 0.1 20 1 1740214
175 "Disk" "McMinnville" 0.1 20 1 3116869
176 "Ellipsoid" "McMinnville" 0.1 20 1 1524925
177 "Disk" "Lindenberg" 0.1 20 1 3096415
178 "Ellipsoid" "Lindenberg" 0.1 20 1 1364311
179 "Disk" "Croker river" 0.1 20 1 3857362
180 "Ellipsoid" "Croker river" 0.1 20 1 872278
181 "Disk" "Phillip SW Belize" 0.05 20 1 2834536
182 "Ellipsoid" "Phillip SW Belize" 0.05 20 1 1769597
183 "Disk" "Lake Charles" 0.05 20 1 2935540
184 "Ellipsoid" "Lake Charles" 0.05 20 1 1740214
185 "Disk" "McMinnville" 0.05 20 1 3116869
186 "Ellipsoid" "McMinnville" 0.05 20 1 1524925
187 "Disk" "Lindenberg" 0.05 20 1 3096415
188 "Ellipsoid" "Lindenberg" 0.05 20 1 1364311
189 "Disk" "Croker river" 0.05 20 1 3857362
190 "Ellipsoid" "Croker river" 0.05 20 1 872278
