"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "TotalRad"
1 "Disk" "Phillip SW Belize" 0.2 5 1 1967090797.30824
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 2019248363.62355
3 "Disk" "Lake Charles" 0.2 5 1 2000630316.44256
4 "Ellipsoid" "Lake Charles" 0.2 5 1 2053925848.01294
5 "Disk" "McMinnville" 0.2 5 1 2509958392.17468
6 "Ellipsoid" "McMinnville" 0.2 5 1 2591045763.19345
7 "Disk" "Lindenberg" 0.2 5 1 2306310562.1556
8 "Ellipsoid" "Lindenberg" 0.2 5 1 2378666406.64212
9 "Disk" "Croker river" 0.2 5 1 3053133836.07028
10 "Ellipsoid" "Croker river" 0.2 5 1 3105308173.13585
11 "Disk" "Phillip SW Belize" 0.15 5 1 1756808229.10624
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 1812333993.66701
13 "Disk" "Lake Charles" 0.15 5 1 1787282765.9722
14 "Ellipsoid" "Lake Charles" 0.15 5 1 1844283350.2802
15 "Disk" "McMinnville" 0.15 5 1 2248853901.25854
16 "Ellipsoid" "McMinnville" 0.15 5 1 2335851985.99429
17 "Disk" "Lindenberg" 0.15 5 1 2069512234.09326
18 "Ellipsoid" "Lindenberg" 0.15 5 1 2147561145.15342
19 "Disk" "Croker river" 0.15 5 1 2768011071.44736
20 "Ellipsoid" "Croker river" 0.15 5 1 2824533367.83039
21 "Disk" "Phillip SW Belize" 0.1 5 1 1565275097.60309
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 1623877411.19699
23 "Disk" "Lake Charles" 0.1 5 1 1592846288.0977
24 "Ellipsoid" "Lake Charles" 0.1 5 1 1653251889.25325
25 "Disk" "McMinnville" 0.1 5 1 2010394995.55662
26 "Ellipsoid" "McMinnville" 0.1 5 1 2102893095.47748
27 "Disk" "Lindenberg" 0.1 5 1 1853029898.31449
28 "Ellipsoid" "Lindenberg" 0.1 5 1 1936412869.44279
29 "Disk" "Croker river" 0.1 5 1 2506196483.69253
30 "Ellipsoid" "Croker river" 0.1 5 1 2567107482.34477
31 "Disk" "Phillip SW Belize" 0.05 5 1 1391295495.2703
32 "Ellipsoid" "Phillip SW Belize" 0.05 5 1 1452656779.91766
33 "Disk" "Lake Charles" 0.05 5 1 1416087087.25412
34 "Ellipsoid" "Lake Charles" 0.05 5 1 1479572133.14033
35 "Disk" "McMinnville" 0.05 5 1 1793046180.12266
36 "Ellipsoid" "McMinnville" 0.05 5 1 1890593420.25783
37 "Disk" "Lindenberg" 0.05 5 1 1655466776.73833
38 "Ellipsoid" "Lindenberg" 0.05 5 1 1743783707.28418
39 "Disk" "Croker river" 0.05 5 1 2265943764.69692
40 "Ellipsoid" "Croker river" 0.05 5 1 2331276927.44725
41 "Disk" "Phillip SW Belize" 0 5 1 1233732776.32711
42 "Ellipsoid" "Phillip SW Belize" 0 5 1 1297514467.49378
43 "Disk" "Lake Charles" 0 5 1 1255832681.17709
44 "Ellipsoid" "Lake Charles" 0 5 1 1322051898.34906
45 "Disk" "McMinnville" 0 5 1 1595355991.1576
46 "Ellipsoid" "McMinnville" 0 5 1 1697468136.25885
47 "Disk" "Lindenberg" 0 5 1 1475506047.40653
48 "Ellipsoid" "Lindenberg" 0 5 1 1568321760.42524
49 "Disk" "Croker river" 0 5 1 2045624089.16006
50 "Ellipsoid" "Croker river" 0 5 1 2115406337.26373
51 "Disk" "Phillip SW Belize" 0.2 10 1 2125357735.42339
52 "Ellipsoid" "Phillip SW Belize" 0.2 10 1 2183012660.25839
53 "Disk" "Lake Charles" 0.2 10 1 2160284529.1613
54 "Ellipsoid" "Lake Charles" 0.2 10 1 2222340412.67878
55 "Disk" "McMinnville" 0.2 10 1 2691967538.76061
56 "Ellipsoid" "McMinnville" 0.2 10 1 2785915829.86487
57 "Disk" "Lindenberg" 0.2 10 1 2469084150.40852
58 "Ellipsoid" "Lindenberg" 0.2 10 1 2554747433.9655
59 "Disk" "Croker river" 0.2 10 1 3179879375.49536
60 "Ellipsoid" "Croker river" 0.2 10 1 3265775609.47619
61 "Disk" "Phillip SW Belize" 0.15 10 1 1915910648.85417
62 "Ellipsoid" "Phillip SW Belize" 0.15 10 1 1976592957.49437
63 "Disk" "Lake Charles" 0.15 10 1 1947863765.20165
64 "Ellipsoid" "Lake Charles" 0.15 10 1 2013408342.13651
