"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "CentroidX" "CentroidY"
1 "Disk" "Phillip SW Belize" 0.2 5 1 2.98233611378614 1.92825546495455
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 6.52199655273261 5.27314460477764
3 "Disk" "Lake Charles" 0.2 5 1 2.66231073311037 1.91978775837623
4 "Ellipsoid" "Lake Charles" 0.2 5 1 6.30167919290406 5.0856049834112
5 "Disk" "McMinnville" 0.2 5 1 2.3050153343516 2.13448721011319
6 "Ellipsoid" "McMinnville" 0.2 5 1 6.57041904582134 6.04022698315323
7 "Disk" "Lindenberg" 0.2 5 1 2.40524021086202 1.76306028085724
8 "Ellipsoid" "Lindenberg" 0.2 5 1 6.45792607676169 7.49472417623103
9 "Disk" "Croker river" 0.2 5 1 1.26668586207074 1.28432742389108
10 "Ellipsoid" "Croker river" 0.2 5 1 5.84514003294893 13.7104479991497
11 "Disk" "Phillip SW Belize" 0.15 5 1 2.98233611378614 1.92825546495455
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 6.52199655273261 5.27314460477764
13 "Disk" "Lake Charles" 0.15 5 1 2.66231073311037 1.91978775837623
14 "Ellipsoid" "Lake Charles" 0.15 5 1 6.30167919290406 5.0856049834112
15 "Disk" "McMinnville" 0.15 5 1 2.3050153343516 2.13448721011319
16 "Ellipsoid" "McMinnville" 0.15 5 1 6.57041904582134 6.04022698315323
17 "Disk" "Lindenberg" 0.15 5 1 2.40524021086202 1.76306028085724
18 "Ellipsoid" "Lindenberg" 0.15 5 1 6.45792607676169 7.49472417623103
19 "Disk" "Croker river" 0.15 5 1 1.26668586207074 1.28432742389108
20 "Ellipsoid" "Croker river" 0.15 5 1 5.84514003294893 13.7104479991497
21 "Disk" "Phillip SW Belize" 0.1 5 1 2.98233611378614 1.92825546495455
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 6.52199655273261 5.27314460477764
23 "Disk" "Lake Charles" 0.1 5 1 2.66231073311037 1.91978775837623
24 "Ellipsoid" "Lake Charles" 0.1 5 1 6.30167919290406 5.0856049834112
25 "Disk" "McMinnville" 0.1 5 1 2.3050153343516 2.13448721011319
26 "Ellipsoid" "McMinnville" 0.1 5 1 6.57041904582134 6.04022698315323
27 "Disk" "Lindenberg" 0.1 5 1 2.40524021086202 1.76306028085724
28 "Ellipsoid" "Lindenberg" 0.1 5 1 6.45792607676169 7.49472417623103
29 "Disk" "Croker river" 0.1 5 1 1.26668586207074 1.28432742389108
30 "Ellipsoid" "Croker river" 0.1 5 1 5.84514003294893 13.7104479991497
31 "Disk" "Phillip SW Belize" 0.05 5 1 2.98233611378614 1.92825546495455
32 "Ellipsoid" "Phillip SW Belize" 0.05 5 1 6.52199655273261 5.27314460477764
33 "Disk" "Lake Charles" 0.05 5 1 2.66231073311037 1.91978775837623
34 "Ellipsoid" "Lake Charles" 0.05 5 1 6.30167919290406 5.0856049834112
35 "Disk" "McMinnville" 0.05 5 1 2.3050153343516 2.13448721011319
36 "Ellipsoid" "McMinnville" 0.05 5 1 6.57041904582134 6.04022698315323
37 "Disk" "Lindenberg" 0.05 5 1 2.40524021086202 1.76306028085724
