"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "CentroidX" "CentroidY"
1 "Disk" "Phillip SW Belize" 0.2 5 1 2.03277372827192 1.51983577520421
2 "Ellipsoid" "Phillip SW Belize" 0.2 5 1 2.03587558855592 1.71854684846523
3 "Disk" "Lake Charles" 0.2 5 1 1.9442851006557 1.49742219330864
4 "Ellipsoid" "Lake Charles" 0.2 5 1 1.93002147966144 1.80096085872328
5 "Disk" "McMinnville" 0.2 5 1 1.75490936261726 1.84555285181058
6 "Ellipsoid" "McMinnville" 0.2 5 1 1.64847518483553 2.01851195578851
7 "Disk" "Lindenberg" 0.2 5 1 1.77566831910817 1.74457723698213
8 "Ellipsoid" "Lindenberg" 0.2 5 1 1.5730596782557 2.2208393377134
9 "Disk" "Croker river" 0.2 5 1 1.02692147048121 1.40091261413227
10 "Ellipsoid" "Croker river" 0.2 5 1 0.878761718748767 1.95136550582281
11 "Disk" "Phillip SW Belize" 0.15 5 1 2.29494999722647 1.70243985271501
12 "Ellipsoid" "Phillip SW Belize" 0.15 5 1 2.26816934757981 1.91526309099482
13 "Disk" "Lake Charles" 0.15 5 1 2.16907426529701 1.64942062026673
14 "Ellipsoid" "Lake Charles" 0.15 5 1 2.13672671074965 1.98527362933304
15 "Disk" "McMinnville" 0.15 5 1 1.93876985536867 1.9699475375677
16 "Ellipsoid" "McMinnville" 0.15 5 1 1.79953017370413 2.18235562740018
17 "Disk" "Lindenberg" 0.15 5 1 1.96223240809144 1.82949809103045
18 "Ellipsoid" "Lindenberg" 0.15 5 1 1.7074854276205 2.39467567818867
19 "Disk" "Croker river" 0.15 5 1 1.14455136789643 1.47046251399841
20 "Ellipsoid" "Croker river" 0.15 5 1 0.939279666512579 2.0909792602888
21 "Disk" "Phillip SW Belize" 0.1 5 1 2.59160956929411 1.90529341178979
22 "Ellipsoid" "Phillip SW Belize" 0.1 5 1 2.52555531711174 2.1277981719912
23 "Disk" "Lake Charles" 0.1 5 1 2.41817667329158 1.8166700661736
24 "Ellipsoid" "Lake Charles" 0.1 5 1 2.36310611370461 2.1829882310414
25 "Disk" "McMinnville" 0.1 5 1 2.13796055028653 2.09624523521475
26 "Ellipsoid" "McMinnville" 0.1 5 1 1.95936282783724 2.35207243598622
27 "Disk" "Lindenberg" 0.1 5 1 2.16417204488686 1.90866351718128
28 "Ellipsoid" "Lindenberg" 0.1 5 1 1.84768082271842 2.57423259576966
29 "Disk" "Croker river" 0.1 5 1 1.27361702212435 1.53585423215124
30 "Ellipsoid" "Croker river" 0.1 5 1 1.00019135148373 2.23322840414939
31 "Disk" "Phillip SW Belize" 0.05 5 1 2.92898263419942 2.13094052680615
32 "Ellipsoid" "Phillip SW Belize" 0.05 5 1 2.81190149469525 2.35669132880625
33 "Disk" "Lake Charles" 0.05 5 1 2.69557436643651 2.00157850552276
